lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies
FBXO45	-0.305	-0.191	-0.077	0.001	5.32	0.503	0.058	0	0	1	0.202	1	7
FUNDC1	-0.096	-0.06	-0.024	0.001	6.876	0.65	0.018	0	0	1	0.202	1	10
HDGF	0.013	0.032	0.052	0.001	3.504	0.967	0.01	0	0	1	0.202	1	11
LCP1	0.068	0.168	0.268	0.001	6.684	0.67	0.051	0	0	1	0.202	1	10
LOC387856	-0.184	-0.115	-0.046	0.001	2.96	0.398	0.035	0	0	1	0.202	1	4
RARS	-0.068	-0.043	-0.017	0.001	5.617	0.467	0.013	0	0	1	0.202	1	7
RTBDN	-0.137	-0.086	-0.035	0.001	2.237	0.815	0.026	0	0	1	0.202	1	6
TBC1D5	0.083	0.205	0.328	0.001	2.705	0.608	0.063	0	0	1	0.202	1	5
C18orf37	-0.064	-0.04	-0.016	0.001	0.628	0.73	0.012	0	0	1	0.205	1	3
SDSL	0.028	0.07	0.111	0.001	5.949	0.82	0.021	0	0	1	0.205	1	11
KRTAP5-4	-0.53	-0.331	-0.133	0.001	3.253	0.354	0.101	0.004	7.775	1.084	0.208	1	4
LOC255177	-0.094	-0.059	-0.023	0.001	0.782	0.377	0.018	0	0	1	0.209	1	2
LZIC	0.018	0.046	0.074	0.001	7.337	0.693	0.014	0	0	1	0.209	1	11
APBB3	-0.083	-0.052	-0.021	0.001	1.861	0.985	0.016	0	0	1	0.21	1	9
C20orf58	0.045	0.113	0.182	0.001	0.149	0.928	0.035	0	0	1	0.22	1	3
HAGH	-0.112	-0.07	-0.028	0.001	4.404	0.883	0.022	0	0	1	0.221	1	10
BAT5	-0.076	-0.047	-0.018	0.001	0.293	0.961	0.015	0	0	1	0.229	1	4
HIST1H3H	-0.807	-0.502	-0.197	0.001	0.415	0.813	0.156	0	0	1	0.229	1	3
MIR943	0.138	0.353	0.568	0.001	0.838	0.36	0.11	0	0	1	0.229	1	2
NAP1L4	0.014	0.036	0.059	0.001	6.577	0.681	0.011	0	0	1	0.229	1	10
HIST2H2AC	0.036	0.093	0.15	0.001	1.053	0.902	0.029	0	0	1	0.23	1	5
PDZD7	-0.262	-0.163	-0.064	0.001	2.342	0.886	0.051	0	0	1	0.23	1	7
CD81	0.014	0.036	0.058	0.001	7.86	0.548	0.011	0	0	1	0.231	1	10
M-RIP	-0.071	-0.044	-0.017	0.001	1.065	0.587	0.014	0	0	1	0.231	1	3
RFTN1	0.076	0.195	0.314	0.001	4.884	0.43	0.061	0	0	1	0.232	1	6
TMEM24	-0.084	-0.052	-0.02	0.001	1.888	0.389	0.016	0	0	1	0.232	1	3
TSEN34	0.013	0.034	0.055	0.001	5.317	0.869	0.011	0	0	1	0.232	1	11
TMEM221	-0.151	-0.094	-0.036	0.001	2.125	0.547	0.029	0	0	1	0.239	1	4
BOLA3	-0.115	-0.071	-0.027	0.001	4.679	0.912	0.022	0	0	1	0.241	1	11
C6orf75	-0.104	-0.064	-0.025	0.001	1.1	0.577	0.02	0	0	1	0.241	1	3
WT1	-0.14	-0.087	-0.034	0.001	2.648	0.754	0.027	0	0	1	0.241	1	6
ZNF234	0.023	0.06	0.097	0.001	7.06	0.72	0.019	0	0	1	0.241	1	11
QKI	0.024	0.061	0.099	0.001	3.969	0.86	0.019	0	0	1	0.244	1	9
GBA2	-0.089	-0.055	-0.021	0.001	5.341	0.721	0.017	0	0	1	0.245	1	9
TMEM187	0.062	0.161	0.261	0.002	4.462	0.614	0.051	0	0	1	0.245	1	7
C20orf149	0.026	0.068	0.11	0.002	0.122	0.941	0.022	0	0	1	0.246	1	3
MAPRE2	0.019	0.05	0.081	0.002	5.26	0.628	0.016	0	0	1	0.246	1	8
SENP2	-0.066	-0.041	-0.016	0.002	7.706	0.658	0.013	0	0	1	0.246	1	11
PI4K2B	0.068	0.18	0.291	0.002	5.279	0.509	0.057	0	0	1	0.247	1	7
VPS13B	0.026	0.068	0.11	0.002	5.827	0.83	0.021	0	0	1	0.247	1	11
ALCAM	0.028	0.073	0.119	0.002	3.818	0.923	0.023	0	0	1	0.254	1	10
CIDEA	0.038	0.1	0.162	0.002	1.062	0.9	0.032	0	0	1	0.255	1	5
FLJ10925	-0.1	-0.062	-0.023	0.002	1.615	0.446	0.02	0	0	1	0.255	1	3
HLA-DMA	0.048	0.127	0.207	0.002	6.219	0.514	0.04	0	0	1	0.255	1	8
LPCAT3	0.058	0.154	0.251	0.002	6.267	0.394	0.049	0.001	4.254	1.044	0.255	1	7
NRAS	0.027	0.071	0.115	0.002	9.468	0.395	0.023	0	4.947	1.052	0.255	1	10
VRK3	0.019	0.052	0.084	0.002	3.835	0.922	0.016	0	0	1	0.255	1	10
UEVLD	0.059	0.156	0.253	0.002	5.809	0.445	0.05	0	0	1	0.256	1	7
PDCD8	-0.051	-0.031	-0.012	0.002	0.559	0.756	0.01	0	0	1	0.267	1	3
ZNF403	-0.063	-0.038	-0.014	0.002	1.299	0.522	0.012	0	0	1	0.267	1	3
RBM34	-0.072	-0.044	-0.016	0.002	6.96	0.729	0.014	0	0	1	0.275	1	11
GNAI2	0.024	0.065	0.105	0.002	5.435	0.71	0.021	0	0	1	0.276	1	9
OSR2	-0.161	-0.098	-0.036	0.002	3.479	0.627	0.032	0	0	1	0.276	1	6
REXO4	0.023	0.062	0.102	0.002	5.297	0.725	0.02	0	0	1	0.276	1	9
HIST1H2BK	0.034	0.092	0.15	0.002	6.092	0.413	0.03	0	1.513	1.015	0.282	1	7
NHLRC1	-0.316	-0.193	-0.071	0.002	3.975	0.68	0.062	0	0	1	0.283	1	7
TSTD2	0.032	0.087	0.141	0.002	4.546	0.603	0.028	0	0	1	0.287	1	7
FLJ40434	-1.148	-0.702	-0.256	0.002	0.286	0.593	0.227	0	0	1	0.288	1	2
ACTR1B	-0.109	-0.067	-0.024	0.002	9.087	0.335	0.022	0.001	11.961	1.136	0.293	1	9
C17orf61	0.015	0.042	0.068	0.002	0.632	0.889	0.014	0	0	1	0.296	1	4
LOC339535	0.122	0.338	0.553	0.002	0.52	0.471	0.11	0	0	1	0.296	1	2
SEMG2	-0.174	-0.106	-0.039	0.002	3.004	0.699	0.035	0	0	1	0.296	1	6
CENTG2	0.018	0.049	0.08	0.002	4.634	0.201	0.016	0	35.266	1.545	0.297	1	4
SGK3	0.036	0.099	0.163	0.002	2.495	0.928	0.032	0	0	1	0.297	1	8
D4S234E	-0.174	-0.106	-0.038	0.002	1.46	0.834	0.035	0	0	1	0.299	1	5
LOC606724	-0.091	-0.055	-0.02	0.002	0.577	0.989	0.018	0	0	1	0.299	1	6
RNF168	0.065	0.18	0.295	0.002	3.115	0.682	0.059	0	0	1	0.3	1	6
OVCH1	0.087	0.242	0.397	0.002	0.223	0.974	0.079	0	0	1	0.302	1	4
B3GNT9	-0.427	-0.26	-0.093	0.002	3.465	0.483	0.085	0	0	1	0.304	1	5
SMCHD1	-0.323	-0.196	-0.07	0.002	4.908	0.427	0.064	0	0	1	0.308	1	6
UQCC6	-0.359	-0.218	-0.078	0.002	1.042	0.791	0.072	0	0	1	0.308	1	4
AYTL2	0.024	0.068	0.112	0.002	0.285	0.867	0.022	0	0	1	0.309	1	3
TSPO	0.018	0.05	0.083	0.002	6.335	0.706	0.017	0	0	1	0.309	1	10
CCDC160	-0.187	-0.114	-0.04	0.002	1.477	0.688	0.037	0	0	1	0.314	1	4
CKB	-0.043	-0.026	-0.009	0.002	6.9	0.547	0.009	0	0	1	0.314	1	9
OR4C15	-0.868	-0.527	-0.187	0.002	1.628	0.202	0.174	0.024	38.584	1.628	0.314	1	2
PDIA4	0.086	0.243	0.4	0.002	4.747	0.447	0.08	0	0	1	0.314	1	6
AASDHPPT	-0.085	-0.051	-0.018	0.002	4.497	0.876	0.017	0	0	1	0.32	1	10
PCDHA12	-0.602	-0.365	-0.128	0.003	0.158	0.691	0.121	0	0	1	0.32	1	2
ACOX1	0.021	0.061	0.1	0.003	5.582	0.694	0.02	0	0	1	0.321	1	9
CSF1R	0.043	0.124	0.205	0.003	5.183	0.818	0.041	0	0	1	0.321	1	10
DLX6-AS1	-0.27	-0.163	-0.057	0.003	0.011	0.917	0.054	0	0	1	0.321	1	2
FAM44B	0.012	0.035	0.058	0.003	1.168	0.761	0.012	0	0	1	0.321	1	4
FHL2	-0.124	-0.075	-0.026	0.003	4.604	0.867	0.025	0	0	1	0.321	1	10
FLJ22531	-0.136	-0.082	-0.029	0.003	0.468	0.791	0.027	0	0	1	0.321	1	3
HDAC1	0.026	0.074	0.122	0.003	7.508	0.677	0.025	0	0	1	0.321	1	11
LINC00314	-0.213	-0.129	-0.045	0.003	0.002	0.962	0.043	0	0	1	0.321	1	2
LOC283683	-0.622	-0.376	-0.13	0.003	0.001	0.978	0.125	0	0	1	0.321	1	2
LOC93463	-0.332	-0.201	-0.07	0.003	0.639	0.727	0.067	0	0	1	0.321	1	3
MSL3P1	0.09	0.258	0.425	0.003	0.633	0.729	0.086	0	0	1	0.321	1	3
NDUFAB1	-0.091	-0.055	-0.019	0.003	6.216	0.623	0.018	0	0	1	0.321	1	9
PARP3	-0.058	-0.035	-0.012	0.003	6.045	0.642	0.012	0	0	1	0.321	1	9
PATE3	-0.319	-0.193	-0.067	0.003	3.375	0.497	0.064	0	0	1	0.321	1	5
RNASE10	0.183	0.528	0.872	0.003	0.389	0.533	0.176	0	0	1	0.321	1	2
SCGB1D4	-0.749	-0.454	-0.159	0.003	2.579	0.275	0.15	0.018	22.447	1.289	0.321	1	3
STYXL1	0.021	0.061	0.101	0.003	3.822	0.923	0.02	0	0	1	0.321	1	10
ZC3HAV1	0.032	0.091	0.15	0.003	3.952	0.861	0.03	0	0	1	0.321	1	9
ZNF260	0.062	0.179	0.295	0.003	5.963	0.544	0.06	0	0	1	0.321	1	8
SZT2	-0.219	-0.132	-0.046	0.003	6.384	0.382	0.044	0.001	6.013	1.064	0.322	1	7
UBE2Z	0.015	0.044	0.072	0.003	7.155	0.711	0.015	0	0	1	0.322	1	11
WTIP	-0.303	-0.183	-0.063	0.003	3.815	0.576	0.061	0	0	1	0.323	1	6
CCDC50	0.029	0.086	0.142	0.003	5.978	0.817	0.029	0	0	1	0.325	1	11
ESM1	-0.13	-0.079	-0.027	0.003	5.889	0.436	0.026	0	0	1	0.325	1	7
FLJ13305	0.026	0.077	0.128	0.003	4.704	0.195	0.026	0.001	36.218	1.568	0.325	1	4
FXR1	0.015	0.043	0.071	0.003	3.35	0.851	0.014	0	0	1	0.325	1	8
NME1	-0.126	-0.076	-0.026	0.003	3.427	0.843	0.026	0	0	1	0.325	1	8
TMEM116	0.014	0.042	0.069	0.003	4.872	0.845	0.014	0	0	1	0.325	1	10
APLN	-0.26	-0.157	-0.053	0.003	3.236	0.519	0.053	0	0	1	0.327	1	5
SPMIP7	-0.39	-0.235	-0.08	0.003	0.469	0.791	0.079	0	0	1	0.327	1	3
C1orf168	0.024	0.071	0.118	0.003	0.001	0.974	0.024	0	0	1	0.328	1	2
LOC101927468	-0.173	-0.104	-0.035	0.003	0.014	0.906	0.035	0	0	1	0.328	1	2
MOB2	-0.245	-0.147	-0.05	0.003	6.274	0.393	0.05	0.001	4.362	1.046	0.328	1	7
UGT2B28	-0.201	-0.121	-0.041	0.003	1.357	0.507	0.041	0	0	1	0.328	1	3
DHDDS	-0.075	-0.045	-0.015	0.003	9.453	0.49	0.015	0	0	1	0.329	1	11
INT4	0.015	0.043	0.072	0.003	0.838	0.658	0.015	0	0	1	0.329	1	3
LOC100506882	-0.368	-0.222	-0.075	0.003	1.435	0.231	0.075	0.005	30.309	1.435	0.329	1	2
LOC219854	0.024	0.071	0.118	0.003	0.324	0.85	0.024	0	0	1	0.329	1	3
MGC20647	0.089	0.264	0.44	0.003	0.323	0.57	0.089	0	0	1	0.329	1	2
MKNK1	0.026	0.077	0.128	0.003	8.695	0.369	0.026	0.001	7.997	1.087	0.329	1	9
RAB8B	0.021	0.061	0.102	0.003	3.921	0.864	0.021	0	0	1	0.329	1	9
RPL23A	0.017	0.051	0.085	0.003	5.393	0.715	0.017	0	0	1	0.329	1	9
LAMC2	-0.151	-0.091	-0.031	0.003	1.812	0.612	0.031	0	0	1	0.331	1	4
MDH1	-0.108	-0.065	-0.022	0.003	3.89	0.867	0.022	0	0	1	0.331	1	9
C17orf77	-0.304	-0.182	-0.061	0.003	0.246	0.62	0.062	0	0	1	0.333	1	2
CCBL2	-0.193	-0.116	-0.039	0.003	5.205	0.391	0.039	0	3.939	1.041	0.333	1	6
CCL15	-0.243	-0.146	-0.049	0.003	0.842	0.656	0.049	0	0	1	0.333	1	3
HIBCH	0.02	0.061	0.102	0.003	7.77	0.651	0.021	0	0	1	0.333	1	11
IL5RA	-0.32	-0.192	-0.064	0.003	0.659	0.883	0.065	0	0	1	0.333	1	4
LOC400541	-0.119	-0.071	-0.024	0.003	0.008	0.929	0.024	0	0	1	0.333	1	2
NMS	-0.346	-0.208	-0.069	0.003	0.834	0.934	0.071	0	0	1	0.333	1	5
TNIP1	0.018	0.053	0.089	0.003	9.573	0.479	0.018	0	0	1	0.333	1	11
UFD1	0.064	0.193	0.321	0.003	1.484	0.686	0.065	0	0	1	0.333	1	4
ZGPAT	-0.072	-0.043	-0.015	0.003	3.124	0.873	0.015	0	0	1	0.333	1	8
MGC13096	-0.105	-0.063	-0.021	0.003	0.125	0.94	0.022	0	0	1	0.335	1	3
PRMT8	-0.097	-0.058	-0.019	0.003	6.941	0.435	0.02	0	0	1	0.335	1	8
KIAA1434	-0.137	-0.082	-0.027	0.003	1.406	0.495	0.028	0	0	1	0.336	1	3
AMOTL1	0.022	0.066	0.11	0.003	3.358	0.763	0.022	0	0	1	0.338	1	7
BST2	0.032	0.099	0.165	0.003	5.667	0.773	0.034	0	0	1	0.338	1	10
C20orf98	-0.095	-0.057	-0.019	0.004	0.155	0.925	0.019	0	0	1	0.338	1	3
CCDC183	-0.364	-0.218	-0.071	0.004	0.579	0.749	0.075	0	0	1	0.338	1	3
CXCR7	0.183	0.562	0.941	0.004	0	0.988	0.194	0	0	1	0.338	1	2
DEFB110	-0.386	-0.231	-0.076	0.004	1.252	0.535	0.079	0	0	1	0.338	1	3
FLJ39378	0.014	0.042	0.071	0.004	1.603	0.449	0.015	0	0	1	0.338	1	3
GIF	-0.247	-0.148	-0.048	0.004	1.683	0.431	0.051	0	0	1	0.338	1	3
IFNAR1	0.02	0.06	0.1	0.003	3.201	0.921	0.02	0	0	1	0.338	1	9
KRT24	-0.26	-0.155	-0.051	0.004	0.448	0.994	0.053	0	0	1	0.338	1	6
LCE3D	-0.338	-0.202	-0.066	0.004	2.189	0.822	0.069	0	0	1	0.338	1	6
LOC645974	-0.1	-0.06	-0.02	0.003	2.536	0.469	0.021	0	0	1	0.338	1	4
MYEOV	-0.273	-0.163	-0.053	0.004	2.049	0.915	0.056	0	0	1	0.338	1	7
NDEL1	-0.091	-0.054	-0.018	0.004	10.435	0.403	0.019	0	4.17	1.044	0.338	1	11
PIK3CB	-0.109	-0.065	-0.021	0.004	5.748	0.675	0.022	0	0	1	0.338	1	9
RFPL2	-0.201	-0.12	-0.039	0.004	2.992	0.701	0.041	0	0	1	0.338	1	6
SERPINB12	0.035	0.108	0.181	0.004	0.312	0.856	0.037	0	0	1	0.338	1	3
