lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies
PGBD1	-0.097	-0.066	-0.034	0	2.908	0.406	0.016	0	0	1	0.013	0.125	4
PHKG2	-0.084	-0.057	-0.03	0	2.833	0.418	0.014	0	0	1	0.013	0.125	4
RYBP	0.055	0.105	0.155	0	0.627	0.89	0.026	0	0	1	0.013	0.125	4
SERTAD4	-0.226	-0.153	-0.08	0	0.296	0.961	0.037	0	0	1	0.013	0.125	4
USP46	0.032	0.062	0.092	0	0.589	0.745	0.015	0	0	1	0.013	0.13	3
CENTG2	0.024	0.047	0.07	0	0.102	0.95	0.012	0	0	1	0.014	0.134	3
DENND2A	0.046	0.089	0.132	0	2.359	0.501	0.022	0	0	1	0.014	0.134	4
PELI3	-0.117	-0.079	-0.04	0	1.902	0.593	0.019	0	0	1	0.014	0.134	4
ZNF179	-0.106	-0.071	-0.037	0	0.266	0.875	0.018	0	0	1	0.014	0.14	3
ACTR1B	-0.113	-0.076	-0.039	0	0.875	0.831	0.019	0	0	1	0.015	0.148	4
VHL	0.037	0.072	0.107	0	0.757	0.86	0.018	0	0	1	0.015	0.143	4
IQSEC1	-0.092	-0.062	-0.031	0	1.981	0.576	0.016	0	0	1	0.016	0.158	4
KLC2	-0.124	-0.083	-0.042	0	1.964	0.58	0.021	0	0	1	0.016	0.159	4
PRC1	-0.127	-0.085	-0.043	0	2.442	0.486	0.022	0	0	1	0.016	0.159	4
PUS7	-0.096	-0.064	-0.033	0	0.332	0.954	0.016	0	0	1	0.016	0.159	4
RNMT	-0.073	-0.049	-0.025	0	0.599	0.741	0.012	0	0	1	0.016	0.159	3
COQ10A	-0.085	-0.057	-0.029	0	0.898	0.638	0.014	0	0	1	0.017	0.166	3
MGC2747	0.023	0.046	0.069	0	1.252	0.535	0.012	0	0	1	0.017	0.166	3
C1orf171	0.068	0.137	0.206	0	0.166	0.92	0.035	0	0	1	0.018	0.178	3
C6orf136	-0.075	-0.05	-0.025	0	0.567	0.753	0.013	0	0	1	0.018	0.178	3
Kua	0.033	0.066	0.099	0	0.491	0.782	0.017	0	0	1	0.018	0.178	3
RPL31	0.028	0.057	0.086	0	0.591	0.899	0.015	0	0	1	0.018	0.178	4
SLA	0.041	0.082	0.123	0	0.614	0.893	0.021	0	0	1	0.018	0.178	4
ZNF271	0.026	0.052	0.078	0	0.811	0.666	0.013	0	0	1	0.018	0.178	3
AIFM1	-0.078	-0.052	-0.025	0	1.076	0.783	0.014	0	0	1	0.021	0.207	4
CNTNAP1	-0.11	-0.073	-0.036	0	0.065	0.968	0.019	0	0	1	0.021	0.207	3
NDEL1	-0.104	-0.069	-0.034	0	1.986	0.575	0.018	0	0	1	0.021	0.207	4
PTD004	-0.197	-0.13	-0.064	0	1.935	0.38	0.034	0	0	1	0.021	0.207	3
SLC20A1	-0.126	-0.083	-0.041	0	1.03	0.794	0.022	0	0	1	0.021	0.207	4
XRCC1	-0.089	-0.059	-0.029	0	0.452	0.929	0.015	0	0	1	0.021	0.207	4
CABP1	-0.166	-0.11	-0.053	0	0.287	0.962	0.029	0	0	1	0.022	0.219	4
CGI-115	0.032	0.067	0.101	0	0.241	0.887	0.018	0	0	1	0.022	0.212	3
HIST2H2BE	0.058	0.12	0.182	0	0.502	0.778	0.032	0	0	1	0.022	0.212	3
PHF16	0.036	0.074	0.112	0	0.292	0.864	0.019	0	0	1	0.022	0.212	3
PPME1	-0.096	-0.063	-0.03	0	1.02	0.796	0.017	0	0	1	0.024	0.238	4
SLC25A27	-0.18	-0.118	-0.057	0	1.252	0.741	0.031	0	0	1	0.024	0.23	4
AGPAT7	-0.15	-0.099	-0.047	0	0.33	0.848	0.026	0	0	1	0.025	0.243	3
IDH3A	-0.106	-0.07	-0.033	0	0.902	0.825	0.019	0	0	1	0.025	0.243	4
IDH3G	-0.086	-0.057	-0.027	0	1.429	0.699	0.015	0	0	1	0.025	0.243	4
NAG6	-0.104	-0.068	-0.033	0	1.431	0.489	0.018	0	0	1	0.025	0.243	3
OGDHL	-0.113	-0.074	-0.035	0	0.247	0.884	0.02	0	0	1	0.025	0.243	3
SC5DL	-0.107	-0.071	-0.034	0	1.262	0.532	0.019	0	0	1	0.025	0.243	3
SLC6A17	-0.133	-0.087	-0.041	0	1.66	0.646	0.023	0	0	1	0.026	0.251	4
C5orf21	0.019	0.04	0.061	0	0.61	0.737	0.011	0	0	1	0.028	0.275	3
CFDP1	0.027	0.058	0.089	0	0.527	0.913	0.016	0	0	1	0.028	0.275	4
DSCR1L1	-0.115	-0.075	-0.035	0	1.488	0.475	0.02	0	0	1	0.028	0.272	3
ZNF331	-0.09	-0.059	-0.027	0	3.219	0.359	0.016	0	6.792	1.073	0.028	0.275	4
NDUFB8	-0.041	-0.027	-0.012	0	1.765	0.623	0.007	0	0	1	0.03	0.288	4
PKNOX2	-0.092	-0.06	-0.028	0	1.465	0.69	0.016	0	0	1	0.03	0.296	4
PLXDC2	0.055	0.118	0.18	0	1.661	0.436	0.032	0	0	1	0.03	0.288	3
SCAMP5	-0.082	-0.053	-0.025	0	1.113	0.774	0.015	0	0	1	0.03	0.296	4
SLC25A29	0.041	0.089	0.136	0	1.234	0.539	0.024	0	0	1	0.03	0.29	3
C3orf39	-0.093	-0.061	-0.028	0	0.11	0.946	0.017	0	0	1	0.031	0.302	3
C5orf16	-0.22	-0.143	-0.066	0	1.505	0.471	0.039	0	0	1	0.031	0.302	3
CALR	0.031	0.068	0.104	0	1.006	0.8	0.019	0	0	1	0.031	0.301	4
FAM51A1	0.026	0.057	0.089	0	1.942	0.379	0.016	0	0	1	0.031	0.306	3
MGC33692	-0.079	-0.052	-0.024	0	0.059	0.971	0.014	0	0	1	0.031	0.299	3
NAP1L5	-0.176	-0.114	-0.053	0	1.199	0.753	0.031	0	0	1	0.031	0.306	4
DHDDS	-0.092	-0.059	-0.027	0	1.654	0.647	0.016	0	0	1	0.032	0.308	4
FLJ22318	-0.097	-0.063	-0.029	0	2.651	0.266	0.017	0	24.566	1.326	0.032	0.315	3
GALE	-0.077	-0.05	-0.023	0	1.647	0.649	0.014	0	0	1	0.032	0.308	4
HIST1H2BD	0.032	0.069	0.107	0	0.91	0.634	0.019	0	0	1	0.032	0.314	3
SENP2	-0.074	-0.048	-0.022	0	0.552	0.907	0.013	0	0	1	0.032	0.315	4
CPLX2	-0.207	-0.134	-0.061	0	0.509	0.917	0.037	0	0	1	0.033	0.317	4
CTBP1	-0.072	-0.047	-0.021	0	2.751	0.432	0.013	0	0	1	0.033	0.317	4
CYP2E1	-0.184	-0.119	-0.054	0	0.179	0.981	0.033	0	0	1	0.033	0.317	4
ENTPD6	-0.105	-0.068	-0.031	0	0.179	0.981	0.019	0	0	1	0.033	0.317	4
PSMD2	-0.06	-0.039	-0.018	0	0.849	0.838	0.011	0	0	1	0.033	0.317	4
WDR40A	0.029	0.065	0.101	0	0.649	0.723	0.018	0	0	1	0.034	0.327	3
CAMK2G	-0.117	-0.076	-0.034	0	1.513	0.469	0.021	0	0	1	0.035	0.341	3
CCBL2	-0.228	-0.147	-0.066	0	1.418	0.492	0.041	0	0	1	0.035	0.337	3
PREX1	0.043	0.095	0.148	0	0.85	0.838	0.027	0	0	1	0.035	0.341	4
ANKRD32	0.061	0.136	0.212	0	0.35	0.84	0.039	0	0	1	0.039	0.38	3
SLC25A3	-0.051	-0.033	-0.015	0	0.357	0.949	0.009	0	0	1	0.039	0.384	4
C9orf45	-0.113	-0.072	-0.032	0	0.336	0.845	0.021	0	0	1	0.04	0.385	3
AHI1	-0.113	-0.073	-0.032	0	0.079	0.961	0.021	0	0	1	0.041	0.396	3
PNMA6A	-0.104	-0.066	-0.029	0	2.525	0.471	0.019	0	0	1	0.041	0.396	4
CCT4	0.02	0.045	0.071	0.001	1.129	0.77	0.013	0	0	1	0.045	0.439	4
ETS2	-0.152	-0.097	-0.042	0.001	0.227	0.973	0.028	0	0	1	0.045	0.442	4
HEBP1	0.023	0.052	0.082	0.001	2.714	0.257	0.015	0	26.311	1.357	0.045	0.442	3
HIST1H2BK	0.045	0.104	0.163	0.001	1.103	0.576	0.03	0	0	1	0.045	0.435	3
NPAS3	0.04	0.093	0.145	0.001	1.353	0.508	0.027	0	0	1	0.045	0.435	3
PIGV	0.026	0.06	0.094	0.001	2.134	0.344	0.017	0	6.279	1.067	0.045	0.441	3
SOX4	0.037	0.085	0.134	0.001	0.207	0.976	0.025	0	0	1	0.045	0.435	4
TARBP1	-0.156	-0.1	-0.043	0.001	0.354	0.95	0.029	0	0	1	0.045	0.442	4
AARSD1	-0.066	-0.042	-0.018	0.001	1.44	0.487	0.012	0	0	1	0.046	0.451	3
GANAB	0.029	0.067	0.105	0.001	0.47	0.926	0.019	0	0	1	0.046	0.451	4
PSMF1	0.02	0.047	0.074	0.001	1.75	0.417	0.014	0	0	1	0.046	0.451	3
DPP8	-0.093	-0.059	-0.026	0.001	2.161	0.339	0.017	0	7.455	1.081	0.048	0.463	3
BM88	-0.092	-0.058	-0.025	0.001	0.632	0.729	0.017	0	0	1	0.051	0.495	3
DYNLT1	0.034	0.08	0.126	0.001	0.888	0.641	0.024	0	0	1	0.051	0.498	3
SF3A1	-0.084	-0.053	-0.023	0.001	1.285	0.733	0.016	0	0	1	0.051	0.497	4
DDEFL1	0.035	0.083	0.131	0.001	0.316	0.854	0.025	0	0	1	0.052	0.503	3
DUSP1	-0.178	-0.113	-0.048	0.001	0.176	0.981	0.033	0	0	1	0.052	0.503	4
GBA2	-0.096	-0.061	-0.026	0.001	0.354	0.95	0.018	0	0	1	0.052	0.503	4
KCNAB1	-0.108	-0.069	-0.029	0.001	1.604	0.659	0.02	0	0	1	0.052	0.503	4
LASS5	0.033	0.078	0.122	0.001	1.339	0.512	0.023	0	0	1	0.052	0.503	3
PNMA3	-0.107	-0.068	-0.028	0.001	1.431	0.698	0.02	0	0	1	0.052	0.503	4
PRMT8	-0.132	-0.083	-0.035	0.001	1.661	0.436	0.025	0	0	1	0.052	0.503	3
SDHA	-0.087	-0.055	-0.023	0.001	1.827	0.609	0.016	0	0	1	0.052	0.503	4
TMEM98	0.05	0.118	0.186	0.001	1.702	0.427	0.035	0	0	1	0.052	0.503	3
COPG	-0.083	-0.052	-0.022	0.001	1.099	0.577	0.015	0	0	1	0.053	0.514	3
GARNL3	-0.074	-0.047	-0.02	0.001	0.919	0.821	0.014	0	0	1	0.053	0.514	4
RARS	-0.07	-0.044	-0.018	0.001	1.321	0.517	0.013	0	0	1	0.053	0.514	3
GLS2	-0.127	-0.08	-0.034	0.001	0.531	0.912	0.024	0	0	1	0.054	0.524	4
SLC2A12	0.034	0.082	0.13	0.001	0.929	0.818	0.024	0	0	1	0.054	0.531	4
ITGB5	0.033	0.079	0.126	0.001	0.23	0.891	0.024	0	0	1	0.055	0.532	3
HSP90B1	0.021	0.05	0.079	0.001	1.572	0.666	0.015	0	0	1	0.057	0.559	4
FLJ25067	-0.096	-0.06	-0.025	0.001	0.407	0.816	0.018	0	0	1	0.058	0.567	3
C20orf100	-0.141	-0.089	-0.036	0.001	1.38	0.502	0.027	0	0	1	0.061	0.592	3
FUNDC1	-0.099	-0.062	-0.025	0.001	1.64	0.44	0.019	0	0	1	0.061	0.592	3
MRPL2	-0.099	-0.062	-0.025	0.001	3.068	0.216	0.019	0	34.807	1.534	0.061	0.594	3
NUDT3	0.019	0.047	0.075	0.001	1.069	0.586	0.014	0	0	1	0.061	0.592	3
MEF2D	-0.104	-0.065	-0.027	0.001	0.12	0.989	0.02	0	0	1	0.063	0.618	4
NAP1L4	0.016	0.038	0.061	0.001	0.362	0.835	0.012	0	0	1	0.063	0.617	3
VRK3	0.024	0.058	0.093	0.001	0.278	0.87	0.018	0	0	1	0.063	0.611	3
WDR57	-0.106	-0.067	-0.027	0.001	0.182	0.913	0.02	0	0	1	0.063	0.617	3
C21orf6	-0.084	-0.053	-0.021	0.001	0.019	0.99	0.016	0	0	1	0.064	0.628	3
NEFH	-0.232	-0.146	-0.059	0.001	0.829	0.843	0.044	0	0	1	0.064	0.628	4
LOC387856	-0.194	-0.122	-0.049	0.001	2.141	0.343	0.037	0	6.595	1.071	0.065	0.629	3
C10orf85	0.048	0.119	0.191	0.001	0.512	0.774	0.036	0	0	1	0.067	0.653	3
C18orf37	-0.064	-0.04	-0.016	0.001	0.628	0.73	0.012	0	0	1	0.067	0.649	3
SCN2B	-0.143	-0.09	-0.036	0.001	1.045	0.79	0.027	0	0	1	0.067	0.649	4
TNPO1	0.04	0.101	0.161	0.001	1.057	0.788	0.031	0	0	1	0.067	0.649	4
TPK1	-0.085	-0.053	-0.021	0.001	0.942	0.624	0.016	0	0	1	0.067	0.648	3
FNDC5	-0.118	-0.074	-0.029	0.001	0.533	0.911	0.023	0	0	1	0.069	0.668	4
NDUFAB1	-0.097	-0.061	-0.024	0.001	1.442	0.696	0.019	0	0	1	0.069	0.671	4
TMEM116	0.019	0.047	0.076	0.001	0.229	0.892	0.014	0	0	1	0.069	0.668	3
APBB3	-0.085	-0.053	-0.021	0.001	0.25	0.969	0.016	0	0	1	0.07	0.687	4
C20orf58	0.045	0.113	0.182	0.001	0.149	0.928	0.035	0	0	1	0.07	0.687	3
CKB	-0.045	-0.028	-0.011	0.001	1.578	0.664	0.009	0	0	1	0.07	0.687	4
TIMP2	0.026	0.065	0.105	0.001	3.922	0.27	0.02	0	23.502	1.307	0.071	0.694	4
LRRN3	-0.126	-0.078	-0.031	0.001	1.031	0.597	0.024	0	0	1	0.072	0.706	3
CTTN	-0.059	-0.037	-0.014	0.001	0.572	0.903	0.011	0	0	1	0.073	0.709	4
PIGZ	-0.129	-0.08	-0.032	0.001	0.363	0.834	0.025	0	0	1	0.073	0.709	3
HSPA5	0.02	0.05	0.081	0.001	0.757	0.86	0.016	0	0	1	0.074	0.726	4
ABCG4	-0.123	-0.076	-0.03	0.001	0.226	0.973	0.024	0	0	1	0.075	0.73	4
APP	-0.174	-0.108	-0.042	0.001	0.519	0.771	0.034	0	0	1	0.075	0.73	3
BAT5	-0.076	-0.047	-0.018	0.001	0.293	0.864	0.015	0	0	1	0.075	0.73	3
M-RIP	-0.071	-0.044	-0.017	0.001	1.065	0.587	0.014	0	0	1	0.075	0.73	3
ANKRD29	-0.176	-0.109	-0.042	0.001	0.365	0.833	0.034	0	0	1	0.076	0.741	3
FHL2	-0.137	-0.085	-0.033	0.001	0.742	0.69	0.027	0	0	1	0.076	0.741	3
HDGF	0.012	0.032	0.051	0.001	0.466	0.926	0.01	0	0	1	0.076	0.741	4
TMEM24	-0.084	-0.052	-0.02	0.001	1.888	0.389	0.016	0	0	1	0.076	0.741	3
C6orf75	-0.104	-0.064	-0.025	0.001	1.1	0.577	0.02	0	0	1	0.079	0.767	3
DPYSL3	0.023	0.06	0.097	0.001	0.601	0.896	0.019	0	0	1	0.079	0.767	4
GFRA2	-0.115	-0.071	-0.027	0.001	0.45	0.93	0.022	0	0	1	0.079	0.773	4
POLG	-0.105	-0.065	-0.025	0.001	1.234	0.539	0.02	0	0	1	0.079	0.767	3
PARP2	-0.071	-0.044	-0.017	0.001	0.592	0.744	0.014	0	0	1	0.08	0.781	3
C20orf149	0.026	0.068	0.11	0.002	0.122	0.941	0.022	0	0	1	0.081	0.792	3
D4S234E	-0.179	-0.111	-0.042	0.002	0.427	0.808	0.035	0	0	1	0.081	0.792	3
NME1	-0.133	-0.082	-0.031	0.002	0.541	0.763	0.026	0	0	1	0.081	0.792	3
PKN2	0.042	0.111	0.179	0.002	1.652	0.438	0.035	0	0	1	0.081	0.792	3
TFG	0.04	0.106	0.172	0.002	0.314	0.855	0.034	0	0	1	0.081	0.792	3
UBA52	0.011	0.029	0.046	0.002	3.187	0.364	0.009	0	5.855	1.062	0.081	0.786	4
VPS37D	0.016	0.041	0.067	0.002	1.028	0.794	0.013	0	0	1	0.081	0.792	4
AASDHPPT	-0.09	-0.055	-0.021	0.002	0.162	0.922	0.018	0	0	1	0.084	0.814	3
FLJ10925	-0.1	-0.062	-0.023	0.002	1.615	0.446	0.02	0	0	1	0.084	0.814	3
IDH1	0.025	0.065	0.106	0.002	0.935	0.817	0.021	0	0	1	0.084	0.816	4
ZNF10	-0.086	-0.053	-0.02	0.002	0.069	0.995	0.017	0	0	1	0.084	0.814	4
ARL1	-0.082	-0.051	-0.019	0.002	1.072	0.784	0.016	0	0	1	0.086	0.839	4
MACF1	0.02	0.054	0.088	0.002	1.28	0.527	0.017	0	0	1	0.086	0.834	3
TSEN34	0.013	0.034	0.055	0.002	0.826	0.843	0.011	0	0	1	0.086	0.834	4
SH3BGRL3	0.024	0.065	0.106	0.002	0.854	0.837	0.021	0	0	1	0.087	0.846	4
HAGH	-0.111	-0.068	-0.025	0.002	0.222	0.895	0.022	0	0	1	0.088	0.862	3
PDCD8	-0.051	-0.031	-0.012	0.002	0.559	0.756	0.01	0	0	1	0.088	0.857	3
ZNF403	-0.063	-0.038	-0.014	0.002	1.299	0.522	0.012	0	0	1	0.088	0.857	3
NRAS	0.025	0.066	0.108	0.002	0.358	0.836	0.021	0	0	1	0.089	0.87	3
TBC1D16	0.023	0.061	0.1	0.002	0.058	0.972	0.02	0	0	1	0.089	0.863	3
TSPO	0.02	0.054	0.087	0.002	1.418	0.492	0.017	0	0	1	0.089	0.87	3
CKMT1A	-0.106	-0.065	-0.024	0.002	0.888	0.828	0.021	0	0	1	0.09	0.873	4
HAPLN4	-0.297	-0.182	-0.067	0.002	0.505	0.777	0.059	0	0	1	0.09	0.875	3
KIAA1467	-0.126	-0.077	-0.028	0.002	1.581	0.454	0.025	0	0	1	0.09	0.873	3
LOC606724	-0.093	-0.057	-0.021	0.002	0.265	0.876	0.018	0	0	1	0.09	0.875	3
PARN	-0.082	-0.051	-0.019	0.002	0.046	0.977	0.016	0	0	1	0.09	0.873	3
SMARCA5	0.024	0.066	0.108	0.002	3.759	0.289	0.021	0	20.196	1.253	0.09	0.881	4
AKAP1	-0.084	-0.051	-0.019	0.002	1.352	0.717	0.017	0	0	1	0.091	0.886	4
FBXW4	0.02	0.054	0.087	0.002	2.403	0.493	0.017	0	0	1	0.091	0.89	4
GMPR2	-0.079	-0.048	-0.018	0.002	1.578	0.664	0.016	0	0	1	0.091	0.89	4
MUSTN1	-0.14	-0.085	-0.031	0.002	0.493	0.781	0.028	0	0	1	0.091	0.886	3
PARP3	-0.059	-0.036	-0.013	0.002	2.604	0.457	0.012	0	0	1	0.091	0.89	4
PPFIA2	0.022	0.06	0.098	0.002	0.484	0.922	0.019	0	0	1	0.091	0.89	4
RPS2	0.025	0.069	0.112	0.002	1.041	0.791	0.022	0	0	1	0.091	0.886	4
SRA1	-0.097	-0.059	-0.022	0.002	1.683	0.641	0.019	0	0	1	0.091	0.886	4
ABHD12	-0.066	-0.04	-0.015	0.002	0.748	0.688	0.013	0	0	1	0.094	0.92	3
LRP8	-0.116	-0.071	-0.026	0.002	0.419	0.936	0.023	0	0	1	0.094	0.92	4
MAGEE1	-0.081	-0.049	-0.018	0.002	0.59	0.745	0.016	0	0	1	0.095	0.93	3
RAB23	0.026	0.072	0.118	0.002	1.215	0.545	0.023	0	0	1	0.095	0.93	3
WDR54	-0.078	-0.048	-0.017	0.002	0.846	0.838	0.016	0	0	1	0.097	0.942	4
ATP6V1C1	-0.133	-0.081	-0.029	0.002	0.23	0.973	0.027	0	0	1	0.1	0.97	4
AYTL2	0.024	0.068	0.112	0.002	0.285	0.867	0.022	0	0	1	0.1	0.97	3
BOLA3	-0.115	-0.07	-0.025	0.002	0.329	0.954	0.023	0	0	1	0.1	0.97	4
C17orf61	0.015	0.041	0.068	0.002	0.02	0.99	0.014	0	0	1	0.1	0.97	3
GNAI2	0.023	0.064	0.106	0.002	1.844	0.605	0.021	0	0	1	0.1	0.97	4
MRPL15	-0.099	-0.06	-0.021	0.002	0.724	0.696	0.02	0	0	1	0.1	0.97	3
NMT1	0.021	0.059	0.097	0.002	2.007	0.571	0.019	0	0	1	0.1	0.971	4
PIK4CA	-0.065	-0.039	-0.014	0.002	0.276	0.871	0.013	0	0	1	0.1	0.97	3
THOC5	-0.103	-0.063	-0.022	0.002	2.679	0.444	0.021	0	0	1	0.1	0.97	4
UBE2L6	0.021	0.059	0.097	0.002	0.985	0.805	0.019	0	0	1	0.1	0.97	4
ZNF365	-0.121	-0.073	-0.026	0.002	0.07	0.966	0.024	0	0	1	0.1	0.97	3
AP3B2	-0.1	-0.061	-0.021	0.002	0.25	0.969	0.02	0	0	1	0.102	0.993	4
FAM44B	0.012	0.035	0.058	0.002	0.405	0.817	0.012	0	0	1	0.102	0.993	3
HIST2H2AC	0.031	0.089	0.147	0.002	0.509	0.775	0.029	0	0	1	0.102	0.993	3
PHACTR3	0.017	0.049	0.081	0.002	0.214	0.975	0.016	0	0	1	0.102	0.993	4
AARS	-0.049	-0.029	-0.01	0.003	0.458	0.795	0.01	0	0	1	0.103	1	3
ACOX1	0.022	0.062	0.102	0.003	1.342	0.719	0.02	0	0	1	0.103	1	4
BAIAP2L2	-0.174	-0.106	-0.037	0.003	0.664	0.882	0.035	0	0	1	0.103	1	4
BHLHB2	-0.17	-0.103	-0.036	0.003	1.031	0.597	0.034	0	0	1	0.103	1	3
DDX24	-0.091	-0.055	-0.019	0.003	0.378	0.828	0.018	0	0	1	0.103	1	3
LRRCC1	0.033	0.094	0.155	0.003	3.822	0.281	0.031	0.001	21.513	1.274	0.103	1	4
PBX3	0.021	0.061	0.101	0.003	1.416	0.702	0.02	0	0	1	0.103	1	4
QKI	0.021	0.06	0.098	0.003	0.512	0.916	0.02	0	0	1	0.103	1	4
TOMM20	-0.168	-0.102	-0.035	0.003	1.631	0.652	0.034	0	0	1	0.103	1	4
ACLY	-0.058	-0.035	-0.012	0.003	3.067	0.381	0.012	0	2.191	1.022	0.105	1	4
CCDC50	0.034	0.097	0.16	0.003	1.322	0.724	0.032	0	0	1	0.105	1	4
CD81	0.012	0.034	0.056	0.003	0.545	0.761	0.011	0	0	1	0.105	1	3
FLJ22531	-0.136	-0.082	-0.029	0.003	0.468	0.791	0.027	0	0	1	0.105	1	3
SFMBT2	0.037	0.108	0.179	0.003	0.137	0.934	0.036	0	0	1	0.105	1	3
TMEM101	0.016	0.046	0.076	0.003	0.275	0.872	0.015	0	0	1	0.105	1	3
ELP4	0.017	0.05	0.082	0.003	1.202	0.752	0.017	0	0	1	0.107	1	4
PVRL3	0.036	0.104	0.173	0.003	0.321	0.852	0.035	0	0	1	0.108	1	3
ABLIM2	-0.115	-0.069	-0.024	0.003	2.13	0.546	0.023	0	0	1	0.109	1	4
GTPBP6	0.019	0.055	0.092	0.003	1.219	0.544	0.019	0	0	1	0.109	1	3
HIST2H2AA3	0.036	0.106	0.176	0.003	0.47	0.791	0.036	0	0	1	0.109	1	3
RNASET2	0.038	0.111	0.183	0.003	0.693	0.707	0.037	0	0	1	0.109	1	3
ZGPAT	-0.074	-0.044	-0.015	0.003	0.534	0.766	0.015	0	0	1	0.109	1	3
CDC37	-0.051	-0.031	-0.011	0.003	0.564	0.905	0.01	0	0	1	0.11	1	4
FMNL2	0.024	0.07	0.116	0.003	1.991	0.574	0.024	0	0	1	0.11	1	4
FXR1	0.015	0.043	0.071	0.003	1.232	0.54	0.014	0	0	1	0.11	1	3
IMMT	-0.093	-0.056	-0.019	0.003	2.156	0.541	0.019	0	0	1	0.11	1	4
INT4	0.015	0.043	0.072	0.003	0.838	0.658	0.015	0	0	1	0.11	1	3
MDH1	-0.111	-0.067	-0.023	0.003	0.197	0.978	0.022	0	0	1	0.11	1	4
SLC37A3	-0.103	-0.062	-0.021	0.003	0.816	0.846	0.021	0	0	1	0.11	1	4
STK3	0.03	0.09	0.149	0.003	0.119	0.942	0.03	0	0	1	0.11	1	3
TMBIM1	0.036	0.106	0.175	0.003	1.226	0.747	0.036	0	0	1	0.11	1	4
TUBG2	-0.076	-0.046	-0.016	0.003	1.459	0.692	0.016	0	0	1	0.11	1	4
TXLNA	0.018	0.054	0.09	0.003	1.718	0.633	0.018	0	0	1	0.11	1	4
ZNF234	0.02	0.059	0.098	0.003	1.856	0.603	0.02	0	0	1	0.11	1	4
LOC219854	0.024	0.071	0.118	0.003	0.324	0.85	0.024	0	0	1	0.111	1	3
PREPL	-0.106	-0.064	-0.021	0.003	1.847	0.605	0.022	0	0	1	0.111	1	4
ATP13A2	-0.086	-0.052	-0.017	0.003	0.23	0.973	0.018	0	0	1	0.112	1	4
FCGBP	0.088	0.261	0.435	0.003	2.096	0.351	0.089	0.001	4.563	1.048	0.112	1	3
NDUFV2	-0.064	-0.038	-0.013	0.003	1.728	0.422	0.013	0	0	1	0.113	1	3
