ID	lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies	infl.same.sign.logFC	infl.nstudies	sensi.global	sensi.specific
CABP1	-0.166	-0.11	-0.053	0	0.287	0.962	0.029	0	0	1	0.022	0.219	4	4	non	0.96769186868378	all.p.values < 0.05
CALR	0.031	0.068	0.104	0	1.006	0.8	0.019	0	0	1	0.031	0.301	4	3	non	0.962606028201638	all.p.values < 0.05
CAMK2G	-0.117	-0.076	-0.034	0	1.513	0.469	0.021	0	0	1	0.035	0.341	3	3	non	0.86545336486315	all.p.values < 0.05
CCBL2	-0.228	-0.147	-0.066	0	1.418	0.492	0.041	0	0	1	0.035	0.337	3	3	GSE28521_frontal	0.969880164479707	all.p.values < 0.05
CCT4	0.02	0.045	0.071	0.001	1.129	0.77	0.013	0	0	1	0.045	0.439	4	3	GSE28521_frontal	0.677326568677109	GSE28521_frontal
CENTG2	0.024	0.047	0.07	0	0.102	0.95	0.012	0	0	1	0.014	0.134	3	3	non	0.872852215279652	all.p.values < 0.05
CFDP1	0.027	0.058	0.089	0	0.527	0.913	0.016	0	0	1	0.028	0.275	4	3	non	0.937510005116005	all.p.values < 0.05
CGI-115	0.032	0.067	0.101	0	0.241	0.887	0.018	0	0	1	0.022	0.212	3	3	non	0.988942955933751	all.p.values < 0.05
CIRH1A	-0.095	-0.065	-0.034	0	1.259	0.533	0.015	0	0	1	0.011	0.103	3	3	GSE28521_frontal	0.868463255054627	all.p.values < 0.05
CNDP2	0.046	0.07	0.093	0	0.609	0.738	0.012	0	0	1	0	0	3	3	non	0.829027380628984	all.p.values < 0.05
CNTNAP1	-0.11	-0.073	-0.036	0	0.065	0.968	0.019	0	0	1	0.021	0.207	3	3	non	0.850294285362667	all.p.values < 0.05
COMMD2	0.087	0.129	0.171	0	1.97	0.374	0.021	0	0	1	0	0	3	3	GSE28521_frontal,GSE28521_temporal	0.797427658115479	all.p.values < 0.05
COQ10A	-0.085	-0.057	-0.029	0	0.898	0.638	0.014	0	0	1	0.017	0.166	3	3	GSE28521_cerebellum	0.975952000599008	all.p.values < 0.05
CPLX1	-0.15	-0.102	-0.054	0	0.982	0.612	0.025	0	0	1	0.012	0.112	3	3	GSE28521_frontal	0.962419208834122	all.p.values < 0.05
CPLX2	-0.207	-0.134	-0.061	0	0.509	0.917	0.037	0	0	1	0.033	0.317	4	4	non	0.944831900498904	all.p.values < 0.05
CTBP1	-0.072	-0.047	-0.021	0	2.751	0.432	0.013	0	0	1	0.033	0.317	4	4	GSE28521_frontal,GSE28521_temporal	0.516715491095236	GSE28521_frontal
CTGF	-0.3	-0.204	-0.108	0	0.46	0.795	0.049	0	0	1	0.012	0.112	3	3	non	0.831438210153449	all.p.values < 0.05
CYP2E1	-0.184	-0.119	-0.054	0	0.179	0.981	0.033	0	0	1	0.033	0.317	4	4	non	0.930593753477007	all.p.values < 0.05
DENND2A	0.046	0.089	0.132	0	2.359	0.501	0.022	0	0	1	0.014	0.134	4	3	GSE28521_frontal	0.66131837223493	GSE28521_frontal
DFFA	0.059	0.109	0.16	0	1.707	0.635	0.026	0	0	1	0.009	0.089	4	3	non	0.882910911225718	all.p.values < 0.05
DHDDS	-0.092	-0.059	-0.027	0	1.654	0.647	0.016	0	0	1	0.032	0.308	4	4	GSE28521_cerebellum,GSE28521_temporal	0.986578246001913	all.p.values < 0.05
DPP8	-0.093	-0.059	-0.026	0.001	2.161	0.339	0.017	0	7.455	1.081	0.048	0.463	3	3	GSE28521_frontal	0.883253050108278	GSE28521_temporal
DSCR1L1	-0.115	-0.075	-0.035	0	1.488	0.475	0.02	0	0	1	0.028	0.272	3	3	non	0.977844853927293	all.p.values < 0.05
ENTPD6	-0.105	-0.068	-0.031	0	0.179	0.981	0.019	0	0	1	0.033	0.317	4	4	non	0.871049729781736	all.p.values < 0.05
ETS2	-0.152	-0.097	-0.042	0.001	0.227	0.973	0.028	0	0	1	0.045	0.442	4	4	non	0.711076410281168	all.p.values < 0.05
FAM51A1	0.026	0.057	0.089	0	1.942	0.379	0.016	0	0	1	0.031	0.306	3	3	GSE28521_cerebellum,GSE28521_frontal	0.933746314276009	all.p.values < 0.05
FH	-0.079	-0.055	-0.031	0	2.52	0.472	0.012	0	0	1	0.004	0.04	4	4	GSE28521_cerebellum,GSE28521_temporal	0.765287191358473	all.p.values < 0.05
FLJ13305	0.046	0.082	0.119	0	0.662	0.718	0.019	0	0	1	0.005	0.05	3	3	non	0.960615586314743	all.p.values < 0.05
FLJ22318	-0.097	-0.063	-0.029	0	2.651	0.266	0.017	0	24.566	1.326	0.032	0.315	3	3	GSE28521_temporal	0.887846649960745	GSE28521_frontal
GALE	-0.077	-0.05	-0.023	0	1.647	0.649	0.014	0	0	1	0.032	0.308	4	3	non	0.762648443279567	all.p.values < 0.05
GANAB	0.029	0.067	0.105	0.001	0.47	0.926	0.019	0	0	1	0.046	0.451	4	4	non	0.884969227778419	all.p.values < 0.05
HEBP1	0.023	0.052	0.082	0.001	2.714	0.257	0.015	0	26.311	1.357	0.045	0.442	3	3	GSE28521_cerebellum,GSE28521_frontal	0.888805080752537	GSE28521_cerebellum
HIST1H2BD	0.032	0.069	0.107	0	0.91	0.634	0.019	0	0	1	0.032	0.314	3	3	GSE28521_temporal	0.901168441992731	all.p.values < 0.05
HIST1H2BK	0.045	0.104	0.163	0.001	1.103	0.576	0.03	0	0	1	0.045	0.435	3	3	GSE28521_frontal	0.809519507754458	GSE28521_frontal
HIST2H2BE	0.058	0.12	0.182	0	0.502	0.778	0.032	0	0	1	0.022	0.212	3	3	GSE28521_frontal	0.729250968244549	all.p.values < 0.05
IDH3A	-0.106	-0.07	-0.033	0	0.902	0.825	0.019	0	0	1	0.025	0.243	4	4	GSE28521_temporal	0.943283787729458	all.p.values < 0.05
IDH3G	-0.086	-0.057	-0.027	0	1.429	0.699	0.015	0	0	1	0.025	0.243	4	4	GSE28521_temporal	0.917755782921957	all.p.values < 0.05
IQSEC1	-0.092	-0.062	-0.031	0	1.981	0.576	0.016	0	0	1	0.016	0.158	4	4	GSE28521_cerebellum	0.909192397523542	all.p.values < 0.05
ISOC2	0.038	0.073	0.108	0	0.617	0.735	0.018	0	0	1	0.013	0.125	3	3	non	0.982957763343438	all.p.values < 0.05
KIAA0513	-0.117	-0.083	-0.049	0	2.608	0.456	0.017	0	0	1	0.002	0.02	4	4	GSE28521_frontal,GSE28521_temporal	0.647778218517143	all.p.values < 0.05
KLC2	-0.124	-0.083	-0.042	0	1.964	0.58	0.021	0	0	1	0.016	0.159	4	3	non	0.818881165761763	all.p.values < 0.05
Kua	0.033	0.066	0.099	0	0.491	0.782	0.017	0	0	1	0.018	0.178	3	3	GSE28521_frontal	0.740440924606125	all.p.values < 0.05
LOC400566	-0.183	-0.128	-0.073	0	0.974	0.614	0.028	0	0	1	0.004	0.04	3	3	GSE28521_frontal	0.913353199096673	all.p.values < 0.05
LOC91561	0.024	0.042	0.059	0	0.573	0.751	0.009	0	0	1	0.002	0.02	3	3	non	0.960439118844919	all.p.values < 0.05
MGC2747	0.023	0.046	0.069	0	1.252	0.535	0.012	0	0	1	0.017	0.166	3	3	GSE28521_frontal	0.811803688668147	all.p.values < 0.05
MGC33692	-0.079	-0.052	-0.024	0	0.059	0.971	0.014	0	0	1	0.031	0.299	3	3	non	0.693302919826581	GSE28521_frontal
NAG6	-0.104	-0.068	-0.033	0	1.431	0.489	0.018	0	0	1	0.025	0.243	3	3	GSE28521_temporal	0.890930602537678	all.p.values < 0.05
NAP1L5	-0.176	-0.114	-0.053	0	1.199	0.753	0.031	0	0	1	0.031	0.306	4	4	non	0.901721459579804	all.p.values < 0.05
NDEL1	-0.104	-0.069	-0.034	0	1.986	0.575	0.018	0	0	1	0.021	0.207	4	3	non	0.98407769284671	all.p.values < 0.05
NDUFB8	-0.041	-0.027	-0.012	0	1.765	0.623	0.007	0	0	1	0.03	0.288	4	4	GSE28521_temporal	0.938835104670254	all.p.values < 0.05
NOMO1	-0.125	-0.089	-0.052	0	0.776	0.678	0.019	0	0	1	0.002	0.02	3	3	non	0.943344766411041	all.p.values < 0.05
NPAS3	0.04	0.093	0.145	0.001	1.353	0.508	0.027	0	0	1	0.045	0.435	3	3	GSE28521_frontal,GSE28521_temporal	0.865759514958505	all.p.values < 0.05
OGDHL	-0.113	-0.074	-0.035	0	0.247	0.884	0.02	0	0	1	0.025	0.243	3	3	non	0.954694485012894	all.p.values < 0.05
PEA15	0.027	0.048	0.069	0	0.209	0.976	0.011	0	0	1	0.005	0.05	4	3	non	0.938481839209973	all.p.values < 0.05
PELI3	-0.117	-0.079	-0.04	0	1.902	0.593	0.019	0	0	1	0.014	0.134	4	4	GSE28521_frontal	0.70048982314612	all.p.values < 0.05
PFKP	-0.14	-0.1	-0.06	0	0.113	0.945	0.02	0	0	1	0.001	0.012	3	3	non	0.980827214971537	all.p.values < 0.05
PGBD1	-0.097	-0.066	-0.034	0	2.908	0.406	0.016	0	0	1	0.013	0.125	4	3	GSE28521_frontal,GSE28521_temporal	0.930913072383594	all.p.values < 0.05
PHF16	0.036	0.074	0.112	0	0.292	0.864	0.019	0	0	1	0.022	0.212	3	3	non	0.968998641354154	all.p.values < 0.05
PHKG2	-0.084	-0.057	-0.03	0	2.833	0.418	0.014	0	0	1	0.013	0.125	4	4	GSE28521_temporal	0.968194549553273	all.p.values < 0.05
PIB5PA	-0.151	-0.104	-0.057	0	0.345	0.841	0.024	0	0	1	0.007	0.066	3	3	non	0.965841226248164	all.p.values < 0.05
PIGV	0.026	0.06	0.094	0.001	2.134	0.344	0.017	0	6.279	1.067	0.045	0.441	3	3	GSE28521_temporal	0.692016565138546	all.p.values < 0.05
PKNOX2	-0.092	-0.06	-0.028	0	1.465	0.69	0.016	0	0	1	0.03	0.296	4	4	non	0.980342929881959	all.p.values < 0.05
PLXDC2	0.055	0.118	0.18	0	1.661	0.436	0.032	0	0	1	0.03	0.288	3	3	GSE28521_frontal	0.717662631626907	all.p.values < 0.05
PNMA6A	-0.104	-0.066	-0.029	0	2.525	0.471	0.019	0	0	1	0.041	0.396	4	3	non	0.805661885742679	GSE28521_frontal
PPME1	-0.096	-0.063	-0.03	0	1.02	0.796	0.017	0	0	1	0.024	0.238	4	4	non	0.956586838354321	all.p.values < 0.05
PRC1	-0.127	-0.085	-0.043	0	2.442	0.486	0.022	0	0	1	0.016	0.159	4	4	non	0.590228156954364	all.p.values < 0.05
PREX1	0.043	0.095	0.148	0	0.85	0.838	0.027	0	0	1	0.035	0.341	4	3	non	0.877132696181499	all.p.values < 0.05
PSMD2	-0.06	-0.039	-0.018	0	0.849	0.838	0.011	0	0	1	0.033	0.317	4	4	GSE28521_frontal	0.869116932750208	all.p.values < 0.05
PSMF1	0.02	0.047	0.074	0.001	1.75	0.417	0.014	0	0	1	0.046	0.451	3	3	GSE28521_temporal	0.82622369135981	all.p.values < 0.05
PTD004	-0.197	-0.13	-0.064	0	1.935	0.38	0.034	0	0	1	0.021	0.207	3	3	GSE28521_frontal,GSE28521_temporal	0.971386492276046	all.p.values < 0.05
PUS7	-0.096	-0.064	-0.033	0	0.332	0.954	0.016	0	0	1	0.016	0.159	4	4	non	0.920040586917733	all.p.values < 0.05
RNMT	-0.073	-0.049	-0.025	0	0.599	0.741	0.012	0	0	1	0.016	0.159	3	3	non	0.954720413355571	all.p.values < 0.05
RPL23AP7	0.046	0.083	0.12	0	1.037	0.595	0.019	0	0	1	0.006	0.058	3	3	GSE28521_cerebellum	0.911200814824478	all.p.values < 0.05
RPL31	0.028	0.057	0.086	0	0.591	0.899	0.015	0	0	1	0.018	0.178	4	3	non	0.932375256745973	all.p.values < 0.05
RYBP	0.055	0.105	0.155	0	0.627	0.89	0.026	0	0	1	0.013	0.125	4	4	non	0.956760401311243	all.p.values < 0.05
SC5DL	-0.107	-0.071	-0.034	0	1.262	0.532	0.019	0	0	1	0.025	0.243	3	3	non	0.70014424979481	all.p.values < 0.05
SCAMP5	-0.082	-0.053	-0.025	0	1.113	0.774	0.015	0	0	1	0.03	0.296	4	4	non	0.810689397077238	all.p.values < 0.05
SENP2	-0.074	-0.048	-0.022	0	0.552	0.907	0.013	0	0	1	0.032	0.315	4	4	non	0.870245545613181	all.p.values < 0.05
SERTAD4	-0.226	-0.153	-0.08	0	0.296	0.961	0.037	0	0	1	0.013	0.125	4	4	non	0.883010069680314	all.p.values < 0.05
SHD	-0.211	-0.151	-0.091	0	0.856	0.652	0.031	0	0	1	0.001	0.012	3	3	GSE28521_frontal	0.905340971084113	all.p.values < 0.05
SLA	0.041	0.082	0.123	0	0.614	0.893	0.021	0	0	1	0.018	0.178	4	4	non	0.6456755669231	all.p.values < 0.05
SLC20A1	-0.126	-0.083	-0.041	0	1.03	0.794	0.022	0	0	1	0.021	0.207	4	4	non	0.853431218535747	all.p.values < 0.05
SLC25A27	-0.18	-0.118	-0.057	0	1.252	0.741	0.031	0	0	1	0.024	0.23	4	4	GSE28521_temporal	0.942740940351821	all.p.values < 0.05
SLC25A29	0.041	0.089	0.136	0	1.234	0.539	0.024	0	0	1	0.03	0.29	3	3	GSE28521_temporal	0.660623384886656	GSE28521_temporal
SLC25A3	-0.051	-0.033	-0.015	0	0.357	0.949	0.009	0	0	1	0.039	0.384	4	4	non	0.576424835212695	GSE28521_temporal
SLC29A1	-0.172	-0.12	-0.068	0	0.85	0.837	0.026	0	0	1	0.004	0.04	4	4	GSE28521_frontal	0.73808250821474	all.p.values < 0.05
SLC6A17	-0.133	-0.087	-0.041	0	1.66	0.646	0.023	0	0	1	0.026	0.251	4	3	non	0.922714026169701	all.p.values < 0.05
SOX4	0.037	0.085	0.134	0.001	0.207	0.976	0.025	0	0	1	0.045	0.435	4	4	non	0.811653592879273	all.p.values < 0.05
SPARCL1	-0.049	-0.034	-0.019	0	2.405	0.493	0.008	0	0	1	0.005	0.05	4	3	GSE28521_temporal	0.42194688043094	GSE28521_cerebellum
TARBP1	-0.156	-0.1	-0.043	0.001	0.354	0.95	0.029	0	0	1	0.045	0.442	4	4	non	0.941469730640263	all.p.values < 0.05
TCEA3	0.078	0.143	0.208	0	0.932	0.818	0.033	0	0	1	0.008	0.077	4	4	non	0.875736829900987	all.p.values < 0.05
TMCC1	-0.122	-0.088	-0.054	0	2.366	0.5	0.017	0	0	1	0.001	0.009	4	4	GSE28521_cerebellum,GSE28521_frontal	0.832300683163211	all.p.values < 0.05
TMED1	0.033	0.057	0.082	0	0.861	0.65	0.012	0	0	1	0.004	0.038	3	3	GSE28521_frontal	0.648385252968515	GSE28521_frontal
TMEM25	-0.333	-0.231	-0.129	0	0.109	0.991	0.052	0	0	1	0.005	0.05	4	4	non	0.961387525627609	all.p.values < 0.05
TSPAN14	0.045	0.081	0.117	0	1.355	0.716	0.018	0	0	1	0.005	0.052	4	3	non	0.840519579849456	all.p.values < 0.05
TSPAN33	0.045	0.084	0.122	0	1.968	0.579	0.02	0	0	1	0.009	0.092	4	3	GSE28521_frontal,GSE28521_temporal	0.949916919341336	all.p.values < 0.05
UBIAD1	0.038	0.058	0.078	0	1.029	0.794	0.01	0	0	1	0	0	4	4	GSE28521_frontal	0.733472383552019	all.p.values < 0.05
USP46	0.032	0.062	0.092	0	0.589	0.745	0.015	0	0	1	0.013	0.13	3	3	non	0.962639774546012	all.p.values < 0.05
VHL	0.037	0.072	0.107	0	0.757	0.86	0.018	0	0	1	0.015	0.143	4	3	non	0.957502862991503	all.p.values < 0.05
WDR40A	0.029	0.065	0.101	0	0.649	0.723	0.018	0	0	1	0.034	0.327	3	3	non	0.993468745067037	all.p.values < 0.05
XRCC1	-0.089	-0.059	-0.029	0	0.452	0.929	0.015	0	0	1	0.021	0.207	4	4	non	0.899163007538927	all.p.values < 0.05
ZFR	0.029	0.052	0.074	0	2.312	0.51	0.012	0	0	1	0.005	0.05	4	3	GSE28521_cerebellum	0.908585060437764	all.p.values < 0.05
ZNF179	-0.106	-0.071	-0.037	0	0.266	0.875	0.018	0	0	1	0.014	0.14	3	3	non	0.718930494187909	all.p.values < 0.05
ZNF271	0.026	0.052	0.078	0	0.811	0.666	0.013	0	0	1	0.018	0.178	3	3	non	0.804178199876466	all.p.values < 0.05
ZNF331	-0.09	-0.059	-0.027	0	3.219	0.359	0.016	0	6.792	1.073	0.028	0.275	4	4	GSE28521_cerebellum,GSE28521_frontal	0.455197782929809	GSE28521_frontal,GSE28521_temporal
