lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies
PIB5PA	-0.117	-0.07	-0.023	0.003	0.254	0.881	0.024	0	0	1	0.667	1	3
ZNF179	-0.087	-0.052	-0.017	0.003	0.251	0.882	0.018	0	0	1	0.667	1	3
PRC1	-0.105	-0.063	-0.021	0.004	2.995	0.392	0.022	0	0	1	0.672	1	4
SLA	0.02	0.061	0.103	0.004	1.236	0.744	0.021	0	0	1	0.675	1	4
MGC2747	0.011	0.034	0.057	0.004	0.944	0.624	0.012	0	0	1	0.68	1	3
MPDZ	0.016	0.05	0.084	0.004	2.57	0.463	0.017	0	0	1	0.68	1	4
DUSP1	-0.16	-0.095	-0.03	0.004	0.2	0.978	0.033	0	0	1	0.683	1	4
IQSEC1	-0.075	-0.045	-0.014	0.004	1.439	0.696	0.016	0	0	1	0.683	1	4
LRP8	-0.111	-0.066	-0.021	0.004	0.345	0.951	0.023	0	0	1	0.683	1	4
PEA15	0.01	0.031	0.052	0.004	0.049	0.997	0.011	0	0	1	0.683	1	4
PGBD1	-0.077	-0.046	-0.014	0.004	1.503	0.682	0.016	0	0	1	0.683	1	4
PREX1	0.025	0.077	0.129	0.004	0.546	0.909	0.027	0	0	1	0.683	1	4
BSCL2	-0.049	-0.029	-0.009	0.005	1.061	0.786	0.01	0	0	1	0.696	1	4
DBT	0.011	0.037	0.062	0.005	0.871	0.832	0.013	0	0	1	0.696	1	4
LOC57149	0.01	0.032	0.054	0.005	0.002	0.999	0.011	0	0	1	0.696	1	3
LOC606724	-0.087	-0.051	-0.015	0.005	0.057	0.972	0.018	0	0	1	0.696	1	3
NPAS3	0.023	0.075	0.127	0.005	0.493	0.782	0.027	0	0	1	0.696	1	3
NT5C3	-0.082	-0.048	-0.015	0.005	0.057	0.972	0.017	0	0	1	0.696	1	3
PSRC1	0.019	0.062	0.105	0.004	1.515	0.679	0.022	0	0	1	0.696	1	4
SERGEF	-0.07	-0.041	-0.012	0.005	2.135	0.545	0.015	0	0	1	0.696	1	4
SLC29A1	-0.126	-0.075	-0.023	0.005	0.356	0.949	0.026	0	0	1	0.696	1	4
ZNF10	-0.08	-0.047	-0.014	0.005	0.296	0.961	0.017	0	0	1	0.696	1	4
AASDHPPT	-0.083	-0.048	-0.014	0.006	0.055	0.973	0.018	0	0	1	0.706	1	3
CIRH1A	-0.073	-0.043	-0.012	0.006	0.406	0.816	0.015	0	0	1	0.706	1	3
LASS5	0.019	0.063	0.108	0.006	0.753	0.686	0.023	0	0	1	0.706	1	3
LOC91561	0.007	0.024	0.041	0.006	0.19	0.91	0.009	0	0	1	0.706	1	3
LRRN3	-0.114	-0.067	-0.019	0.006	0.567	0.753	0.024	0	0	1	0.706	1	3
MKNK1	0.021	0.072	0.124	0.006	3.527	0.317	0.026	0	14.944	1.176	0.706	1	4
MUTED	0.009	0.032	0.054	0.006	1.173	0.556	0.011	0	0	1	0.706	1	3
NR4A2	-0.307	-0.179	-0.052	0.006	0.145	0.93	0.065	0	0	1	0.706	1	3
PSMD12	-0.089	-0.052	-0.015	0.006	1.589	0.662	0.019	0	0	1	0.706	1	4
TXLNA	0.015	0.051	0.086	0.006	1.145	0.766	0.018	0	0	1	0.706	1	4
AKAP1	-0.078	-0.045	-0.013	0.006	1.173	0.759	0.017	0	0	1	0.718	1	4
C17orf61	0.01	0.037	0.064	0.006	0.101	0.951	0.014	0	0	1	0.718	1	3
CAMKK2	-0.202	-0.117	-0.033	0.006	0.064	0.996	0.043	0	0	1	0.718	1	4
ETS2	-0.131	-0.076	-0.021	0.006	0.036	0.998	0.028	0	0	1	0.718	1	4
LOC400566	-0.132	-0.077	-0.022	0.006	0.171	0.918	0.028	0	0	1	0.718	1	3
CAMK2G	-0.099	-0.058	-0.016	0.007	1.196	0.55	0.021	0	0	1	0.731	1	3
CENTG2	0.009	0.031	0.054	0.007	0.215	0.898	0.012	0	0	1	0.731	1	3
CFDP1	0.011	0.042	0.073	0.007	0.355	0.949	0.016	0	0	1	0.731	1	4
FH	-0.057	-0.033	-0.009	0.007	1.871	0.6	0.012	0	0	1	0.731	1	4
FLJ25067	-0.084	-0.048	-0.013	0.007	0.543	0.762	0.018	0	0	1	0.731	1	3
NDUFAB1	-0.086	-0.05	-0.014	0.007	1.568	0.667	0.019	0	0	1	0.731	1	4
PSMD2	-0.05	-0.029	-0.008	0.007	0.632	0.889	0.011	0	0	1	0.731	1	4
TNIP1	0.019	0.069	0.118	0.007	4.671	0.198	0.025	0.001	35.775	1.557	0.731	1	4
ZFR	0.009	0.031	0.054	0.007	1.093	0.779	0.012	0	0	1	0.731	1	4
FLJ13305	0.017	0.062	0.108	0.008	2.996	0.224	0.023	0.001	33.235	1.498	0.734	1	3
GTPBP6	0.013	0.049	0.086	0.008	0.537	0.765	0.019	0	0	1	0.734	1	3
LRP1	0.011	0.043	0.074	0.008	2.981	0.395	0.016	0	0	1	0.734	1	4
LRRCC1	0.019	0.07	0.121	0.008	1.774	0.621	0.026	0	0	1	0.734	1	4
MACF1	0.012	0.046	0.079	0.008	1.853	0.396	0.017	0	0	1	0.734	1	3
SNX5	0.011	0.04	0.07	0.008	0.167	0.983	0.015	0	0	1	0.734	1	4
CTBP1	-0.06	-0.034	-0.009	0.008	2.227	0.527	0.013	0	0	1	0.76	1	4
STK3	0.021	0.08	0.14	0.008	0.001	1	0.03	0	0	1	0.76	1	3
COQ10A	-0.066	-0.038	-0.01	0.008	0.577	0.749	0.014	0	0	1	0.779	1	3
OSBPL6	-0.082	-0.047	-0.012	0.009	1.108	0.775	0.018	0	0	1	0.779	1	4
TTC5	0.013	0.05	0.088	0.009	0.552	0.759	0.019	0	0	1	0.779	1	3
NAG6	-0.084	-0.048	-0.012	0.009	1.687	0.43	0.018	0	0	1	0.783	1	3
CPLX1	-0.113	-0.064	-0.016	0.009	0.248	0.883	0.025	0	0	1	0.785	1	3
SLC38A6	0.008	0.033	0.057	0.009	1.079	0.782	0.013	0	0	1	0.785	1	4
VHL	0.012	0.047	0.082	0.009	0.404	0.939	0.018	0	0	1	0.785	1	4
NAP1L5	-0.144	-0.082	-0.02	0.009	0.712	0.87	0.031	0	0	1	0.802	1	4
BAT5	-0.067	-0.038	-0.009	0.009	0.263	0.877	0.015	0	0	1	0.807	1	3
CLNS1A	0.006	0.025	0.044	0.01	0.267	0.966	0.01	0	0	1	0.807	1	4
CNTNAP1	-0.086	-0.049	-0.011	0.01	0.068	0.966	0.019	0	0	1	0.807	1	3
DFFA	0.015	0.066	0.116	0.01	1.038	0.792	0.026	0	0	1	0.807	1	4
DRG2	0.009	0.037	0.065	0.01	1.374	0.712	0.014	0	0	1	0.807	1	4
FAM51A1	0.01	0.041	0.072	0.01	0.469	0.791	0.016	0	0	1	0.807	1	3
GORASP2	0.004	0.019	0.034	0.01	1.696	0.638	0.007	0	0	1	0.807	1	4
PACSIN3	0.014	0.059	0.104	0.01	0.021	0.989	0.023	0	0	1	0.807	1	3
SPAG16	0.01	0.041	0.072	0.01	2.404	0.493	0.016	0	0	1	0.807	1	4
TBC1D16	0.012	0.051	0.089	0.01	0.051	0.975	0.02	0	0	1	0.807	1	3
THRAP5	0.011	0.045	0.079	0.01	0.033	0.984	0.017	0	0	1	0.807	1	3
TLN2	0.014	0.058	0.102	0.01	2.012	0.57	0.022	0	0	1	0.807	1	4
TM4SF18	-0.151	-0.086	-0.021	0.01	1.798	0.615	0.033	0	0	1	0.807	1	4
UBA52	0.005	0.022	0.038	0.01	2.218	0.528	0.008	0	0	1	0.807	1	4
MGC52057	-0.113	-0.064	-0.015	0.011	0.117	0.943	0.025	0	0	1	0.835	1	3
APP	-0.152	-0.086	-0.02	0.011	0.033	0.984	0.034	0	0	1	0.836	1	3
XRCC1	-0.069	-0.039	-0.009	0.011	1.111	0.774	0.015	0	0	1	0.836	1	4
KTI12	-0.076	-0.043	-0.01	0.011	0.675	0.879	0.017	0	0	1	0.838	1	4
NME1	-0.116	-0.065	-0.015	0.012	0.385	0.825	0.026	0	0	1	0.849	1	3
SLC25A27	-0.14	-0.079	-0.018	0.011	0.688	0.876	0.031	0	0	1	0.849	1	4
SHOC2	-0.075	-0.042	-0.009	0.012	0.208	0.901	0.017	0	0	1	0.857	1	3
C17orf75	0.025	0.115	0.206	0.013	1.519	0.678	0.046	0	0	1	0.859	1	4
C20orf58	0.018	0.087	0.155	0.013	0.233	0.89	0.035	0	0	1	0.859	1	3
CENTD1	0.015	0.07	0.126	0.013	1.625	0.444	0.028	0	0	1	0.859	1	3
DHDDS	-0.073	-0.041	-0.009	0.012	1.254	0.74	0.016	0	0	1	0.859	1	4
DZIP1	0.01	0.049	0.087	0.013	0.639	0.888	0.02	0	0	1	0.859	1	4
EIF4H	-0.039	-0.022	-0.005	0.012	2.177	0.536	0.009	0	0	1	0.859	1	4
GNL3L	0.015	0.07	0.125	0.013	1.811	0.404	0.028	0	0	1	0.859	1	3
ING4	0.007	0.033	0.059	0.012	1.568	0.667	0.013	0	0	1	0.859	1	4
KIAA1467	-0.11	-0.062	-0.013	0.013	1.2	0.549	0.025	0	0	1	0.859	1	3
MRPL21	-0.115	-0.064	-0.013	0.014	0.249	0.883	0.026	0	0	1	0.859	1	3
PIK3CB	-0.103	-0.057	-0.012	0.014	0.981	0.806	0.023	0	0	1	0.859	1	4
PKNOX2	-0.073	-0.041	-0.009	0.013	1.647	0.649	0.016	0	0	1	0.859	1	4
RWDD2	-0.076	-0.042	-0.009	0.013	1.046	0.593	0.017	0	0	1	0.859	1	3
SDHA	-0.073	-0.041	-0.009	0.012	0.613	0.893	0.016	0	0	1	0.859	1	4
SEC31L1	0.008	0.036	0.065	0.013	0.201	0.904	0.015	0	0	1	0.859	1	3
SLC36A1	-0.131	-0.073	-0.016	0.013	0.539	0.91	0.029	0	0	1	0.859	1	4
SMARCA5	0.009	0.042	0.075	0.013	2.375	0.498	0.017	0	0	1	0.859	1	4
TMEM101	0.008	0.038	0.068	0.013	0.26	0.878	0.015	0	0	1	0.859	1	3
WDR12	-0.074	-0.041	-0.008	0.014	1.289	0.732	0.017	0	0	1	0.859	1	4
ZNF689	0.006	0.028	0.05	0.012	0.86	0.65	0.011	0	0	1	0.859	1	3
ANKRD20A1	0.02	0.102	0.185	0.014	0.255	0.88	0.042	0	0	1	0.873	1	3
C1orf21	-0.061	-0.034	-0.007	0.014	2.852	0.415	0.014	0	0	1	0.873	1	4
C9orf28	0.015	0.074	0.132	0.014	0.179	0.915	0.03	0	0	1	0.873	1	3
LGTN	0.007	0.037	0.066	0.014	0.263	0.877	0.015	0	0	1	0.873	1	3
MAD2L2	0.009	0.044	0.08	0.015	3.272	0.352	0.018	0	8.314	1.091	0.873	1	4
SCAMP5	-0.064	-0.036	-0.007	0.014	0.47	0.925	0.015	0	0	1	0.873	1	4
SCG3	-0.227	-0.126	-0.025	0.014	3.994	0.262	0.051	0.003	24.89	1.331	0.873	1	4
TMEM116	0.007	0.035	0.064	0.015	0.015	0.993	0.014	0	0	1	0.873	1	3
RAB6A	-0.097	-0.053	-0.01	0.015	0.995	0.803	0.022	0	0	1	0.896	1	4
BOLA3	-0.1	-0.055	-0.01	0.017	0.635	0.888	0.023	0	0	1	0.914	1	4
C10orf57	0.007	0.036	0.065	0.016	0.62	0.733	0.015	0	0	1	0.914	1	3
C18orf25	-0.071	-0.039	-0.007	0.016	0.935	0.626	0.016	0	0	1	0.914	1	3
ERRFI1	-0.064	-0.035	-0.006	0.017	0.043	0.979	0.015	0	0	1	0.914	1	3
FMNL2	0.011	0.057	0.103	0.016	2.121	0.548	0.024	0	0	1	0.914	1	4
GRPEL1	-0.053	-0.029	-0.006	0.016	0.385	0.943	0.012	0	0	1	0.914	1	4
ISOC2	0.008	0.043	0.078	0.017	0.189	0.91	0.018	0	0	1	0.914	1	3
NNT	-0.067	-0.037	-0.007	0.016	1.538	0.463	0.015	0	0	1	0.914	1	3
PUS7	-0.071	-0.039	-0.007	0.017	0.441	0.932	0.016	0	0	1	0.914	1	4
SAAL1	-0.08	-0.044	-0.008	0.016	0.111	0.99	0.018	0	0	1	0.914	1	4
SCN2B	-0.12	-0.066	-0.013	0.015	1.278	0.734	0.027	0	0	1	0.914	1	4
SLC37A3	-0.091	-0.05	-0.009	0.016	0.906	0.824	0.021	0	0	1	0.914	1	4
TUBB2A	-0.145	-0.08	-0.014	0.017	0.516	0.915	0.033	0	0	1	0.914	1	4
UCN	0.008	0.041	0.075	0.016	0.434	0.933	0.017	0	0	1	0.914	1	4
YTHDC1	0.005	0.028	0.05	0.016	1.517	0.678	0.012	0	0	1	0.914	1	4
ZNF706	0.006	0.034	0.061	0.017	1.422	0.7	0.014	0	0	1	0.914	1	4
AADACL1	-0.078	-0.033	0.011	0.137	0.877	0.645	0.023	0	0	1	0.915	1	3
AARSD1	-0.043	-0.019	0.005	0.122	0.649	0.723	0.012	0	0	1	0.915	1	3
ABC1	0.003	0.039	0.075	0.033	0.054	0.973	0.018	0	0	1	0.915	1	3
ABCA5	-0.093	-0.046	0	0.05	0.406	0.816	0.024	0	0	1	0.915	1	3
ABCG4	-0.095	-0.049	-0.002	0.041	0.255	0.968	0.024	0	0	1	0.915	1	4
ABHD12	-0.057	-0.031	-0.006	0.017	0.384	0.825	0.013	0	0	1	0.915	1	3
ABHD14A	-0.065	-0.031	0.002	0.068	1.548	0.671	0.017	0	0	1	0.915	1	4
ABLIM2	-0.08	-0.034	0.011	0.139	1.077	0.783	0.023	0	0	1	0.915	1	4
ACAA2	-0.012	0.048	0.108	0.116	1.022	0.6	0.031	0	0	1	0.915	1	3
ACAD11	-0.01	0.036	0.082	0.13	0.685	0.877	0.024	0	0	1	0.915	1	4
ACBD6	-0.074	-0.033	0.009	0.124	1.989	0.37	0.021	0	0	1	0.915	1	3
ACLY	-0.043	-0.02	0.002	0.08	2.81	0.422	0.012	0	0	1	0.915	1	4
ACOT1	-0.136	-0.063	0.011	0.094	0.491	0.921	0.038	0	0	1	0.915	1	4
ACOT4	-0.111	-0.051	0.008	0.091	0.405	0.817	0.03	0	0	1	0.915	1	3
ACOX1	-0.005	0.035	0.075	0.088	0.694	0.875	0.02	0	0	1	0.915	1	4
ACP2	-0.093	-0.043	0.006	0.088	1.044	0.791	0.025	0	0	1	0.915	1	4
ACPL2	-0.122	-0.054	0.014	0.119	0.003	0.999	0.035	0	0	1	0.915	1	3
ACSL3	-0.09	-0.048	-0.005	0.028	0.509	0.917	0.022	0	0	1	0.915	1	4
ACSL4	-0.064	-0.029	0.006	0.108	0.162	0.922	0.018	0	0	1	0.915	1	3
ACTR10	-0.12	-0.053	0.013	0.116	1.019	0.797	0.034	0	0	1	0.915	1	4
ACTR1B	-0.077	-0.04	-0.003	0.035	0.384	0.943	0.019	0	0	1	0.915	1	4
ADAL	-0.06	-0.029	0.003	0.074	1.928	0.587	0.016	0	0	1	0.915	1	4
ADAM19	-0.097	-0.043	0.011	0.122	0.35	0.95	0.028	0	0	1	0.915	1	4
ADAMTSL2	0.007	0.061	0.116	0.028	1.097	0.778	0.028	0	0	1	0.915	1	4
ADCY8	-0.064	-0.028	0.007	0.117	0.076	0.963	0.018	0	0	1	0.915	1	3
ADCY9	-0.087	-0.042	0.003	0.067	0.267	0.966	0.023	0	0	1	0.915	1	4
ADH5	-0.007	0.021	0.048	0.139	2.007	0.571	0.014	0	0	1	0.915	1	4
ADPRHL2	0.003	0.033	0.062	0.028	0.13	0.937	0.015	0	0	1	0.915	1	3
AEBP1	-0.014	0.053	0.121	0.123	0.687	0.876	0.035	0	0	1	0.915	1	4
AGPAT7	-0.114	-0.062	-0.011	0.018	0.174	0.917	0.026	0	0	1	0.915	1	3
AGT	-0.153	-0.071	0.01	0.086	0.056	0.996	0.041	0	0	1	0.915	1	4
AHSA2	-0.016	0.053	0.121	0.131	1.448	0.485	0.035	0	0	1	0.915	1	3
AIFM1	-0.052	-0.026	0.001	0.056	1.228	0.746	0.014	0	0	1	0.915	1	4
AKAP11	-0.054	-0.025	0.005	0.098	0.951	0.813	0.015	0	0	1	0.915	1	4
AKR7A2	0.001	0.03	0.059	0.043	2.648	0.449	0.015	0	0	1	0.915	1	4
ALCAM	0.005	0.055	0.106	0.03	0.622	0.733	0.026	0	0	1	0.915	1	3
ALDH1L1	-0.002	0.086	0.173	0.055	0.274	0.965	0.045	0	0	1	0.915	1	4
ALDH5A1	-0.062	-0.028	0.006	0.102	1.179	0.758	0.017	0	0	1	0.915	1	4
ALDH9A1	-0.002	0.04	0.081	0.06	0.22	0.974	0.021	0	0	1	0.915	1	4
ALG11	-0.346	-0.152	0.042	0.124	0.364	0.948	0.099	0	0	1	0.915	1	4
ALKBH6	-0.074	-0.039	-0.005	0.027	0.586	0.9	0.018	0	0	1	0.915	1	4
ALOX5AP	-0.012	0.113	0.238	0.076	0.819	0.845	0.064	0	0	1	0.915	1	4
ALS2CR2	-0.004	0.035	0.074	0.076	0.167	0.92	0.02	0	0	1	0.915	1	3
ALS2CR4	-0.096	-0.044	0.008	0.094	1.246	0.536	0.027	0	0	1	0.915	1	3
ANGEL1	0.007	0.045	0.083	0.02	2.611	0.456	0.019	0	0	1	0.915	1	4
ANKMY2	-0.106	-0.049	0.009	0.098	1.501	0.472	0.029	0	0	1	0.915	1	3
ANKRD29	-0.14	-0.073	-0.006	0.032	0.051	0.975	0.034	0	0	1	0.915	1	3
ANKRD34	-0.063	-0.029	0.005	0.094	0.174	0.917	0.017	0	0	1	0.915	1	3
ANKS1B	-0.005	0.019	0.043	0.121	0.962	0.618	0.012	0	0	1	0.915	1	3
ANXA7	-0.026	-0.012	0.002	0.096	0.239	0.887	0.007	0	0	1	0.915	1	3
AP3B1	-0.004	0.036	0.076	0.082	1.335	0.513	0.021	0	0	1	0.915	1	3
AP3B2	-0.072	-0.033	0.006	0.101	0.078	0.994	0.02	0	0	1	0.915	1	4
AP4E1	-0.047	-0.022	0.003	0.087	0.607	0.895	0.013	0	0	1	0.915	1	4
APEX1	-0.079	-0.035	0.009	0.12	0.342	0.952	0.022	0	0	1	0.915	1	4
APXL	-0.096	-0.049	-0.001	0.044	2.028	0.363	0.024	0	1.396	1.014	0.915	1	3
ARCN1	-0.051	-0.027	-0.002	0.031	0.505	0.918	0.012	0	0	1	0.915	1	4
ARHGAP1	-0.007	0.024	0.054	0.125	1.194	0.755	0.015	0	0	1	0.915	1	4
ARHGAP22	-0.002	0.055	0.112	0.057	0.221	0.896	0.029	0	0	1	0.915	1	3
ARHGAP9	-0.101	-0.047	0.007	0.089	0.353	0.838	0.028	0	0	1	0.915	1	3
ARHGEF18	0	0.021	0.042	0.048	1.52	0.678	0.011	0	0	1	0.915	1	4
ARID4B	-0.005	0.055	0.115	0.071	1.891	0.595	0.031	0	0	1	0.915	1	4
ARL1	-0.069	-0.037	-0.005	0.022	0.813	0.846	0.016	0	0	1	0.915	1	4
ARL6IP1	-0.117	-0.057	0.004	0.067	0.031	0.999	0.031	0	0	1	0.915	1	4
ARMC5	-0.003	0.03	0.063	0.076	4.473	0.215	0.017	0	32.929	1.491	0.915	1	4
ARMCX3	-0.137	-0.065	0.006	0.072	0.054	0.974	0.036	0	0	1	0.915	1	3
ASCC1	-0.009	0.038	0.086	0.116	0.273	0.872	0.024	0	0	1	0.915	1	3
ASMTL	-0.096	-0.044	0.008	0.099	0.168	0.983	0.026	0	0	1	0.915	1	4
ASPHD2	-0.093	-0.048	-0.002	0.04	0.047	0.977	0.023	0	0	1	0.915	1	3
ATG12	0.003	0.051	0.098	0.039	0.974	0.807	0.024	0	0	1	0.915	1	4
ATOX1	-0.005	0.028	0.06	0.096	0.883	0.83	0.017	0	0	1	0.915	1	4
ATP13A2	-0.063	-0.028	0.006	0.111	0.537	0.911	0.018	0	0	1	0.915	1	4
ATP1A1	-0.084	-0.039	0.006	0.093	1.138	0.768	0.023	0	0	1	0.915	1	4
ATP5A1	-0.066	-0.031	0.005	0.094	1.459	0.482	0.018	0	0	1	0.915	1	3
ATP5C1	-0.156	-0.075	0.007	0.072	0.304	0.859	0.041	0	0	1	0.915	1	3
ATP5G1	-0.059	-0.031	-0.002	0.037	1.016	0.602	0.015	0	0	1	0.915	1	3
ATP5H	-0.063	-0.032	0	0.049	0.316	0.854	0.016	0	0	1	0.915	1	3
ATP5O	-0.087	-0.041	0.005	0.083	0.434	0.805	0.023	0	0	1	0.915	1	3
ATP6V1A	-0.07	-0.033	0.005	0.089	1.265	0.531	0.019	0	0	1	0.915	1	3
ATP6V1B2	-0.04	-0.018	0.005	0.126	1.023	0.796	0.011	0	0	1	0.915	1	4
ATP6V1C1	-0.115	-0.063	-0.011	0.018	0.093	0.993	0.027	0	0	1	0.915	1	4
ATP6V1G1	-0.035	-0.016	0.004	0.12	2.736	0.434	0.01	0	0	1	0.915	1	4
ATXN7L2	-0.004	0.048	0.099	0.073	1.23	0.746	0.026	0	0	1	0.915	1	4
AUH	-0.157	-0.072	0.013	0.097	0.268	0.966	0.043	0	0	1	0.915	1	4
AXIN1	-0.004	0.03	0.065	0.083	1.228	0.541	0.018	0	0	1	0.915	1	3
AYTL2	0.009	0.052	0.096	0.019	0.339	0.844	0.022	0	0	1	0.915	1	3
AZIN1	-0.185	-0.097	-0.008	0.032	0.093	0.955	0.045	0	0	1	0.915	1	3
B3GNT6	-0.142	-0.063	0.016	0.117	0.577	0.749	0.04	0	0	1	0.915	1	3
B4GALT5	-0.09	-0.041	0.008	0.098	0.047	0.977	0.025	0	0	1	0.915	1	3
BACE1	-0.013	0.041	0.096	0.135	0.377	0.828	0.028	0	0	1	0.915	1	3
BAI3	-0.082	-0.037	0.007	0.103	0.973	0.615	0.023	0	0	1	0.915	1	3
BAIAP2L2	-0.14	-0.072	-0.003	0.041	0.046	0.997	0.035	0	0	1	0.915	1	4
BASP1	-0.045	-0.023	-0.002	0.029	1.492	0.684	0.011	0	0	1	0.915	1	4
BBS4	-0.006	0.023	0.051	0.115	0.367	0.947	0.014	0	0	1	0.915	1	4
BC002942	0	0.041	0.082	0.051	0.215	0.898	0.021	0	0	1	0.915	1	3
BCAT1	-0.107	-0.048	0.011	0.108	1.447	0.695	0.03	0	0	1	0.915	1	4
BCL2L1	-0.001	0.014	0.029	0.063	1.821	0.61	0.008	0	0	1	0.915	1	4
BCL2L2	-0.028	-0.013	0.003	0.108	0.707	0.872	0.008	0	0	1	0.915	1	4
BEX2	-0.073	-0.034	0.005	0.087	0.766	0.682	0.02	0	0	1	0.915	1	3
BHLHB2	-0.143	-0.075	-0.008	0.028	1.189	0.552	0.034	0	0	1	0.915	1	3
BID	-0.055	-0.03	-0.004	0.022	0.108	0.991	0.013	0	0	1	0.915	1	4
BIRC6	-0.076	-0.035	0.007	0.1	0.688	0.876	0.021	0	0	1	0.915	1	4
BLMH	-0.001	0.023	0.048	0.06	1.998	0.573	0.012	0	0	1	0.915	1	4
BLVRA	-0.093	-0.043	0.007	0.094	2.012	0.57	0.026	0	0	1	0.915	1	4
