lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies
MRPL35	-0.062	-0.036	-0.011	0.005	0.549	0.76	0.013	0	0	1	0.707	1	3
MXD1	-0.1	-0.059	-0.019	0.004	0.291	0.962	0.021	0	0	1	0.707	1	4
NAP1L4	0.01	0.033	0.056	0.004	0.747	0.688	0.012	0	0	1	0.707	1	3
NEK3	0.02	0.065	0.109	0.004	0.618	0.734	0.023	0	0	1	0.707	1	3
NMT1	0.017	0.055	0.093	0.005	2.417	0.49	0.019	0	0	1	0.707	1	4
PSMD12	-0.09	-0.053	-0.016	0.005	1.241	0.743	0.019	0	0	1	0.707	1	4
RPL23AP7	0.018	0.055	0.092	0.004	1.344	0.511	0.019	0	0	1	0.707	1	3
SEC31L1	0.013	0.042	0.07	0.004	0.624	0.732	0.015	0	0	1	0.707	1	3
TM2D2	-0.078	-0.046	-0.014	0.004	2.92	0.404	0.016	0	0	1	0.707	1	4
WDR12	-0.08	-0.048	-0.015	0.004	2.757	0.431	0.017	0	0	1	0.707	1	4
ANKRD20A1	0.035	0.117	0.199	0.005	0.132	0.936	0.042	0	0	1	0.741	1	3
C1orf171	0.031	0.105	0.18	0.005	2.285	0.319	0.038	0.001	12.461	1.142	0.741	1	3
CCDC12	0.009	0.03	0.051	0.005	3.266	0.352	0.011	0	8.144	1.089	0.741	1	4
RABGAP1	0.017	0.056	0.096	0.005	0.256	0.88	0.02	0	0	1	0.741	1	3
SLC38A6	0.01	0.035	0.059	0.006	1.759	0.624	0.013	0	0	1	0.741	1	4
CLCN7	0.013	0.046	0.078	0.006	0.796	0.85	0.017	0	0	1	0.753	1	4
CDC42BPB	0.017	0.059	0.102	0.006	2.608	0.456	0.022	0	0	1	0.786	1	4
ANAPC4	0.013	0.047	0.081	0.006	0.469	0.926	0.017	0	0	1	0.807	1	4
PAOX	0.02	0.07	0.121	0.006	0.765	0.858	0.026	0	0	1	0.807	1	4
ZNF289	0.01	0.037	0.064	0.006	0.333	0.847	0.014	0	0	1	0.807	1	3
XPO6	0.009	0.033	0.056	0.007	0.474	0.925	0.012	0	0	1	0.832	1	4
C1orf51	-0.229	-0.131	-0.034	0.008	0.438	0.803	0.05	0	0	1	0.84	1	3
C2orf29	0.012	0.043	0.074	0.007	1.573	0.455	0.016	0	0	1	0.84	1	3
C6orf134	0.007	0.028	0.048	0.008	0.367	0.832	0.01	0	0	1	0.84	1	3
CBL	-0.057	-0.033	-0.009	0.008	0.657	0.883	0.012	0	0	1	0.84	1	4
CCDC23	0.013	0.05	0.086	0.008	0.518	0.772	0.019	0	0	1	0.84	1	3
DHX37	0.011	0.041	0.071	0.007	0.492	0.921	0.015	0	0	1	0.84	1	4
Kua	0.012	0.045	0.078	0.007	0.201	0.905	0.017	0	0	1	0.84	1	3
LRP8	-0.106	-0.061	-0.016	0.008	0.28	0.964	0.023	0	0	1	0.84	1	4
MGC4562	0.011	0.042	0.072	0.008	0.142	0.932	0.016	0	0	1	0.84	1	3
MKNK1	0.016	0.061	0.106	0.008	2.229	0.526	0.023	0	0	1	0.84	1	4
PLCXD1	-0.183	-0.106	-0.029	0.007	0.241	0.886	0.039	0	0	1	0.84	1	3
RECQL5	0.014	0.051	0.088	0.007	0.91	0.823	0.019	0	0	1	0.84	1	4
SNAPC4	0.018	0.067	0.116	0.007	0.408	0.815	0.025	0	0	1	0.84	1	3
SPARCL1	-0.035	-0.02	-0.005	0.008	0.745	0.862	0.008	0	0	1	0.84	1	4
TMED4	0.012	0.046	0.08	0.008	0.821	0.845	0.017	0	0	1	0.84	1	4
TTC17	0.013	0.051	0.088	0.008	0.82	0.845	0.019	0	0	1	0.84	1	4
VAPA	0.028	0.108	0.187	0.008	0.175	0.916	0.04	0	0	1	0.84	1	3
NUPL2	-0.071	-0.041	-0.01	0.009	0.794	0.672	0.015	0	0	1	0.853	1	3
PUNC	0.017	0.065	0.114	0.009	0.093	0.955	0.025	0	0	1	0.853	1	3
SLC2A12	0.017	0.068	0.119	0.009	3.293	0.349	0.026	0	8.885	1.098	0.859	1	4
STIM1	-0.076	-0.043	-0.011	0.009	0.048	0.976	0.017	0	0	1	0.859	1	3
CTH	-0.096	-0.055	-0.014	0.009	0.259	0.968	0.021	0	0	1	0.872	1	4
DMAP1	0.007	0.029	0.051	0.009	2.182	0.535	0.011	0	0	1	0.872	1	4
RFC5	0.009	0.035	0.062	0.009	0.315	0.957	0.013	0	0	1	0.872	1	4
BTBD12	0.013	0.054	0.094	0.01	1.949	0.377	0.021	0	0	1	0.875	1	3
FOXD4	-0.106	-0.06	-0.014	0.01	0.969	0.809	0.023	0	0	1	0.875	1	4
LHFP	-0.069	-0.039	-0.01	0.01	0.334	0.846	0.015	0	0	1	0.875	1	3
PACSIN3	0.014	0.059	0.104	0.01	0.111	0.946	0.023	0	0	1	0.875	1	3
SLC5A11	0.038	0.161	0.283	0.01	0.225	0.973	0.062	0	0	1	0.875	1	4
TMEM98	0.021	0.089	0.158	0.01	0.631	0.729	0.035	0	0	1	0.875	1	3
TXLNA	0.011	0.047	0.083	0.01	1.063	0.786	0.018	0	0	1	0.875	1	4
UBE2Q1	-0.093	-0.053	-0.013	0.01	2.753	0.431	0.02	0	0	1	0.875	1	4
WAC	-0.063	-0.036	-0.009	0.01	0.834	0.659	0.014	0	0	1	0.875	1	3
ANKS1B	0.007	0.031	0.055	0.01	1.978	0.372	0.012	0	0	1	0.876	1	3
HSPC176	0.018	0.077	0.136	0.01	0.838	0.658	0.03	0	0	1	0.876	1	3
ZNF689	0.007	0.029	0.05	0.01	1.402	0.496	0.011	0	0	1	0.876	1	3
ANGEL1	0.01	0.048	0.086	0.014	1.952	0.582	0.019	0	0	1	0.879	1	4
ANKRD16	0.007	0.029	0.052	0.012	1.525	0.467	0.012	0	0	1	0.879	1	3
ANKRD32	0.025	0.107	0.189	0.011	2.353	0.308	0.042	0.001	14.993	1.176	0.879	1	3
AP4B1	0.009	0.041	0.073	0.011	0.663	0.882	0.016	0	0	1	0.879	1	4
AZIN1	-0.201	-0.112	-0.024	0.013	0.051	0.975	0.045	0	0	1	0.879	1	3
BC002942	0.011	0.052	0.093	0.013	0.05	0.975	0.021	0	0	1	0.879	1	3
C17orf75	0.027	0.117	0.208	0.011	1.24	0.743	0.046	0	0	1	0.879	1	4
C18orf25	-0.072	-0.04	-0.009	0.013	0.712	0.701	0.016	0	0	1	0.879	1	3
CD47	0.023	0.1	0.177	0.011	0.826	0.843	0.039	0	0	1	0.879	1	4
CLEC3B	-0.151	-0.084	-0.018	0.012	2.285	0.515	0.034	0	0	1	0.879	1	4
CREBBP	-0.057	-0.032	-0.007	0.013	0.743	0.863	0.013	0	0	1	0.879	1	4
GALNTL2	0.025	0.109	0.193	0.011	0.341	0.843	0.043	0	0	1	0.879	1	3
GLT25D2	0.012	0.057	0.101	0.013	0.463	0.793	0.023	0	0	1	0.879	1	3
HES4	-0.131	-0.074	-0.016	0.012	0.402	0.94	0.029	0	0	1	0.879	1	4
HIRIP3	0.008	0.037	0.066	0.011	0.99	0.804	0.015	0	0	1	0.879	1	4
ING4	0.007	0.033	0.059	0.012	2.199	0.532	0.013	0	0	1	0.879	1	4
KTI12	-0.075	-0.042	-0.009	0.013	1.175	0.759	0.017	0	0	1	0.879	1	4
LOC606724	-0.082	-0.046	-0.01	0.012	0.103	0.95	0.018	0	0	1	0.879	1	3
LRRN1	-0.094	-0.053	-0.012	0.012	0.246	0.97	0.021	0	0	1	0.879	1	4
OSBPL7	0.015	0.069	0.123	0.012	0.98	0.612	0.027	0	0	1	0.879	1	3
PMPCA	0.009	0.042	0.074	0.012	1.91	0.385	0.017	0	0	1	0.879	1	3
PPM1F	0.012	0.059	0.106	0.013	1.34	0.72	0.024	0	0	1	0.879	1	4
RASIP1	-0.097	-0.054	-0.011	0.013	0.721	0.697	0.022	0	0	1	0.879	1	3
RGS2	-0.134	-0.075	-0.017	0.011	0.108	0.947	0.03	0	0	1	0.879	1	3
SHOC2	-0.074	-0.041	-0.009	0.013	0.266	0.875	0.017	0	0	1	0.879	1	3
SLC35B3	0.008	0.038	0.067	0.013	1.105	0.575	0.015	0	0	1	0.879	1	3
SNX11	0.006	0.028	0.049	0.012	2.517	0.472	0.011	0	0	1	0.879	1	4
TNIP1	0.017	0.075	0.133	0.011	6.126	0.106	0.03	0.002	51.029	2.042	0.879	1	4
TTLL5	0.009	0.037	0.066	0.011	1.541	0.673	0.015	0	0	1	0.879	1	4
USF1	0.014	0.066	0.119	0.013	0.402	0.94	0.027	0	0	1	0.879	1	4
WDR23	0.009	0.042	0.074	0.012	0.256	0.88	0.017	0	0	1	0.879	1	3
WRB	-0.114	-0.064	-0.014	0.012	0.141	0.932	0.025	0	0	1	0.879	1	3
ZNF10	-0.075	-0.042	-0.009	0.013	1.305	0.728	0.017	0	0	1	0.879	1	4
ZNF706	0.008	0.035	0.063	0.012	0.618	0.892	0.014	0	0	1	0.879	1	4
ABC1	0.009	0.045	0.08	0.014	0.371	0.831	0.018	0	0	1	0.9	1	3
C5orf13	-0.075	-0.042	-0.008	0.014	0.427	0.808	0.017	0	0	1	0.9	1	3
FAHD2B	0.007	0.034	0.062	0.014	0.441	0.802	0.014	0	0	1	0.9	1	3
GAK	0.007	0.036	0.064	0.014	1.117	0.773	0.015	0	0	1	0.9	1	4
PRPF18	-0.083	-0.046	-0.009	0.014	1.005	0.605	0.019	0	0	1	0.9	1	3
THRAP5	0.008	0.043	0.077	0.015	0.02	0.99	0.017	0	0	1	0.9	1	3
TTC5	0.009	0.047	0.085	0.014	1.581	0.454	0.019	0	0	1	0.9	1	3
ACTR1A	0.005	0.026	0.047	0.015	1.865	0.601	0.011	0	0	1	0.908	1	4
CITED2	-0.13	-0.072	-0.014	0.015	0.235	0.972	0.03	0	0	1	0.912	1	4
SURF5	0.007	0.035	0.063	0.015	0.043	0.979	0.014	0	0	1	0.912	1	3
C17orf61	0.006	0.033	0.06	0.015	0.447	0.8	0.014	0	0	1	0.916	1	3
FAAH	0.011	0.057	0.103	0.015	0.186	0.911	0.023	0	0	1	0.918	1	3
GMNN	-0.109	-0.06	-0.011	0.016	0.065	0.996	0.025	0	0	1	0.919	1	4
HEBP1	0.006	0.03	0.055	0.015	0.008	0.996	0.013	0	0	1	0.919	1	3
SIDT2	0.007	0.036	0.064	0.016	1.088	0.78	0.015	0	0	1	0.919	1	4
SNX5	0.007	0.037	0.066	0.016	0.77	0.857	0.015	0	0	1	0.919	1	4
GBL	0.008	0.043	0.079	0.016	0.192	0.908	0.018	0	0	1	0.931	1	3
RRAGD	0.01	0.052	0.094	0.016	2.39	0.496	0.022	0	0	1	0.931	1	4
TM4SF18	-0.145	-0.08	-0.015	0.016	2.961	0.398	0.033	0	0	1	0.931	1	4
C9orf28	0.013	0.072	0.131	0.016	0.58	0.748	0.03	0	0	1	0.935	1	3
TINP1	-0.121	-0.067	-0.012	0.017	0.082	0.96	0.028	0	0	1	0.943	1	3
SLC25A3	-0.04	-0.022	-0.004	0.017	0.651	0.885	0.009	0	0	1	0.957	1	4
FRAT2	-0.101	-0.056	-0.01	0.017	1.11	0.775	0.023	0	0	1	0.965	1	4
AASDHPPT	-0.076	-0.042	-0.007	0.018	0.017	0.992	0.018	0	0	1	0.97	1	3
AKAP1	-0.072	-0.039	-0.007	0.018	1.964	0.58	0.017	0	0	1	0.97	1	4
CENTD1	0.011	0.066	0.122	0.019	1.7	0.427	0.028	0	0	1	0.97	1	3
CMTM4	-0.057	-0.031	-0.005	0.018	0.843	0.839	0.013	0	0	1	0.97	1	4
CXorf26	-0.069	-0.038	-0.006	0.02	1.019	0.601	0.016	0	0	1	0.97	1	3
DZIP1	0.007	0.046	0.085	0.02	0.205	0.977	0.02	0	0	1	0.97	1	4
GLG1	0.005	0.028	0.052	0.017	1.489	0.685	0.012	0	0	1	0.97	1	4
GSTM1	-0.158	-0.086	-0.014	0.019	0.305	0.959	0.037	0	0	1	0.97	1	4
GTPBP6	0.007	0.044	0.08	0.019	0.209	0.901	0.019	0	0	1	0.97	1	3
KLF9	-0.082	-0.045	-0.008	0.018	2.243	0.524	0.019	0	0	1	0.97	1	4
LOC388135	-0.095	-0.052	-0.008	0.02	0.418	0.811	0.022	0	0	1	0.97	1	3
MDC1	0.006	0.034	0.062	0.018	0.297	0.862	0.014	0	0	1	0.97	1	3
P2RX4	0.008	0.049	0.089	0.018	1.163	0.559	0.021	0	0	1	0.97	1	3
PA2G4	0.006	0.036	0.065	0.019	1.124	0.57	0.015	0	0	1	0.97	1	3
PDPR	0.01	0.061	0.112	0.019	0.436	0.933	0.026	0	0	1	0.97	1	4
PFKL	0.008	0.048	0.088	0.019	1.23	0.746	0.02	0	0	1	0.97	1	4
POMGNT1	0.006	0.039	0.071	0.02	0.673	0.88	0.017	0	0	1	0.97	1	4
PPP1R12A	-0.078	-0.043	-0.007	0.018	0.901	0.825	0.018	0	0	1	0.97	1	4
PRKAB1	0.006	0.035	0.064	0.018	2.733	0.255	0.015	0	26.812	1.366	0.97	1	3
SCYL3	0.005	0.033	0.06	0.019	0.968	0.616	0.014	0	0	1	0.97	1	3
SPG7	0.006	0.038	0.07	0.019	0.54	0.763	0.016	0	0	1	0.97	1	3
STK3	0.011	0.071	0.13	0.02	0.149	0.928	0.03	0	0	1	0.97	1	3
TLN2	0.009	0.053	0.097	0.019	1.743	0.627	0.022	0	0	1	0.97	1	4
TUBB2A	-0.144	-0.079	-0.013	0.018	0.96	0.811	0.033	0	0	1	0.97	1	4
VAMP4	-0.082	-0.045	-0.007	0.019	0.29	0.962	0.019	0	0	1	0.97	1	4
AKR7A2	0.005	0.033	0.062	0.023	2.657	0.448	0.015	0	0	1	0.972	1	4
ATF6	-0.071	-0.038	-0.006	0.021	0.32	0.852	0.017	0	0	1	0.972	1	3
ATG12	0.008	0.056	0.104	0.023	1.76	0.624	0.024	0	0	1	0.972	1	4
C19orf4	-0.053	-0.029	-0.004	0.023	0.633	0.729	0.013	0	0	1	0.972	1	3
C1orf21	-0.058	-0.031	-0.004	0.024	2.205	0.531	0.014	0	0	1	0.972	1	4
C3orf39	-0.071	-0.038	-0.005	0.023	0.759	0.684	0.017	0	0	1	0.972	1	3
CCDC76	0.006	0.043	0.079	0.022	0.414	0.813	0.019	0	0	1	0.972	1	3
CKS2	-0.176	-0.095	-0.014	0.021	0.747	0.862	0.041	0	0	1	0.972	1	4
CLCN6	0.006	0.041	0.077	0.024	4.392	0.222	0.018	0	31.701	1.464	0.972	1	4
CLNS1A	0.003	0.022	0.041	0.023	0.322	0.956	0.01	0	0	1	0.972	1	4
CPLX3	-0.16	-0.086	-0.012	0.022	0.234	0.972	0.038	0	0	1	0.972	1	4
DDX21	-0.103	-0.055	-0.007	0.024	1.415	0.493	0.024	0	0	1	0.972	1	3
DUSP1	-0.143	-0.077	-0.012	0.02	0.236	0.972	0.033	0	0	1	0.972	1	4
EXOSC10	0.006	0.042	0.077	0.021	0.375	0.945	0.018	0	0	1	0.972	1	4
FLJ11806	-0.076	-0.041	-0.005	0.024	0.135	0.935	0.018	0	0	1	0.972	1	3
FUK	0.009	0.06	0.112	0.021	0.916	0.633	0.026	0	0	1	0.972	1	3
HAPLN2	0.011	0.074	0.137	0.021	0.306	0.959	0.032	0	0	1	0.972	1	4
HISPPD2A	-0.087	-0.047	-0.006	0.023	0.509	0.775	0.021	0	0	1	0.972	1	3
JAM2	-0.105	-0.056	-0.008	0.023	0.104	0.949	0.025	0	0	1	0.972	1	3
KPNA3	-0.06	-0.032	-0.004	0.023	0.819	0.664	0.014	0	0	1	0.972	1	3
LRRN3	-0.103	-0.055	-0.008	0.023	0.287	0.866	0.024	0	0	1	0.972	1	3
MSX1	-0.156	-0.084	-0.012	0.022	3.202	0.362	0.037	0	6.294	1.067	0.972	1	4
MTMR15	0.006	0.044	0.082	0.022	0.864	0.649	0.019	0	0	1	0.972	1	3
NLGN4X	-0.05	-0.027	-0.004	0.022	2.504	0.475	0.012	0	0	1	0.972	1	4
OSTM1	-0.097	-0.052	-0.008	0.021	0.132	0.988	0.023	0	0	1	0.972	1	4
PFAAP5	0.009	0.067	0.124	0.023	0.099	0.952	0.029	0	0	1	0.972	1	3
PHLDA3	0.006	0.042	0.078	0.023	0.536	0.911	0.018	0	0	1	0.972	1	4
PRSS15	-0.063	-0.034	-0.005	0.021	2.721	0.257	0.015	0	26.49	1.36	0.972	1	3
SBK1	-0.112	-0.061	-0.009	0.021	0.751	0.861	0.026	0	0	1	0.972	1	4
SCNN1D	0.009	0.061	0.113	0.021	1.557	0.669	0.026	0	0	1	0.972	1	4
SEC24C	0.005	0.033	0.06	0.02	1.381	0.501	0.014	0	0	1	0.972	1	3
SECISBP2	0.005	0.033	0.061	0.021	2.299	0.513	0.014	0	0	1	0.972	1	4
SKIV2L	0.005	0.033	0.062	0.022	0.831	0.66	0.015	0	0	1	0.972	1	3
SLC25A25	-0.111	-0.06	-0.008	0.023	1.667	0.435	0.026	0	0	1	0.972	1	3
TBC1D3G	0.007	0.051	0.094	0.023	3.061	0.382	0.022	0	1.99	1.02	0.972	1	4
XPC	0.006	0.042	0.078	0.022	2.039	0.564	0.018	0	0	1	0.972	1	4
XPR1	-0.093	-0.051	-0.008	0.021	0.662	0.882	0.022	0	0	1	0.972	1	4
YTHDC1	0.003	0.026	0.049	0.024	2.446	0.485	0.012	0	0	1	0.972	1	4
ZNF651	0.007	0.046	0.085	0.022	0.13	0.937	0.02	0	0	1	0.972	1	3
NOMO1	-0.078	-0.042	-0.005	0.024	0.227	0.893	0.019	0	0	1	0.981	1	3
C10orf97	0.003	0.024	0.044	0.024	0.105	0.949	0.011	0	0	1	0.983	1	3
STRN3	-0.064	-0.034	-0.004	0.024	2.611	0.456	0.015	0	0	1	0.983	1	4
TBC1D13	0.005	0.036	0.068	0.024	0.066	0.996	0.016	0	0	1	0.983	1	4
TM4SF1	-0.266	-0.142	-0.018	0.025	3.609	0.307	0.063	0.003	16.865	1.203	0.99	1	4
CCT8	-0.064	-0.034	-0.004	0.025	0.117	0.943	0.015	0	0	1	0.991	1	3
BMPR2	-0.072	-0.038	-0.004	0.027	1.984	0.576	0.017	0	0	1	0.999	1	4
C10orf57	0.004	0.033	0.063	0.025	0.185	0.912	0.015	0	0	1	0.999	1	3
C1GALT1	0.007	0.056	0.105	0.025	0.166	0.983	0.025	0	0	1	0.999	1	4
C21orf57	-0.097	-0.052	-0.006	0.026	0.557	0.757	0.023	0	0	1	0.999	1	3
C5orf37	0.005	0.046	0.088	0.028	0.641	0.726	0.021	0	0	1	0.999	1	3
CCBL1	0.005	0.04	0.075	0.027	0.083	0.96	0.018	0	0	1	0.999	1	3
CHPF	0.005	0.044	0.082	0.026	0.576	0.902	0.02	0	0	1	0.999	1	4
COL4A5	0.013	0.121	0.229	0.028	2.994	0.393	0.055	0	0	1	0.999	1	4
DENND2A	0.006	0.049	0.092	0.026	0.291	0.962	0.022	0	0	1	0.999	1	4
DNPEP	0.004	0.041	0.077	0.028	0.203	0.977	0.019	0	0	1	0.999	1	4
EIF5A	0.009	0.076	0.142	0.026	1.789	0.617	0.034	0	0	1	0.999	1	4
FAF1	0.005	0.041	0.077	0.026	0.276	0.964	0.018	0	0	1	0.999	1	4
GRIPAP1	0.004	0.04	0.075	0.028	1.186	0.756	0.018	0	0	1	0.999	1	4
KCTD10	0.008	0.079	0.151	0.028	0.591	0.744	0.036	0	0	1	0.999	1	3
LOC389541	0.004	0.03	0.057	0.026	0.214	0.898	0.014	0	0	1	0.999	1	3
MAD2L2	0.004	0.038	0.071	0.026	2.564	0.464	0.017	0	0	1	0.999	1	4
MFAP1	-0.06	-0.032	-0.004	0.027	1.462	0.481	0.014	0	0	1	0.999	1	3
MGC52057	-0.105	-0.056	-0.006	0.027	0.21	0.9	0.025	0	0	1	0.999	1	3
NAT6	0.007	0.06	0.113	0.026	1.034	0.596	0.027	0	0	1	0.999	1	3
NCK1	-0.078	-0.041	-0.005	0.027	0.376	0.829	0.019	0	0	1	0.999	1	3
NNT	-0.064	-0.034	-0.004	0.027	0.424	0.809	0.015	0	0	1	0.999	1	3
NUTF2	0.004	0.033	0.062	0.027	0.249	0.969	0.015	0	0	1	0.999	1	4
OSBPL2	-0.087	-0.046	-0.005	0.027	0.105	0.991	0.021	0	0	1	0.999	1	4
PREX1	0.006	0.059	0.111	0.028	0.312	0.958	0.027	0	0	1	0.999	1	4
RUTBC1	0.003	0.028	0.052	0.028	0.644	0.725	0.013	0	0	1	0.999	1	3
RWDD2	-0.071	-0.038	-0.004	0.028	0.221	0.895	0.017	0	0	1	0.999	1	3
SIRT5	0.002	0.022	0.041	0.028	1.269	0.736	0.01	0	0	1	0.999	1	4
SLC20A1	-0.091	-0.048	-0.005	0.028	0.868	0.833	0.022	0	0	1	0.999	1	4
SLC36A1	-0.122	-0.065	-0.007	0.027	0.583	0.9	0.029	0	0	1	0.999	1	4
SRP68	0.003	0.025	0.047	0.027	3.357	0.34	0.011	0	10.622	1.119	0.999	1	4
SRPK1	-0.075	-0.04	-0.004	0.028	0.348	0.84	0.018	0	0	1	0.999	1	3
TNPO2	0.003	0.025	0.047	0.025	0.495	0.781	0.011	0	0	1	0.999	1	3
2PDE	-0.037	-0.009	0.019	0.541	1.312	0.519	0.014	0	0	1	1	1	3
A2BP1	-0.058	0.003	0.064	0.916	0.115	0.944	0.031	0	0	1	1	1	3
A2M	-0.081	-0.015	0.051	0.656	1.214	0.75	0.034	0	0	1	1	1	4
AACS	-0.051	-0.008	0.035	0.708	2.093	0.553	0.022	0	0	1	1	1	4
AADACL1	-0.07	-0.026	0.018	0.246	0.836	0.658	0.023	0	0	1	1	1	3
AAMP	-0.04	-0.004	0.032	0.834	1.916	0.59	0.018	0	0	1	1	1	4
AARS	-0.016	0.003	0.022	0.755	0.621	0.733	0.01	0	0	1	1	1	3
AARSD1	-0.02	0.004	0.028	0.719	0.182	0.913	0.012	0	0	1	1	1	3
AARSL	-0.013	0.014	0.041	0.319	1.805	0.406	0.014	0	0	1	1	1	3
AASDH	-0.017	0.014	0.046	0.38	2.218	0.528	0.016	0	0	1	1	1	4
