lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies
A1BG	-0.043	0.039	0.121	0.349	1.815	0.969	0.042	0	0	1	1	1	8
A1BG-AS1	-0.195	-0.021	0.154	0.816	0.385	0.943	0.089	0	0	1	1	1	4
A1CF	-0.057	0.015	0.087	0.685	5.16	0.271	0.037	0.002	22.479	1.29	1	1	5
A2BP1	-0.099	-0.038	0.022	0.212	2.534	0.469	0.031	0	0	1	1	1	4
A2LD1	-0.503	-0.082	0.339	0.702	0.083	0.774	0.215	0	0	1	1	1	2
A2M	-0.023	0.014	0.05	0.467	7.219	0.705	0.019	0	0	1	1	1	11
A2M-AS1	-0.303	-0.094	0.116	0.38	0.235	0.889	0.107	0	0	1	1	1	3
A2ML1	-0.155	-0.028	0.099	0.663	6.824	0.337	0.065	0.005	12.069	1.137	1	1	7
A2MP1	-0.074	0.028	0.13	0.595	1.47	0.225	0.052	0.003	31.971	1.47	1	1	2
A3GALT2	-0.405	-0.078	0.249	0.639	0.016	0.9	0.167	0	0	1	1	1	2
A4GALT	-0.303	-0.111	0.08	0.254	3.125	0.373	0.098	0.004	3.998	1.042	1	1	4
A4GNT	-0.04	0.004	0.048	0.852	1.11	0.775	0.022	0	0	1	1	1	4
AA06	-0.115	0.026	0.166	0.722	0.54	0.462	0.072	0	0	1	1	1	2
AAA1	-0.138	0.003	0.143	0.969	0.736	0.391	0.072	0	0	1	1	1	2
AAAS	-0.18	-0.012	0.156	0.89	2.367	0.796	0.086	0	0	1	1	1	6
AACS	-0.063	-0.014	0.035	0.569	11.139	0.347	0.025	0.001	10.224	1.114	1	1	11
AACSP1	-0.041	0.031	0.103	0.403	1.085	0.297	0.037	0	7.876	1.085	1	1	2
AADAC	-0.029	0.027	0.083	0.349	1.259	0.868	0.029	0	0	1	1	1	5
AADACL1	-0.08	-0.036	0.007	0.104	2.313	0.51	0.022	0	0	1	1	1	4
AADACL2	-0.045	0.001	0.047	0.958	1.804	0.876	0.023	0	0	1	1	1	6
AADACL3	-0.167	-0.063	0.04	0.231	2.576	0.462	0.053	0	0	1	1	1	4
AADACL4	-0.225	-0.103	0.019	0.098	3.881	0.422	0.062	0	0	1	1	1	5
AADAT	-0.103	-0.038	0.028	0.26	5.064	0.408	0.033	0	1.264	1.013	1	1	6
AAGAB	-0.036	0.078	0.192	0.178	3.937	0.685	0.058	0	0	1	1	1	7
AAK1	-0.195	-0.072	0.051	0.252	9.416	0.151	0.063	0.009	36.279	1.569	1	1	7
AAMDC	-0.019	0.074	0.167	0.121	2.361	0.501	0.048	0	0	1	1	1	4
AAMP	-0.032	0.015	0.062	0.539	9.947	0.269	0.024	0.001	19.572	1.243	1	1	9
AANAT	-0.021	0.01	0.042	0.53	1.504	0.959	0.016	0	0	1	1	1	7
AAR2	-0.101	0.065	0.231	0.441	1	0.801	0.084	0	0	1	1	1	4
AARD	-0.309	-0.017	0.275	0.908	4.562	0.102	0.149	0.036	56.16	2.281	1	1	3
AARS	-0.034	-0.009	0.015	0.455	7.429	0.283	0.013	0	19.231	1.238	1	1	7
AARS1	-0.315	-0.01	0.294	0.948	6.635	0.036	0.155	0.043	69.855	3.317	1	1	3
AARS2	-0.215	-0.05	0.116	0.556	3.104	0.541	0.084	0	0	1	1	1	5
AARSD1	-0.043	-0.019	0.005	0.121	3.918	0.688	0.012	0	0	1	1	1	7
AARSL	-0.015	0.012	0.04	0.373	1.491	0.475	0.014	0	0	1	1	1	3
AASDH	-0.032	-0.001	0.029	0.927	3.42	0.97	0.016	0	0	1	1	1	11
AASDHPPT	-0.08	-0.046	-0.013	0.007	3.636	0.934	0.017	0	0	1	1	1	10
AASS	-0.05	0.015	0.08	0.647	3.176	0.786	0.033	0	0	1	1	1	7
AATBC	-0.58	-0.133	0.315	0.561	0.708	0.4	0.228	0	0	1	1	1	2
AATF	-0.02	0.048	0.116	0.168	20.958	0.013	0.035	0.004	57.056	2.329	1	1	10
AATK	-0.031	0.017	0.064	0.496	6.088	0.808	0.024	0	0	1	1	1	11
ABALON	-0.514	1.232	2.978	0.167	0.436	0.509	0.891	0	0	1	1	1	2
ABAT	-0.041	-0.012	0.017	0.42	6.81	0.657	0.015	0	0	1	1	1	10
ABC1	0.003	0.039	0.075	0.033	0.054	0.973	0.018	0	0	1	1	1	3
ABCA1	-0.049	0.027	0.104	0.486	8.314	0.403	0.039	0.001	3.781	1.039	1	1	9
ABCA10	-0.261	-0.033	0.195	0.779	2.308	0.679	0.116	0	0	1	1	1	5
ABCA11P	-0.191	-0.007	0.177	0.941	3.082	0.379	0.094	0.001	2.664	1.027	1	1	4
ABCA12	-0.095	0.002	0.1	0.965	3.898	0.273	0.05	0.003	23.04	1.299	1	1	4
ABCA13	-0.023	0.02	0.062	0.363	3.803	0.578	0.022	0	0	1	1	1	6
ABCA17P	-0.115	-0.035	0.045	0.391	0.079	0.961	0.041	0	0	1	1	1	3
ABCA2	-0.032	0.027	0.086	0.366	8.195	0.415	0.03	0	2.38	1.024	1	1	9
ABCA3	-0.059	-0.017	0.024	0.414	10.608	0.225	0.021	0.001	24.583	1.326	1	1	9
ABCA4	-0.169	0.041	0.251	0.701	5.638	0.06	0.107	0.021	64.529	2.819	1	1	3
ABCA5	-0.097	-0.048	0	0.051	7.263	0.402	0.025	0	3.624	1.038	1	1	8
ABCA6	-0.008	0.019	0.046	0.167	1.063	0.957	0.014	0	0	1	1	1	6
ABCA7	-0.002	0	0.002	0.989	2.496	0.962	0.001	0	0	1	1	1	9
ABCA8	-0.026	-0.001	0.025	0.94	0.664	0.882	0.013	0	0	1	1	1	4
ABCA9	-0.078	0.008	0.094	0.859	2.01	0.734	0.044	0	0	1	1	1	5
ABCB1	-0.079	-0.025	0.028	0.356	12.322	0.137	0.027	0.002	35.078	1.54	1	1	9
ABCB10	-0.057	-0.023	0.011	0.192	4.907	0.768	0.018	0	0	1	1	1	9
ABCB11	-0.017	0.013	0.044	0.399	1.786	0.775	0.016	0	0	1	1	1	5
ABCB4	-0.365	-0.08	0.204	0.58	1.25	0.87	0.145	0	0	1	1	1	5
ABCB5	-0.027	0.005	0.037	0.749	2.283	0.684	0.016	0	0	1	1	1	5
ABCB6	-0.024	0.014	0.051	0.474	3.649	0.724	0.019	0	0	1	1	1	7
ABCB7	-0.031	0.026	0.083	0.371	1.076	0.998	0.029	0	0	1	1	1	9
ABCB8	0	0.049	0.099	0.05	1.955	0.744	0.025	0	0	1	1	1	5
ABCB9	-0.07	-0.027	0.017	0.225	8.543	0.382	0.022	0	6.355	1.068	1	1	9
ABCC1	-0.265	-0.05	0.165	0.648	9.815	0.081	0.11	0.032	49.056	1.963	1	1	6
ABCC10	-0.036	-0.001	0.035	0.972	7.863	0.447	0.018	0	0	1	1	1	9
ABCC11	-0.098	-0.026	0.046	0.481	3.947	0.413	0.037	0	0	1	1	1	5
ABCC12	-0.004	0	0.004	0.972	2.822	0.831	0.002	0	0	1	1	1	7
ABCC13	-0.335	-0.041	0.253	0.786	1.674	0.643	0.15	0	0	1	1	1	4
ABCC2	-0.044	0.016	0.076	0.603	2.301	0.681	0.031	0	0	1	1	1	5
ABCC3	-0.077	0.006	0.089	0.891	3.892	0.565	0.042	0	0	1	1	1	6
ABCC4	-0.137	0.019	0.175	0.814	2.902	0.715	0.08	0	0	1	1	1	6
ABCC5	-0.027	0.015	0.058	0.478	7.113	0.525	0.022	0	0	1	1	1	9
ABCC5-AS1	-0.1	0.103	0.305	0.32	0.027	0.87	0.103	0	0	1	1	1	2
ABCC6	-0.067	-0.026	0.015	0.217	3.74	0.809	0.021	0	0	1	1	1	8
ABCC6P1	-0.035	0.004	0.042	0.846	0.31	0.857	0.02	0	0	1	1	1	3
ABCC8	-0.102	-0.022	0.057	0.58	12.577	0.05	0.041	0.005	52.293	2.096	1	1	7
ABCC9	-0.037	-0.011	0.015	0.398	1.061	0.786	0.013	0	0	1	1	1	4
ABCD1	-0.041	0.112	0.264	0.15	0.247	0.999	0.078	0	0	1	1	1	6
ABCD2	-0.157	0.027	0.212	0.772	0.967	0.915	0.094	0	0	1	1	1	5
ABCD3	-0.29	-0.105	0.08	0.265	0.526	0.991	0.094	0	0	1	1	1	6
ABCD4	-0.158	-0.042	0.073	0.472	4.989	0.417	0.059	0	0	1	1	1	6
ABCE1	-0.043	-0.013	0.016	0.376	4.607	0.799	0.015	0	0	1	1	1	9
ABCF1	-0.036	-0.001	0.034	0.955	9.578	0.214	0.018	0.001	26.918	1.368	1	1	8
ABCF2	-0.047	-0.012	0.023	0.51	10.555	0.228	0.018	0.001	24.204	1.319	1	1	9
ABCF3	-0.043	-0.012	0.019	0.443	7.337	0.501	0.016	0	0	1	1	1	9
ABCG1	-0.023	0.018	0.059	0.385	9.559	0.297	0.021	0.001	16.307	1.195	1	1	9
ABCG2	-0.248	-0.004	0.24	0.977	1.894	0.755	0.124	0	0	1	1	1	5
ABCG4	-0.07	-0.029	0.011	0.151	4.093	0.664	0.02	0	0	1	1	1	7
ABCG5	-0.084	0.02	0.123	0.71	1.225	0.542	0.053	0	0	1	1	1	3
ABCG8	-0.126	-0.03	0.066	0.543	0.134	0.987	0.049	0	0	1	1	1	4
ABHD1	-0.07	-0.002	0.067	0.959	3.932	0.686	0.035	0	0	1	1	1	7
ABHD10	-0.055	-0.018	0.018	0.326	7.895	0.639	0.019	0	0	1	1	1	11
ABHD11	-0.169	-0.003	0.164	0.972	4.109	0.391	0.085	0.001	2.649	1.027	1	1	5
ABHD12	-0.048	-0.024	0.001	0.061	5.776	0.762	0.013	0	0	1	1	1	10
ABHD12B	-0.057	0.022	0.102	0.581	8.006	0.238	0.041	0.003	25.054	1.334	1	1	7
ABHD13	-0.127	-0.03	0.067	0.548	1.638	0.977	0.049	0	0	1	1	1	8
ABHD14A	-0.063	-0.03	0.004	0.08	3.88	0.868	0.017	0	0	1	1	1	9
ABHD14A-ACY1	-0.3	-0.098	0.104	0.34	0.886	0.642	0.103	0	0	1	1	1	3
ABHD14B	-0.142	0.027	0.197	0.752	9.443	0.15	0.086	0.017	36.46	1.574	1	1	7
ABHD15	-0.062	0.087	0.235	0.251	4.404	0.622	0.076	0	0	1	1	1	7
ABHD16A	-0.129	0.072	0.273	0.484	2.109	0.348	0.103	0.002	5.185	1.055	1	1	3
ABHD16B	-0.023	0.002	0.027	0.887	1.871	0.867	0.013	0	0	1	1	1	6
ABHD17A	-0.259	0.024	0.307	0.867	1.402	0.705	0.144	0	0	1	1	1	4
ABHD17B	-0.092	0.056	0.204	0.461	2.018	0.569	0.076	0	0	1	1	1	4
ABHD17C	-0.145	0.032	0.21	0.72	1.009	0.315	0.091	0.007	0.883	1.009	1	1	2
ABHD18	-0.178	0.036	0.249	0.742	0.76	0.684	0.109	0	0	1	1	1	3
ABHD2	-0.02	0.025	0.071	0.276	3.733	0.959	0.023	0	0	1	1	1	11
ABHD3	-0.002	0	0.002	0.997	7.242	0.612	0.001	0	0	1	1	1	10
ABHD4	-0.202	-0.069	0.065	0.313	4.029	0.673	0.068	0	0	1	1	1	7
ABHD5	-0.122	-0.014	0.094	0.796	1.629	0.95	0.055	0	0	1	1	1	7
ABHD6	-0.012	0.015	0.043	0.277	6.015	0.814	0.014	0	0	1	1	1	11
ABHD7	-0.061	-0.004	0.053	0.897	3.55	0.314	0.029	0.001	15.5	1.183	1	1	4
ABHD8	-0.011	0.036	0.083	0.129	14.375	0.157	0.024	0.001	30.432	1.437	1	1	11
ABI1	-0.023	0.004	0.03	0.776	5.08	0.827	0.013	0	0	1	1	1	10
ABI2	-0.07	-0.024	0.022	0.307	6.13	0.804	0.024	0	0	1	1	1	11
ABI3	-0.141	0.046	0.232	0.632	2.158	0.827	0.095	0	0	1	1	1	6
ABI3BP	-0.004	0	0.004	0.956	2.42	0.877	0.002	0	0	1	1	1	7
ABITRAM	-0.188	0.046	0.28	0.701	0.054	0.816	0.119	0	0	1	1	1	2
ABL1	-0.014	0.054	0.121	0.118	10.422	0.237	0.034	0.002	23.237	1.303	1	1	9
ABL2	-0.136	-0.037	0.062	0.463	4.971	0.664	0.05	0	0	1	1	1	8
ABLIM1	-0.055	-0.015	0.025	0.47	4.203	0.838	0.02	0	0	1	1	1	9
ABLIM2	-0.059	-0.017	0.024	0.416	6.858	0.552	0.021	0	0	1	1	1	9
ABLIM3	-0.025	0.021	0.066	0.376	5.652	0.581	0.023	0	0	1	1	1	8
ABO	-0.197	-0.04	0.117	0.622	3.598	0.609	0.08	0	0	1	1	1	6
ABP1	-0.54	-0.034	0.471	0.894	1.453	0.228	0.258	0.045	31.157	1.453	1	1	2
ABR	-0.024	-0.003	0.017	0.751	8.414	0.493	0.011	0	0	1	1	1	10
ABRA	-0.014	0.011	0.037	0.39	2.615	0.759	0.013	0	0	1	1	1	6
ABRACL	-0.07	0.04	0.149	0.478	2.438	0.786	0.056	0	0	1	1	1	6
ABRAXAS2	-0.514	-0.09	0.334	0.678	0.018	0.894	0.216	0	0	1	1	1	2
ABT1	-0.158	-0.047	0.063	0.403	0.979	0.986	0.056	0	0	1	1	1	7
ABTB1	-0.047	-0.014	0.02	0.43	3.712	0.882	0.017	0	0	1	1	1	9
ABTB2	-0.016	0.042	0.099	0.153	3.677	0.816	0.029	0	0	1	1	1	8
ABTB3	-0.132	-0.006	0.119	0.919	0.672	0.88	0.064	0	0	1	1	1	4
AC005224.2	-0.22	0.016	0.253	0.892	0.404	0.525	0.121	0	0	1	1	1	2
AC005523.2	-0.194	0.149	0.491	0.395	0.104	0.747	0.175	0	0	1	1	1	2
AC005785.2	-0.048	0.022	0.093	0.532	0.909	0.34	0.036	0	0	1	1	1	2
AC006538.1	-0.017	0.083	0.183	0.103	0.728	0.393	0.051	0	0	1	1	1	2
AC009120.6	-0.326	0.004	0.334	0.98	0.379	0.538	0.168	0	0	1	1	1	2
AC016831.7	-0.018	0.017	0.052	0.347	0.011	0.916	0.018	0	0	1	1	1	2
AC017104.6	-0.073	0.014	0.101	0.75	0.523	0.469	0.044	0	0	1	1	1	2
AC078883.3	-0.029	0.008	0.045	0.659	0.316	0.574	0.019	0	0	1	1	1	2
AC083843.1	-0.321	-0.061	0.198	0.644	0.031	0.86	0.132	0	0	1	1	1	2
AC083949.1	-0.242	0.142	0.527	0.469	1.022	0.312	0.196	0.003	2.175	1.022	1	1	2
AC091133.1	-0.097	0.15	0.397	0.234	0.113	0.737	0.126	0	0	1	1	1	2
AC144652.1	-0.361	-0.071	0.218	0.63	0.297	0.586	0.148	0	0	1	1	1	2
ACAA1	-0.037	-0.007	0.022	0.623	9.853	0.363	0.015	0	8.656	1.095	1	1	10
ACAA2	-0.013	0.04	0.093	0.136	4.953	0.838	0.027	0	0	1	1	1	10
ACACA	-0.016	0.006	0.027	0.588	5.707	0.769	0.011	0	0	1	1	1	10
ACACB	-0.075	0.004	0.082	0.929	10.967	0.278	0.04	0.003	17.936	1.219	1	1	10
ACAD10	-0.015	0.021	0.057	0.258	8.295	0.405	0.019	0	3.562	1.037	1	1	9
ACAD11	-0.004	0.041	0.086	0.071	5.179	0.738	0.023	0	0	1	1	1	9
ACAD8	-0.047	-0.016	0.015	0.309	6.734	0.566	0.016	0	0	1	1	1	9
ACAD9	-0.026	0.002	0.03	0.89	3.912	0.865	0.015	0	0	1	1	1	9
ACADL	-0.02	0.012	0.043	0.463	1.572	0.456	0.016	0	0	1	1	1	3
ACADM	-0.014	0.013	0.04	0.344	4.028	0.855	0.014	0	0	1	1	1	9
ACADS	-0.173	0.011	0.195	0.907	0.815	0.976	0.094	0	0	1	1	1	6
ACADSB	-0.18	0.028	0.235	0.795	0.804	0.938	0.106	0	0	1	1	1	5
ACADVL	-0.028	0.017	0.063	0.458	5.494	0.6	0.023	0	0	1	1	1	8
ACAN	-0.132	-0.051	0.029	0.211	1.054	0.901	0.041	0	0	1	1	1	5
ACAP1	-0.181	-0.065	0.052	0.276	2.686	0.748	0.059	0	0	1	1	1	6
ACAP2	-0.318	-0.028	0.261	0.847	8.609	0.072	0.148	0.057	53.539	2.152	1	1	5
ACAP3	-0.032	0.12	0.272	0.121	3.925	0.56	0.078	0	0	1	1	1	6
ACAT1	-0.036	-0.001	0.034	0.954	6.668	0.756	0.018	0	0	1	1	1	11
ACAT2	-0.075	0.062	0.199	0.376	7.207	0.408	0.07	0.001	2.867	1.03	1	1	8
ACBD3	-0.043	-0.016	0.012	0.259	8.824	0.549	0.014	0	0	1	1	1	11
ACBD4	-0.296	-0.125	0.045	0.149	2.777	0.734	0.087	0	0	1	1	1	6
ACBD5	-0.029	0.071	0.171	0.166	3.079	0.799	0.051	0	0	1	1	1	7
ACBD6	-0.083	-0.012	0.058	0.729	14.086	0.119	0.036	0.003	36.109	1.565	1	1	10
ACBD7	-0.057	0.016	0.089	0.67	7.093	0.312	0.037	0.002	15.408	1.182	1	1	7
ACCN1	-0.056	-0.009	0.037	0.692	4.231	0.376	0.024	0	5.454	1.058	1	1	5
ACCN2	-0.045	-0.007	0.03	0.701	1.326	0.857	0.019	0	0	1	1	1	5
ACCN3	-0.017	0.002	0.021	0.824	2.746	0.601	0.01	0	0	1	1	1	5
ACCN4	-0.299	0	0.299	0.999	0.05	0.823	0.152	0	0	1	1	1	2
ACCN5	-0.158	0.047	0.251	0.655	0.664	0.415	0.104	0	0	1	1	1	2
ACCS	-0.117	0.044	0.205	0.593	3.496	0.836	0.082	0	0	1	1	1	8
ACCSL	-0.265	-0.085	0.096	0.358	3.203	0.361	0.092	0.002	6.329	1.068	1	1	4
ACD	-0.044	-0.006	0.032	0.756	13.051	0.221	0.02	0.001	23.378	1.305	1	1	11
ACE	-0.049	0.079	0.207	0.229	9.878	0.196	0.065	0.008	29.135	1.411	1	1	8
ACE2	-0.071	-0.015	0.04	0.593	3.848	0.572	0.028	0	0	1	1	1	6
ACER1	-0.113	0	0.114	0.998	2.024	0.917	0.058	0	0	1	1	1	7
ACER2	-0.387	-0.213	-0.04	0.016	1.516	0.958	0.088	0	0	1	1	1	7
ACER3	-0.173	-0.064	0.045	0.248	6.02	0.537	0.056	0	0	1	1	1	8
ACHE	-0.042	-0.001	0.041	0.977	0.924	0.988	0.021	0	0	1	1	1	7
ACIN1	-0.044	-0.002	0.04	0.931	2.801	0.986	0.021	0	0	1	1	1	11
ACKR1	-1.29	-0.283	0.725	0.583	1.474	0.225	0.514	0.306	32.178	1.474	1	1	2
ACKR2	-0.268	-0.117	0.035	0.131	8.361	0.039	0.077	0.014	64.12	2.787	1	1	4
ACKR3	-0.174	-0.061	0.052	0.29	3.499	0.478	0.058	0	0	1	1	1	5
ACKR4	-0.109	0.005	0.12	0.926	0.751	0.945	0.058	0	0	1	1	1	5
ACLY	-0.063	-0.02	0.024	0.374	16.742	0.08	0.022	0.001	40.271	1.674	1	1	11
ACMSD	-0.072	-0.02	0.031	0.44	1.12	0.952	0.026	0	0	1	1	1	6
ACN9	-0.07	-0.031	0.008	0.115	4.512	0.478	0.02	0	0	1	1	1	6
ACO1	-0.029	0.012	0.052	0.571	1.758	0.988	0.02	0	0	1	1	1	9
ACO2	-0.026	0.002	0.03	0.864	3.098	0.928	0.014	0	0	1	1	1	9
ACOD1	-0.162	0.029	0.221	0.765	0.16	0.984	0.098	0	0	1	1	1	4
ACOT1	-0.094	-0.034	0.025	0.256	5.447	0.859	0.03	0	0	1	1	1	11
ACOT11	-0.031	0.038	0.107	0.281	2.948	0.815	0.035	0	0	1	1	1	7
ACOT12	-0.144	-0.009	0.125	0.894	6.06	0.3	0.069	0.005	17.498	1.212	1	1	6
ACOT13	-0.103	0.043	0.189	0.563	2.831	0.83	0.075	0	0	1	1	1	7
ACOT2	-0.164	-0.052	0.061	0.368	5.304	0.38	0.057	0.001	5.735	1.061	1	1	6
ACOT4	-0.085	-0.033	0.02	0.222	7.559	0.579	0.027	0	0	1	1	1	10
ACOT6	-0.089	-0.03	0.029	0.316	3.416	0.491	0.03	0	0	1	1	1	5
ACOT7	-0.064	-0.006	0.053	0.852	11.507	0.319	0.03	0.001	13.097	1.151	1	1	11
ACOT8	-0.089	-0.04	0.009	0.111	6.874	0.737	0.025	0	0	1	1	1	11
ACOT9	-0.065	0.057	0.178	0.359	1.237	0.99	0.062	0	0	1	1	1	8
ACOX1	-0.003	0.036	0.076	0.073	2.587	0.958	0.02	0	0	1	1	1	9
ACOX2	-0.016	0.016	0.049	0.325	2.507	0.868	0.017	0	0	1	1	1	7
ACOX3	-0.01	0.02	0.05	0.193	3.18	0.923	0.015	0	0	1	1	1	9
ACOXL	-0.097	-0.015	0.068	0.73	5.961	0.428	0.042	0	0	1	1	1	7
ACP1	-0.131	-0.035	0.061	0.474	12.405	0.134	0.049	0.007	35.509	1.551	1	1	9
ACP2	-0.085	-0.036	0.012	0.141	4.872	0.771	0.025	0	0	1	1	1	9
ACP3	-0.423	0.021	0.464	0.927	0.996	0.318	0.226	0	0	1	1	1	2
ACP5	-0.129	0.084	0.297	0.441	2.013	0.733	0.109	0	0	1	1	1	5
ACP6	-0.247	-0.005	0.237	0.965	12.164	0.033	0.124	0.044	58.894	2.433	1	1	6
ACP7	-0.175	-0.048	0.079	0.463	0.331	0.847	0.065	0	0	1	1	1	3
ACPL2	-0.108	-0.044	0.019	0.168	0.629	0.96	0.032	0	0	1	1	1	5
ACPP	-0.236	0.028	0.292	0.836	5.201	0.158	0.135	0.03	42.32	1.734	1	1	4
ACPT	-0.004	0	0.004	0.996	1.756	0.882	0.002	0	0	1	1	1	6
ACR	-0.023	0.017	0.058	0.396	2.574	0.765	0.021	0	0	1	1	1	6
ACRBP	-0.23	-0.089	0.052	0.218	7.435	0.385	0.072	0.003	5.846	1.062	1	1	8
ACRC	-0.023	0.032	0.088	0.254	0.772	0.979	0.028	0	0	1	1	1	6
ACRV1	-0.022	-0.001	0.02	0.935	9.879	0.274	0.011	0	19.019	1.235	1	1	9
ACSBG1	-0.062	0.016	0.094	0.691	13.931	0.125	0.04	0.004	35.395	1.548	1	1	10
ACSBG2	-0.052	0.025	0.102	0.53	1.656	0.894	0.039	0	0	1	1	1	6
ACSF2	-0.116	-0.019	0.077	0.693	4.77	0.688	0.049	0	0	1	1	1	8
ACSF3	-0.222	-0.126	-0.031	0.01	1.21	0.991	0.049	0	0	1	1	1	8
ACSL1	-0.038	0.016	0.069	0.564	5.796	0.832	0.027	0	0	1	1	1	11
ACSL3	-0.078	-0.038	0.002	0.064	3.58	0.964	0.02	0	0	1	1	1	11
ACSL4	-0.06	-0.026	0.008	0.129	5.511	0.788	0.017	0	0	1	1	1	10
ACSL5	-0.004	0	0.004	0.952	5.827	0.83	0.002	0	0	1	1	1	11
ACSL6	-0.094	-0.016	0.062	0.686	5.157	0.641	0.04	0	0	1	1	1	8
ACSM1	-0.091	-0.044	0.002	0.063	4.371	0.627	0.024	0	0	1	1	1	7
ACSM2A	-0.044	0.013	0.071	0.647	0.455	0.797	0.029	0	0	1	1	1	3
ACSM2B	-0.12	-0.039	0.041	0.334	2.74	0.74	0.041	0	0	1	1	1	6
ACSM3	-0.095	-0.006	0.083	0.899	1.392	0.966	0.045	0	0	1	1	1	7
ACSM4	-0.059	0.065	0.188	0.306	2.01	0.366	0.063	0	0.512	1.005	1	1	3
ACSM5	-0.021	0.011	0.044	0.493	3.312	0.652	0.017	0	0	1	1	1	6
ACSM6	-0.173	0.047	0.267	0.675	1.114	0.291	0.112	0.004	10.216	1.114	1	1	2
ACSS1	-0.038	0.006	0.05	0.777	3.36	0.972	0.022	0	0	1	1	1	11
ACSS2	-0.023	0.021	0.065	0.359	6.952	0.642	0.023	0	0	1	1	1	10
ACSS3	-0.06	-0.006	0.047	0.814	4.392	0.356	0.027	0.001	8.922	1.098	1	1	5
ACTA1	-0.062	-0.023	0.016	0.253	5.856	0.439	0.02	0	0	1	1	1	7
ACTA2	-0.089	-0.011	0.067	0.781	8.494	0.387	0.04	0.001	5.819	1.062	1	1	9
ACTA2-AS1	-0.025	0.007	0.04	0.654	1.323	0.516	0.017	0	0	1	1	1	3
ACTB	-0.02	-0.003	0.014	0.77	4.639	0.704	0.009	0	0	1	1	1	8
ACTBL2	-0.327	-0.058	0.21	0.67	0.403	0.817	0.137	0	0	1	1	1	3
ACTC1	-0.069	0.059	0.187	0.369	4.388	0.222	0.065	0.005	31.637	1.463	1	1	4
ACTG1	-0.018	-0.004	0.01	0.593	2.763	0.906	0.007	0	0	1	1	1	8
ACTG1P4	-0.831	0.667	2.166	0.383	4.811	0.028	0.765	0.957	79.214	4.811	1	1	2
ACTG2	-0.063	0.026	0.115	0.561	1.447	0.695	0.045	0	0	1	1	1	4
ACTL10	-0.111	0.02	0.152	0.763	1.249	0.741	0.067	0	0	1	1	1	4
ACTL6A	-0.018	0.019	0.057	0.309	2.578	0.99	0.019	0	0	1	1	1	11
ACTL6B	-0.032	-0.003	0.026	0.844	4.897	0.768	0.015	0	0	1	1	1	9
ACTL7A	-0.026	0.008	0.042	0.639	2.961	0.706	0.017	0	0	1	1	1	6
ACTL7B	-0.058	-0.01	0.037	0.674	1.185	0.946	0.024	0	0	1	1	1	6
ACTL8	-0.173	-0.054	0.064	0.37	4.769	0.312	0.061	0.003	16.125	1.192	1	1	5
