lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies
TMEM221	-0.151	-0.094	-0.036	0.001	2.125	0.547	0.029	0	0	1	0.552	1	4
WT1	-0.141	-0.088	-0.034	0.001	2.608	0.625	0.027	0	0	1	0.552	1	5
ZNF260	0.075	0.195	0.315	0.001	4.672	0.586	0.061	0	0	1	0.552	1	7
ZNF320	0.13	0.341	0.552	0.002	4.852	0.563	0.108	0	0	1	0.552	1	7
CIDEA	0.038	0.1	0.162	0.002	1.062	0.9	0.032	0	0	1	0.553	1	5
FBXW8	-0.315	-0.194	-0.073	0.002	6.301	0.39	0.062	0.001	4.781	1.05	0.553	1	7
LPCAT3	0.058	0.154	0.251	0.002	6.267	0.394	0.049	0.001	4.254	1.044	0.553	1	7
UEVLD	0.059	0.156	0.253	0.002	5.809	0.445	0.05	0	0	1	0.553	1	7
UQCC6	-0.385	-0.237	-0.09	0.002	0.378	0.828	0.075	0	0	1	0.553	1	3
AARD	-0.486	-0.299	-0.111	0.002	0.015	0.902	0.096	0	0	1	0.568	1	2
ADORA3	-0.55	-0.336	-0.122	0.002	1.814	0.77	0.109	0	0	1	0.585	1	5
AMOTL1	0.024	0.068	0.113	0.002	1.733	0.885	0.023	0	0	1	0.585	1	6
ARF6	0.055	0.158	0.261	0.003	3.424	0.754	0.053	0	0	1	0.585	1	7
B3GNT9	-0.427	-0.26	-0.093	0.002	3.465	0.483	0.085	0	0	1	0.585	1	5
CCDC160	-0.187	-0.114	-0.04	0.002	1.477	0.688	0.037	0	0	1	0.585	1	4
CSTA	0.072	0.199	0.326	0.002	3.129	0.792	0.065	0	0	1	0.585	1	7
CTSB	0.098	0.281	0.464	0.003	4.266	0.641	0.093	0	0	1	0.585	1	7
DLAT	0.063	0.183	0.303	0.003	6.176	0.404	0.061	0.001	2.849	1.029	0.585	1	7
DLX6-AS1	-0.27	-0.163	-0.057	0.003	0.011	0.917	0.054	0	0	1	0.585	1	2
FLJ40434	-1.148	-0.702	-0.256	0.002	0.286	0.593	0.227	0	0	1	0.585	1	2
GCN1L1	0.12	0.333	0.546	0.002	2.818	0.244	0.109	0.011	29.04	1.409	0.585	1	3
IDH3A	0.061	0.175	0.288	0.003	5.955	0.428	0.058	0	0	1	0.585	1	7
LINC00314	-0.213	-0.129	-0.045	0.003	0.002	0.962	0.043	0	0	1	0.585	1	2
LOC283683	-0.622	-0.376	-0.13	0.003	0.001	0.978	0.125	0	0	1	0.585	1	2
LOC339535	0.122	0.338	0.553	0.002	0.52	0.471	0.11	0	0	1	0.585	1	2
LOC93463	-0.362	-0.221	-0.08	0.002	0.079	0.779	0.072	0	0	1	0.585	1	2
NHLRC1	-0.325	-0.198	-0.072	0.002	3.877	0.567	0.065	0	0	1	0.585	1	6
NUS1	0.061	0.171	0.28	0.002	4.272	0.64	0.056	0	0	1	0.585	1	7
OR4C15	-0.868	-0.527	-0.187	0.002	1.628	0.202	0.174	0.024	38.584	1.628	0.585	1	2
OR8B12	0.118	0.32	0.523	0.002	0.042	0.837	0.103	0	0	1	0.585	1	2
OSR2	-0.16	-0.098	-0.035	0.002	3.421	0.49	0.032	0	0	1	0.585	1	5
PCDHA12	-0.602	-0.365	-0.128	0.003	0.158	0.691	0.121	0	0	1	0.585	1	2
PLA2G2C	-0.645	-0.392	-0.14	0.002	1.114	0.291	0.129	0.007	10.274	1.114	0.585	1	2
PRKY	0.118	0.332	0.546	0.002	3.831	0.429	0.109	0	0	1	0.585	1	5
RNASE10	0.183	0.528	0.872	0.003	0.389	0.533	0.176	0	0	1	0.585	1	2
SELENOH	0.12	0.325	0.531	0.002	1.732	0.421	0.105	0	0	1	0.585	1	3
SEMG2	-0.173	-0.105	-0.037	0.003	2.867	0.58	0.035	0	0	1	0.585	1	5
SLC29A1	-0.55	-0.334	-0.117	0.003	1.241	0.871	0.11	0	0	1	0.585	1	5
SMCHD1	-0.323	-0.196	-0.07	0.002	4.908	0.427	0.064	0	0	1	0.585	1	6
SPMIP7	-0.414	-0.25	-0.087	0.003	0.136	0.713	0.083	0	0	1	0.585	1	2
TLX1	0.048	0.134	0.22	0.002	2.248	0.69	0.044	0	0	1	0.585	1	5
TSTD2	0.032	0.087	0.141	0.002	4.546	0.603	0.028	0	0	1	0.585	1	7
UFD1	0.071	0.203	0.335	0.003	1.04	0.594	0.067	0	0	1	0.585	1	3
VPS33B	0.071	0.191	0.311	0.002	3.884	0.692	0.061	0	0	1	0.585	1	7
ZNF134	0.065	0.188	0.31	0.003	6.494	0.37	0.062	0.002	7.601	1.082	0.585	1	7
APLN	-0.26	-0.157	-0.053	0.003	3.236	0.519	0.053	0	0	1	0.591	1	5
C1orf168	0.024	0.071	0.118	0.003	0.001	0.974	0.024	0	0	1	0.591	1	2
CDKN3	0.055	0.161	0.267	0.003	2.163	0.904	0.054	0	0	1	0.591	1	7
KCNJ8	0.019	0.055	0.092	0.003	0.465	0.793	0.019	0	0	1	0.591	1	3
LARP4	0.099	0.289	0.479	0.003	4.425	0.352	0.097	0.005	9.604	1.106	0.591	1	5
SUN2	0.069	0.202	0.335	0.003	4.173	0.525	0.068	0	0	1	0.591	1	6
WTIP	-0.303	-0.183	-0.063	0.003	3.815	0.576	0.061	0	0	1	0.591	1	6
ZSCAN1	-0.236	-0.142	-0.049	0.003	3.183	0.528	0.048	0	0	1	0.591	1	5
AAMDC	0.049	0.145	0.241	0.003	1.3	0.522	0.049	0	0	1	0.593	1	3
LOC100506882	-0.368	-0.222	-0.075	0.003	1.435	0.231	0.075	0.005	30.309	1.435	0.593	1	2
C17orf77	-0.304	-0.182	-0.061	0.003	0.246	0.62	0.062	0	0	1	0.598	1	2
CCL15	-0.243	-0.146	-0.049	0.003	0.842	0.656	0.049	0	0	1	0.598	1	3
DEFB110	-0.46	-0.276	-0.092	0.003	0.434	0.51	0.094	0	0	1	0.598	1	2
FBXO45	-0.319	-0.192	-0.064	0.003	5.222	0.389	0.065	0.001	4.257	1.044	0.598	1	6
FTSJ2	0.082	0.244	0.407	0.003	1.514	0.469	0.083	0	0	1	0.598	1	3
IL5RA	-0.32	-0.192	-0.064	0.003	0.659	0.883	0.065	0	0	1	0.598	1	4
LOC400541	-0.119	-0.071	-0.024	0.003	0.008	0.929	0.024	0	0	1	0.598	1	2
LYRM4	0.063	0.189	0.315	0.003	4.71	0.581	0.064	0	0	1	0.598	1	7
MGC20647	0.089	0.264	0.44	0.003	0.323	0.57	0.089	0	0	1	0.598	1	2
PATE3	-0.341	-0.205	-0.069	0.003	3.087	0.378	0.069	0.001	2.811	1.029	0.598	1	4
CALCR	-0.153	-0.091	-0.03	0.003	4.259	0.513	0.031	0	0	1	0.603	1	6
GIF	-0.247	-0.148	-0.048	0.004	1.683	0.431	0.051	0	0	1	0.613	1	3
GPR56	0.174	0.529	0.885	0.004	1.074	0.584	0.181	0	0	1	0.613	1	3
LAMC2	-0.151	-0.09	-0.03	0.003	1.807	0.405	0.031	0	0	1	0.613	1	3
OR2C1	0.024	0.072	0.121	0.004	1.003	0.605	0.025	0	0	1	0.613	1	3
PLEKHG1	0.143	0.436	0.729	0.004	4.686	0.321	0.15	0.017	14.636	1.171	0.613	1	5
RFPL2	-0.201	-0.12	-0.039	0.004	2.992	0.701	0.041	0	0	1	0.613	1	6
SERPINB12	0.035	0.108	0.181	0.004	0.312	0.856	0.037	0	0	1	0.613	1	3
CXCR7	0.183	0.562	0.941	0.004	0	0.988	0.194	0	0	1	0.619	1	2
SNORA54	0.245	0.755	1.266	0.004	0.1	0.752	0.261	0	0	1	0.625	1	2
ARL5B	0.062	0.194	0.326	0.004	2.795	0.834	0.067	0	0	1	0.632	1	7
CCDC183	-0.38	-0.226	-0.072	0.004	0.455	0.5	0.078	0	0	1	0.632	1	2
FAM108B1	0.105	0.331	0.556	0.004	0.446	0.504	0.115	0	0	1	0.632	1	2
FAM9B	-0.11	-0.065	-0.021	0.004	0.406	0.816	0.023	0	0	1	0.632	1	3
HAB1	-0.387	-0.23	-0.072	0.004	0.49	0.484	0.08	0	0	1	0.632	1	2
HIPK1	0.057	0.182	0.306	0.004	1.532	0.957	0.063	0	0	1	0.632	1	7
IRG1	-0.166	-0.099	-0.031	0.004	0.981	0.322	0.034	0	0	1	0.632	1	2
LCE3D	-0.348	-0.206	-0.065	0.004	2.15	0.708	0.072	0	0	1	0.632	1	5
LOC100505918	0.07	0.222	0.374	0.004	1.3	0.254	0.078	0.003	23.069	1.3	0.632	1	2
LOC284023	0.085	0.269	0.452	0.004	0.257	0.612	0.094	0	0	1	0.632	1	2
LOC284865	-0.255	-0.151	-0.048	0.004	0.228	0.633	0.053	0	0	1	0.632	1	2
LOC647070	-0.235	-0.14	-0.044	0.004	0.362	0.547	0.049	0	0	1	0.632	1	2
NDC80	0.095	0.296	0.497	0.004	7.766	0.256	0.103	0.016	22.742	1.294	0.632	1	7
OR5K3	-0.832	-0.494	-0.156	0.004	0.703	0.402	0.173	0	0	1	0.632	1	2
SCN3A	-0.648	-0.384	-0.121	0.004	2.182	0.702	0.135	0	0	1	0.632	1	5
SLC39A13	0.052	0.165	0.278	0.004	1.434	0.838	0.058	0	0	1	0.632	1	5
SRSF9	0.1	0.31	0.52	0.004	1.321	0.516	0.107	0	0	1	0.632	1	3
TMF1	0.053	0.166	0.279	0.004	4.77	0.574	0.058	0	0	1	0.632	1	7
AFG3L2	0.053	0.169	0.285	0.004	5.548	0.476	0.059	0	0	1	0.646	1	7
GEMIN8	0.051	0.163	0.276	0.004	7.822	0.251	0.057	0.005	23.291	1.304	0.646	1	7
METTL27	0.064	0.207	0.35	0.005	0.561	0.454	0.073	0	0	1	0.646	1	2
MPIG6B	-0.35	-0.207	-0.064	0.004	3.253	0.354	0.073	0.002	7.77	1.084	0.646	1	4
TRAPPC5	-0.299	-0.177	-0.055	0.005	2.109	0.909	0.062	0	0	1	0.65	1	7
TEX29	-0.121	-0.072	-0.022	0.005	2.052	0.562	0.025	0	0	1	0.661	1	4
SCRN1	0.053	0.174	0.294	0.005	5.364	0.498	0.061	0	0	1	0.665	1	7
BEND2	-0.291	-0.172	-0.052	0.005	4.948	0.551	0.061	0	0	1	0.67	1	7
KRT24	-0.262	-0.155	-0.047	0.005	0.445	0.979	0.055	0	0	1	0.673	1	5
NOLC1	0.064	0.212	0.36	0.005	6.605	0.359	0.075	0.004	9.161	1.101	0.673	1	7
MAPKAP1	0.041	0.135	0.229	0.005	2.238	0.897	0.048	0	0	1	0.686	1	7
FSBP	0.071	0.238	0.404	0.005	2.857	0.414	0.085	0	0	1	0.691	1	4
COL17A1	0.03	0.1	0.17	0.005	1.322	0.724	0.036	0	0	1	0.708	1	4
TLR8-AS1	-0.275	-0.161	-0.048	0.005	0.84	0.359	0.058	0	0	1	0.708	1	2
ALYREF	0.044	0.152	0.261	0.006	1.551	0.818	0.055	0	0	1	0.711	1	5
ANKS1B	0.014	0.048	0.082	0.006	4.727	0.579	0.017	0	0	1	0.711	1	7
AQP7P1	-0.472	-0.276	-0.081	0.006	0.112	0.738	0.1	0	0	1	0.711	1	2
BZRAP1	0.128	0.444	0.759	0.006	0.735	0.692	0.161	0	0	1	0.711	1	3
CACNB4	-0.273	-0.16	-0.048	0.005	2.922	0.571	0.058	0	0	1	0.711	1	5
EGFL8	0.04	0.14	0.241	0.006	1.219	0.749	0.051	0	0	1	0.711	1	4
FAAP24	-0.432	-0.252	-0.072	0.006	1.636	0.441	0.092	0	0	1	0.711	1	3
FCGBP	0.089	0.309	0.53	0.006	9.219	0.162	0.112	0.026	34.917	1.536	0.711	1	7
GGTLC2	-0.318	-0.186	-0.054	0.006	2.026	0.846	0.067	0	0	1	0.711	1	6
GPR39	-0.131	-0.076	-0.022	0.006	3.204	0.524	0.028	0	0	1	0.711	1	5
GSG2	-0.281	-0.165	-0.048	0.006	0.664	0.717	0.06	0	0	1	0.711	1	3
HCFC2	0.049	0.17	0.291	0.006	2.79	0.835	0.062	0	0	1	0.711	1	7
HOXB2	0.094	0.326	0.557	0.006	4.064	0.668	0.118	0	0	1	0.711	1	7
KPLCE	0.053	0.179	0.306	0.005	0.031	0.861	0.064	0	0	1	0.711	1	2
LOC100130417	-0.239	-0.14	-0.041	0.006	0.6	0.439	0.051	0	0	1	0.711	1	2
LOC100147773	0.063	0.221	0.378	0.006	0.182	0.67	0.08	0	0	1	0.711	1	2
MFSD8	0.051	0.179	0.306	0.006	3.355	0.763	0.065	0	0	1	0.711	1	7
MYEOV	-0.28	-0.163	-0.047	0.006	2.049	0.842	0.06	0	0	1	0.711	1	6
OR2G6	-0.697	-0.407	-0.116	0.006	0.01	0.92	0.148	0	0	1	0.711	1	2
OR4D11	-0.723	-0.423	-0.123	0.006	0.074	0.785	0.153	0	0	1	0.711	1	2
ORMDL3	-0.335	-0.197	-0.058	0.006	6.926	0.328	0.071	0.005	13.365	1.154	0.711	1	7
RAB6C	0.102	0.354	0.607	0.006	0.267	0.875	0.129	0	0	1	0.711	1	3
SAE1	0.074	0.259	0.444	0.006	4.022	0.403	0.095	0	0.542	1.005	0.711	1	5
SZT2	-0.248	-0.145	-0.042	0.006	6.383	0.271	0.053	0.004	21.671	1.277	0.711	1	6
TBL1XR1	0.052	0.18	0.307	0.006	4.007	0.676	0.065	0	0	1	0.711	1	7
TTC17	0.05	0.174	0.298	0.006	7.889	0.246	0.063	0.007	23.94	1.315	0.711	1	7
YWHAB	0.065	0.22	0.375	0.005	2.055	0.726	0.079	0	0	1	0.711	1	5
ZFYVE20	0.046	0.161	0.277	0.006	1.582	0.453	0.059	0	0	1	0.711	1	3
ZNF385B	-0.083	-0.048	-0.014	0.005	2.219	0.696	0.017	0	0	1	0.711	1	5
SIN3B	0.042	0.147	0.252	0.006	4.967	0.548	0.054	0	0	1	0.714	1	7
ACCN1	-0.642	-0.373	-0.104	0.007	0.091	0.764	0.137	0	0	1	0.731	1	2
C21orf33	0.084	0.301	0.517	0.007	0.038	0.845	0.111	0	0	1	0.731	1	2
C4B	-0.314	-0.183	-0.051	0.007	1.012	0.798	0.067	0	0	1	0.731	1	4
MIR137	-0.304	-0.176	-0.049	0.007	0.004	0.948	0.065	0	0	1	0.731	1	2
PART1	0.032	0.113	0.195	0.006	1.692	0.639	0.042	0	0	1	0.731	1	4
RPGR	-0.294	-0.171	-0.048	0.006	5.314	0.504	0.063	0	0	1	0.731	1	7
FKBP5	0.044	0.16	0.276	0.007	2.303	0.89	0.059	0	0	1	0.733	1	7
LOC100506731	-0.201	-0.116	-0.032	0.007	1.014	0.314	0.043	0	1.335	1.014	0.733	1	2
SRP72	0.037	0.133	0.229	0.007	3.693	0.718	0.049	0	0	1	0.733	1	7
STMN1	0.052	0.189	0.326	0.007	7.057	0.316	0.07	0.005	14.973	1.176	0.733	1	7
EXOC5	0.039	0.143	0.246	0.007	4.781	0.572	0.053	0	0	1	0.757	1	7
RBBP4	0.034	0.125	0.216	0.007	4.765	0.574	0.046	0	0	1	0.759	1	7
VDAC2	0.035	0.128	0.222	0.007	3.255	0.776	0.048	0	0	1	0.76	1	7
MTMR6	0.049	0.18	0.311	0.007	1.048	0.984	0.067	0	0	1	0.764	1	7
SH2B1	-0.257	-0.149	-0.04	0.007	6.357	0.384	0.055	0.001	5.618	1.06	0.764	1	7
LINC00539	-1.691	-0.977	-0.263	0.007	0.877	0.349	0.364	0	0	1	0.771	1	2
SFTA1P	-0.235	-0.136	-0.037	0.007	1.629	0.443	0.051	0	0	1	0.771	1	3
SPATA45	0.04	0.15	0.26	0.007	2.446	0.294	0.056	0.002	18.243	1.223	0.771	1	3
ABHD8	0.036	0.137	0.237	0.008	4.528	0.606	0.051	0	0	1	0.774	1	7
DARS	0.079	0.297	0.516	0.008	2.306	0.511	0.111	0	0	1	0.774	1	4
LDHAL6A	-0.082	-0.047	-0.013	0.008	1.235	0.941	0.018	0	0	1	0.774	1	6
SNAP91	-0.217	-0.125	-0.034	0.007	0.728	0.695	0.047	0	0	1	0.774	1	3
SNORD33	0.152	0.573	0.994	0.008	1.047	0.306	0.215	0.009	4.466	1.047	0.776	1	2
IL17A	-0.104	-0.06	-0.016	0.008	3.209	0.524	0.023	0	0	1	0.784	1	5
TMEM201	-0.206	-0.119	-0.031	0.008	3.575	0.734	0.045	0	0	1	0.784	1	7
ASCC1	0.072	0.275	0.478	0.008	8.497	0.204	0.103	0.021	29.389	1.416	0.787	1	7
PGC	-0.283	-0.163	-0.043	0.008	4.29	0.368	0.061	0.001	6.76	1.073	0.787	1	5
BCAP29	0.035	0.14	0.245	0.009	5.267	0.51	0.054	0	0	1	0.792	1	7
BIRC6	0.047	0.2	0.354	0.01	4.456	0.615	0.078	0	0	1	0.792	1	7
BTBD3	0.046	0.179	0.312	0.008	1.644	0.949	0.068	0	0	1	0.792	1	7
C17orf53	-0.402	-0.228	-0.054	0.01	0.26	0.878	0.089	0	0	1	0.792	1	3
CCDC116	0.013	0.057	0.1	0.01	1.728	0.786	0.022	0	0	1	0.792	1	5
CDK8	0.041	0.168	0.295	0.01	7.142	0.308	0.065	0.005	15.989	1.19	0.792	1	7
CEBPE	-0.691	-0.394	-0.098	0.009	3.655	0.455	0.151	0	0	1	0.792	1	5
CHI3L2	0.053	0.217	0.381	0.01	1.18	0.978	0.084	0	0	1	0.792	1	7
CHTF8	0.053	0.221	0.389	0.01	4.616	0.329	0.086	0.005	13.339	1.154	0.792	1	5
CNOT9	0.056	0.232	0.409	0.01	0.613	0.736	0.09	0	0	1	0.792	1	3
CRHR1	-0.103	-0.059	-0.015	0.009	0.754	0.686	0.023	0	0	1	0.792	1	3
CYP19A1	0.014	0.053	0.093	0.008	1.929	0.587	0.02	0	0	1	0.792	1	4
CYP1A2	-0.241	-0.137	-0.033	0.01	0.378	0.828	0.053	0	0	1	0.792	1	3
DCAF12	0.04	0.166	0.292	0.01	3.787	0.581	0.064	0	0	1	0.792	1	6
DCDC2	-0.121	-0.07	-0.018	0.008	1.007	0.909	0.026	0	0	1	0.792	1	5
DHCR24	0.044	0.179	0.314	0.009	4.351	0.629	0.069	0	0	1	0.792	1	7
DPM2	-0.672	-0.384	-0.096	0.009	1.363	0.851	0.147	0	0	1	0.792	1	5
ENPP6	-0.094	-0.054	-0.013	0.01	1.452	0.835	0.021	0	0	1	0.792	1	5
ETF1	0.046	0.188	0.329	0.009	4.128	0.389	0.072	0.001	3.112	1.032	0.792	1	5
FABP9	0.079	0.312	0.545	0.009	0.888	0.346	0.119	0	0	1	0.792	1	2
GALNT2	0.026	0.108	0.191	0.01	5.118	0.529	0.042	0	0	1	0.792	1	7
GRM1	-0.168	-0.095	-0.023	0.01	1.143	0.767	0.037	0	0	1	0.792	1	4
GSPT1	0.04	0.158	0.277	0.009	5.726	0.455	0.06	0	0	1	0.792	1	7
H6PD	0.03	0.115	0.2	0.008	6.334	0.387	0.043	0.001	5.28	1.056	0.792	1	7
HBM	-1.141	-0.651	-0.16	0.009	1.615	0.656	0.25	0	0	1	0.792	1	4
HDDC2	0.051	0.216	0.38	0.01	6.015	0.421	0.084	0	0.257	1.003	0.792	1	7
HERC2P3	-0.196	-0.112	-0.028	0.009	0.716	0.699	0.043	0	0	1	0.792	1	3
IER5L	-0.346	-0.198	-0.049	0.009	3.008	0.556	0.076	0	0	1	0.792	1	5
KCNN1	0.026	0.101	0.176	0.008	0.18	0.914	0.038	0	0	1	0.792	1	3
KCTD4	-0.114	-0.065	-0.015	0.01	1.225	0.874	0.025	0	0	1	0.792	1	5
KDELR1	0.032	0.125	0.217	0.008	2.518	0.866	0.047	0	0	1	0.792	1	7
KLF9	0.018	0.078	0.138	0.01	2.296	0.891	0.031	0	0	1	0.792	1	7
KRTAP5-4	-0.735	-0.418	-0.101	0.01	3.069	0.216	0.162	0.03	34.827	1.534	0.792	1	3
LGALS12	-0.701	-0.403	-0.105	0.008	3.221	0.359	0.152	0.007	6.848	1.074	0.792	1	4
LOC100129148	-0.527	-0.3	-0.074	0.009	0.237	0.627	0.116	0	0	1	0.792	1	2
LOC653581	0.035	0.141	0.246	0.009	0.922	0.337	0.054	0	0	1	0.792	1	2
MAFB	0.066	0.254	0.441	0.008	7.057	0.316	0.096	0.01	14.975	1.176	0.792	1	7
MBD3L2	0.027	0.111	0.196	0.01	4.047	0.4	0.043	0	1.157	1.012	0.792	1	5
MIMT1	0.06	0.245	0.43	0.01	0.003	0.958	0.094	0	0	1	0.792	1	2
MSANTD4	0.037	0.156	0.274	0.01	2.748	0.601	0.061	0	0	1	0.792	1	5
MUT	0.074	0.308	0.542	0.01	2.124	0.346	0.119	0.003	5.819	1.062	0.792	1	3
MYG1	0.051	0.205	0.36	0.009	0.867	0.648	0.079	0	0	1	0.792	1	3
NMS	-0.36	-0.207	-0.054	0.008	0.833	0.842	0.078	0	0	1	0.792	1	4
NMT2	0.075	0.299	0.524	0.009	8.236	0.221	0.115	0.024	27.145	1.373	0.792	1	7
NOP14	0.036	0.144	0.252	0.009	6.169	0.405	0.055	0.001	2.74	1.028	0.792	1	7
NOP2	0.034	0.142	0.251	0.01	6.902	0.33	0.055	0.003	13.066	1.15	0.792	1	7
OR5A1	-0.639	-0.364	-0.089	0.01	0.079	0.778	0.14	0	0	1	0.792	1	2
OR5K1	-0.17	-0.096	-0.023	0.01	1.697	0.428	0.037	0	0	1	0.792	1	3
OVCH1	0.057	0.237	0.417	0.01	0.214	0.899	0.092	0	0	1	0.792	1	3
PDIA4	0.063	0.251	0.439	0.009	4.64	0.326	0.096	0.007	13.797	1.16	0.792	1	5
PIK3R6	-0.468	-0.269	-0.07	0.008	3.454	0.485	0.102	0	0	1	0.792	1	5
PRDM6	-0.135	-0.078	-0.02	0.009	2.025	0.567	0.03	0	0	1	0.792	1	4
