lower_bound	logFC	upper_bound	pvalue	QE	QEp	SE	tau2	I2	H2	p.adjust.fdr	p.adjust.BY	n.studies
OVOL2	-0.185	-0.115	-0.045	0.001	3.962	0.411	0.036	0	0	1	0.98	1	5
PRG3	-0.119	-0.074	-0.029	0.001	3.757	0.44	0.023	0	0	1	0.981	1	5
UOX	-0.601	-0.373	-0.145	0.001	0.457	0.499	0.117	0	0	1	0.991	1	2
PCDHGA9	-0.231	-0.143	-0.055	0.001	0.777	0.678	0.045	0	0	1	0.998	1	3
2'-PDE	-0.037	-0.009	0.019	0.541	1.312	0.519	0.014	0	0	1	1	1	3
A1BG	-0.068	0.014	0.096	0.739	2.378	0.936	0.042	0	0	1	1	1	8
A1BG-AS1	-0.155	0.019	0.194	0.827	0.617	0.893	0.089	0	0	1	1	1	4
A1CF	-0.049	0.024	0.096	0.523	5.154	0.272	0.037	0.002	22.394	1.289	1	1	5
A2BP1	-0.073	-0.008	0.057	0.806	3.312	0.346	0.033	0	9.427	1.104	1	1	4
A2LD1	-0.358	0.063	0.484	0.77	0.605	0.437	0.215	0	0	1	1	1	2
A2M	-0.015	0.022	0.058	0.246	9.291	0.505	0.019	0	0	1	1	1	11
A2M-AS1	-0.3	-0.091	0.118	0.394	0.124	0.94	0.107	0	0	1	1	1	3
A2ML1	-0.253	-0.048	0.156	0.642	10.447	0.107	0.104	0.027	42.57	1.741	1	1	7
A2MP1	-0.042	-0.004	0.034	0.842	0.001	0.979	0.019	0	0	1	1	1	2
A3GALT2	-0.344	-0.017	0.31	0.918	0.124	0.725	0.167	0	0	1	1	1	2
A4GALT	-0.2	-0.036	0.128	0.669	1.727	0.631	0.084	0	0	1	1	1	4
A4GNT	-0.231	-0.049	0.133	0.598	6.445	0.092	0.093	0.016	53.449	2.148	1	1	4
AA06	-0.147	-0.006	0.135	0.935	0.009	0.925	0.072	0	0	1	1	1	2
AAA1	-0.19	-0.049	0.091	0.493	0.171	0.679	0.072	0	0	1	1	1	2
AAAS	-0.171	-0.003	0.165	0.974	2.846	0.724	0.086	0	0	1	1	1	6
AACS	-0.043	-0.003	0.037	0.878	9.087	0.524	0.021	0	0	1	1	1	11
AACSP1	-0.02	0.047	0.114	0.17	0.018	0.893	0.034	0	0	1	1	1	2
AADAC	-0.016	0.04	0.096	0.158	2.508	0.643	0.029	0	0	1	1	1	5
AADACL1	-0.073	-0.029	0.015	0.19	2.489	0.477	0.022	0	0	1	1	1	4
AADACL2	-0.023	0.023	0.069	0.325	4.672	0.457	0.023	0	0	1	1	1	6
AADACL3	-0.098	0.005	0.109	0.919	2.425	0.489	0.053	0	0	1	1	1	4
AADACL4	-0.15	-0.028	0.094	0.656	3.671	0.452	0.062	0	0	1	1	1	5
AADAT	-0.109	-0.025	0.06	0.564	5.737	0.333	0.043	0.002	12.845	1.147	1	1	6
AAGAB	-0.07	0.044	0.158	0.449	4.364	0.627	0.058	0	0	1	1	1	7
AAK1	-0.162	-0.083	-0.004	0.039	3.645	0.725	0.04	0	0	1	1	1	7
AAMDC	-0.101	0.011	0.123	0.845	3.087	0.378	0.057	0.001	2.832	1.029	1	1	4
AAMP	-0.039	0.006	0.051	0.801	9.559	0.297	0.023	0.001	16.305	1.195	1	1	9
AANAT	-0.028	0.004	0.035	0.809	4.247	0.643	0.016	0	0	1	1	1	7
AAR2	-0.206	-0.015	0.177	0.881	3.48	0.323	0.098	0.006	13.787	1.16	1	1	4
AARD	-0.137	0.04	0.217	0.659	0.373	0.83	0.09	0	0	1	1	1	3
AARS	-0.014	0.005	0.024	0.609	3.877	0.693	0.01	0	0	1	1	1	7
AARS1	-0.26	0.042	0.344	0.784	6.518	0.038	0.154	0.042	69.315	3.259	1	1	3
AARS2	-0.296	-0.131	0.035	0.122	1.977	0.74	0.084	0	0	1	1	1	5
AARSD1	-0.02	0.004	0.028	0.75	3.453	0.75	0.012	0	0	1	1	1	7
AARSL	-0.013	0.014	0.041	0.319	1.805	0.406	0.014	0	0	1	1	1	3
AASDH	-0.02	0.011	0.042	0.485	4.427	0.926	0.016	0	0	1	1	1	11
AASDHPPT	-0.074	-0.041	-0.008	0.016	5.34	0.804	0.017	0	0	1	1	1	10
AASS	-0.047	0.017	0.082	0.598	4.649	0.59	0.033	0	0	1	1	1	7
AATBC	-0.554	-0.106	0.342	0.643	0.555	0.456	0.228	0	0	1	1	1	2
AATF	-0.029	0.024	0.078	0.373	14.447	0.107	0.027	0.002	37.704	1.605	1	1	10
AATK	-0.019	0.031	0.081	0.219	10.287	0.416	0.025	0	2.792	1.029	1	1	11
ABALON	-0.986	1.021	3.027	0.319	1.307	0.253	1.024	0.499	23.499	1.307	1	1	2
ABAT	-0.052	-0.016	0.02	0.384	10.089	0.343	0.018	0	10.792	1.121	1	1	10
ABC1	0.009	0.045	0.08	0.014	0.371	0.831	0.018	0	0	1	1	1	3
ABCA1	-0.09	-0.017	0.056	0.647	7.802	0.453	0.037	0	0	1	1	1	9
ABCA10	-0.3	-0.072	0.155	0.533	1.506	0.826	0.116	0	0	1	1	1	5
ABCA11P	-0.264	0.022	0.307	0.881	5.856	0.119	0.146	0.038	48.771	1.952	1	1	4
ABCA12	-0.19	-0.042	0.105	0.573	5.932	0.115	0.075	0.011	49.43	1.977	1	1	4
ABCA13	-0.006	0.037	0.079	0.091	4.729	0.45	0.022	0	0	1	1	1	6
ABCA17P	-0.105	-0.025	0.055	0.541	1.873	0.392	0.041	0	0	1	1	1	3
ABCA2	-0.037	0.034	0.106	0.343	9.98	0.266	0.036	0.002	19.84	1.247	1	1	9
ABCA3	-0.051	-0.001	0.049	0.96	12.937	0.114	0.026	0.001	38.161	1.617	1	1	9
ABCA4	-0.224	0.022	0.268	0.86	7.497	0.024	0.126	0.031	73.323	3.749	1	1	3
ABCA5	-0.119	-0.046	0.026	0.211	10.327	0.171	0.037	0.003	32.218	1.475	1	1	8
ABCA6	-0.012	0.015	0.042	0.273	1.421	0.922	0.014	0	0	1	1	1	6
ABCA7	-0.002	0	0.002	0.979	4.143	0.844	0.001	0	0	1	1	1	9
ABCA8	-0.028	-0.002	0.023	0.862	0.174	0.982	0.013	0	0	1	1	1	4
ABCA9	-0.125	0.007	0.139	0.92	4.336	0.362	0.067	0.004	7.745	1.084	1	1	5
ABCB1	-0.004	0	0.004	0.89	6.889	0.549	0.002	0	0	1	1	1	9
ABCB10	-0.041	-0.006	0.028	0.717	4.401	0.819	0.018	0	0	1	1	1	9
ABCB11	-0.022	0.009	0.039	0.577	0.406	0.982	0.016	0	0	1	1	1	5
ABCB4	-0.447	-0.151	0.145	0.316	4.206	0.379	0.151	0.006	4.902	1.052	1	1	5
ABCB5	-0.02	0.012	0.044	0.458	2.943	0.567	0.016	0	0	1	1	1	5
ABCB6	-0.015	0.022	0.059	0.246	1.71	0.944	0.019	0	0	1	1	1	7
ABCB7	-0.038	0.019	0.076	0.524	0.768	0.999	0.029	0	0	1	1	1	9
ABCB8	-0.011	0.038	0.088	0.127	3.736	0.443	0.025	0	0	1	1	1	5
ABCB9	-0.032	0.007	0.046	0.728	4.406	0.819	0.02	0	0	1	1	1	9
ABCC1	-0.216	-0.048	0.121	0.579	6.576	0.254	0.086	0.01	23.966	1.315	1	1	6
ABCC10	-0.027	0.008	0.044	0.648	6.792	0.559	0.018	0	0	1	1	1	9
ABCC11	-0.119	-0.047	0.024	0.197	3.938	0.415	0.037	0	0	1	1	1	5
ABCC12	-0.004	0	0.004	0.996	2.037	0.916	0.002	0	0	1	1	1	7
ABCC13	-0.324	0.08	0.484	0.699	4.665	0.198	0.206	0.059	35.688	1.555	1	1	4
ABCC2	-0.053	0.007	0.066	0.831	3.25	0.517	0.031	0	0	1	1	1	5
ABCC3	-0.074	0.009	0.091	0.84	4.144	0.529	0.042	0	0	1	1	1	6
ABCC4	-0.064	0.092	0.248	0.247	4.341	0.501	0.08	0	0	1	1	1	6
ABCC5	-0.013	0.03	0.072	0.168	6.886	0.549	0.022	0	0	1	1	1	9
ABCC5-AS1	-0.109	0.093	0.295	0.368	0.007	0.932	0.103	0	0	1	1	1	2
ABCC6	-0.083	-0.035	0.013	0.158	8.122	0.322	0.025	0.001	13.815	1.16	1	1	8
ABCC6P1	-0.036	0.002	0.041	0.913	0.457	0.796	0.02	0	0	1	1	1	3
ABCC8	-0.044	0.018	0.08	0.574	8.849	0.182	0.032	0.002	32.198	1.475	1	1	7
ABCC9	-0.039	-0.013	0.013	0.319	0.615	0.893	0.013	0	0	1	1	1	4
ABCD1	-0.108	0.044	0.196	0.57	0.492	0.992	0.078	0	0	1	1	1	6
ABCD2	-0.203	-0.018	0.166	0.845	1.776	0.777	0.094	0	0	1	1	1	5
ABCD3	-0.31	-0.126	0.059	0.182	1.278	0.937	0.094	0	0	1	1	1	6
ABCD4	-0.166	-0.023	0.121	0.758	6.259	0.282	0.073	0.007	20.12	1.252	1	1	6
ABCE1	-0.04	-0.01	0.019	0.493	5.332	0.722	0.015	0	0	1	1	1	9
ABCF1	-0.006	0.017	0.039	0.139	5.731	0.572	0.011	0	0	1	1	1	8
ABCF2	-0.034	-0.001	0.033	0.969	10.133	0.256	0.017	0	21.054	1.267	1	1	9
ABCF3	-0.023	0.007	0.038	0.641	4.609	0.798	0.016	0	0	1	1	1	9
ABCG1	-0.03	0.023	0.077	0.394	12.326	0.137	0.027	0.002	35.099	1.541	1	1	9
ABCG2	-0.206	0.138	0.481	0.432	6.168	0.187	0.175	0.05	35.149	1.542	1	1	5
ABCG4	-0.054	-0.014	0.027	0.508	4.823	0.567	0.02	0	0	1	1	1	7
ABCG5	-0.258	-0.044	0.171	0.691	6.127	0.047	0.11	0.022	67.36	3.064	1	1	3
ABCG8	-0.124	-0.028	0.068	0.568	0.579	0.901	0.049	0	0	1	1	1	4
ABHD1	-0.019	0.049	0.118	0.156	3.747	0.711	0.035	0	0	1	1	1	7
ABHD10	-0.063	-0.016	0.031	0.503	11.87	0.294	0.024	0.001	15.754	1.187	1	1	11
ABHD11	-0.177	-0.016	0.145	0.843	3.479	0.481	0.082	0	0	1	1	1	5
ABHD12	-0.042	-0.017	0.008	0.176	3.715	0.929	0.013	0	0	1	1	1	10
ABHD12B	-0.03	0.056	0.143	0.203	8.916	0.178	0.044	0.004	32.704	1.486	1	1	7
ABHD13	-0.065	0.032	0.129	0.513	4.472	0.724	0.049	0	0	1	1	1	8
ABHD14A	-0.051	-0.017	0.016	0.3	2.119	0.977	0.017	0	0	1	1	1	9
ABHD14A-ACY1	-0.339	-0.138	0.064	0.181	1.119	0.571	0.103	0	0	1	1	1	3
ABHD14B	-0.171	-0.024	0.122	0.746	7.547	0.273	0.075	0.008	20.501	1.258	1	1	7
ABHD15	-0.055	0.108	0.27	0.194	6.744	0.345	0.083	0.005	11.039	1.124	1	1	7
ABHD16A	-0.202	0.038	0.277	0.758	2.689	0.261	0.122	0.012	25.627	1.345	1	1	3
ABHD16B	-0.019	0.006	0.031	0.63	2.694	0.747	0.013	0	0	1	1	1	6
ABHD17A	-0.33	-0.047	0.236	0.746	0.752	0.861	0.144	0	0	1	1	1	4
ABHD17B	-0.118	0.03	0.178	0.692	2.636	0.451	0.076	0	0	1	1	1	4
ABHD17C	-0.049	0.017	0.083	0.609	0.297	0.586	0.034	0	0	1	1	1	2
ABHD18	-0.282	-0.069	0.145	0.527	1.021	0.6	0.109	0	0	1	1	1	3
ABHD2	-0.024	0.022	0.067	0.352	6.384	0.782	0.023	0	0	1	1	1	11
ABHD3	-0.002	0	0.002	0.998	8.375	0.497	0.001	0	0	1	1	1	10
ABHD4	-0.297	-0.079	0.138	0.473	9.152	0.165	0.111	0.027	34.443	1.525	1	1	7
ABHD5	-0.135	-0.027	0.081	0.623	2.874	0.824	0.055	0	0	1	1	1	7
ABHD6	-0.014	0.014	0.042	0.33	7.294	0.697	0.014	0	0	1	1	1	11
ABHD7	-0.077	0.002	0.081	0.96	5.631	0.131	0.04	0.003	46.728	1.877	1	1	4
ABHD8	-0.019	0.038	0.095	0.188	18.547	0.046	0.029	0.003	46.082	1.855	1	1	11
ABI1	-0.039	-0.012	0.014	0.359	1.459	0.997	0.013	0	0	1	1	1	10
ABI2	-0.096	-0.049	-0.001	0.044	10.264	0.418	0.024	0	2.57	1.026	1	1	11
ABI3	-0.111	0.076	0.262	0.428	2.66	0.752	0.095	0	0	1	1	1	6
ABI3BP	-0.004	0	0.004	0.919	1.847	0.933	0.002	0	0	1	1	1	7
ABITRAM	-0.135	0.098	0.332	0.41	0.008	0.927	0.119	0	0	1	1	1	2
ABL1	-0.025	0.039	0.103	0.234	9.862	0.275	0.033	0.002	18.882	1.233	1	1	9
ABL2	-0.148	-0.047	0.055	0.367	7.201	0.408	0.052	0.001	2.791	1.029	1	1	8
ABLIM1	-0.058	-0.018	0.022	0.389	7.34	0.5	0.02	0	0	1	1	1	9
ABLIM2	-0.029	0.013	0.055	0.535	6.548	0.586	0.021	0	0	1	1	1	9
ABLIM3	-0.049	-0.003	0.042	0.882	6.592	0.473	0.023	0	0	1	1	1	8
ABO	-0.111	0.046	0.203	0.567	1.67	0.893	0.08	0	0	1	1	1	6
ABP1	-0.538	0.016	0.569	0.956	1.701	0.192	0.282	0.07	41.206	1.701	1	1	2
ABR	-0.016	0.004	0.025	0.681	8.833	0.453	0.011	0	0	1	1	1	10
ABRA	-0.004	0.021	0.047	0.1	2.508	0.775	0.013	0	0	1	1	1	6
ABRACL	-0.053	0.056	0.165	0.317	2.38	0.794	0.056	0	0	1	1	1	6
ABRAXAS2	-0.462	-0.037	0.387	0.863	0.129	0.72	0.216	0	0	1	1	1	2
ABT1	-0.155	-0.044	0.067	0.437	2.088	0.911	0.056	0	0	1	1	1	7
ABTB1	-0.026	0.007	0.041	0.671	4.636	0.796	0.017	0	0	1	1	1	9
ABTB2	-0.103	0.016	0.135	0.79	10.569	0.159	0.061	0.008	33.768	1.51	1	1	8
ABTB3	-0.066	0.059	0.185	0.354	1.038	0.792	0.064	0	0	1	1	1	4
AC005224.2	-0.362	-0.004	0.353	0.982	1.093	0.296	0.182	0.021	8.476	1.093	1	1	2
AC005523.2	-0.267	0.076	0.418	0.666	0.069	0.793	0.175	0	0	1	1	1	2
AC005785.2	-0.293	0.023	0.339	0.888	1.11	0.292	0.161	0.026	9.892	1.11	1	1	2
AC006538.1	-0.032	0.068	0.168	0.18	0.543	0.461	0.051	0	0	1	1	1	2
AC009120.6	-0.396	-0.066	0.264	0.696	0.311	0.577	0.168	0	0	1	1	1	2
AC016831.7	-0.027	0.008	0.044	0.638	0.255	0.614	0.018	0	0	1	1	1	2
AC017104.6	-0.088	-0.001	0.086	0.983	0.954	0.329	0.044	0	0	1	1	1	2
AC078883.3	-0.035	0.002	0.039	0.91	0.268	0.605	0.019	0	0	1	1	1	2
AC083843.1	-0.358	-0.098	0.161	0.459	0.02	0.889	0.132	0	0	1	1	1	2
AC083949.1	-0.165	0.21	0.584	0.272	0.346	0.557	0.191	0	0	1	1	1	2
AC091133.1	-0.154	0.093	0.34	0.46	0.05	0.824	0.126	0	0	1	1	1	2
AC144652.1	-0.207	0.083	0.372	0.574	0.839	0.36	0.148	0	0	1	1	1	2
ACAA1	-0.031	-0.007	0.018	0.6	6.187	0.721	0.013	0	0	1	1	1	10
ACAA2	-0.036	0.017	0.07	0.525	3.686	0.931	0.027	0	0	1	1	1	10
ACACA	-0.022	0.006	0.033	0.678	10.38	0.321	0.014	0	13.292	1.153	1	1	10
ACACB	-0.065	-0.002	0.061	0.954	9.073	0.431	0.032	0	0.81	1.008	1	1	10
ACAD10	0	0.034	0.069	0.05	5.136	0.743	0.018	0	0	1	1	1	9
ACAD11	-0.001	0.044	0.089	0.058	5.339	0.721	0.023	0	0	1	1	1	9
ACAD8	-0.044	-0.013	0.018	0.402	5.862	0.663	0.016	0	0	1	1	1	9
ACAD9	-0.009	0.019	0.048	0.186	2.864	0.943	0.015	0	0	1	1	1	9
ACADL	-0.014	0.017	0.049	0.28	1.209	0.546	0.016	0	0	1	1	1	3
ACADM	-0.013	0.015	0.042	0.297	6.177	0.627	0.014	0	0	1	1	1	9
ACADS	-0.103	0.081	0.265	0.388	2.223	0.817	0.094	0	0	1	1	1	6
ACADSB	-0.28	-0.072	0.135	0.495	1.466	0.833	0.106	0	0	1	1	1	5
ACADVL	-0.025	0.034	0.094	0.254	8.493	0.291	0.03	0.001	17.577	1.213	1	1	8
ACAN	-0.134	-0.054	0.027	0.193	0.629	0.96	0.041	0	0	1	1	1	5
ACAP1	-0.148	-0.031	0.085	0.595	1.212	0.944	0.059	0	0	1	1	1	6
ACAP2	-0.213	-0.024	0.165	0.806	2.69	0.611	0.096	0	0	1	1	1	5
ACAP3	-0.025	0.127	0.279	0.1	3.473	0.628	0.078	0	0	1	1	1	6
ACAT1	-0.029	0.006	0.041	0.739	8.588	0.572	0.018	0	0	1	1	1	11
ACAT2	-0.135	0.017	0.168	0.829	8.431	0.296	0.077	0.008	16.97	1.204	1	1	8
ACBD3	-0.05	-0.023	0.005	0.104	7.556	0.672	0.014	0	0	1	1	1	11
ACBD4	-0.258	-0.088	0.083	0.314	4.271	0.511	0.087	0	0	1	1	1	6
ACBD5	-0.042	0.059	0.159	0.252	2.216	0.899	0.051	0	0	1	1	1	7
ACBD6	-0.071	-0.013	0.045	0.657	11.497	0.243	0.03	0.002	21.72	1.277	1	1	10
ACBD7	-0.037	0.02	0.077	0.498	2.816	0.832	0.029	0	0	1	1	1	7
ACCN1	-0.037	0.007	0.051	0.767	1.448	0.836	0.022	0	0	1	1	1	5
ACCN2	-0.037	0	0.038	0.997	0.774	0.942	0.019	0	0	1	1	1	5
ACCN3	-0.018	0.009	0.037	0.502	4.821	0.306	0.014	0	17.031	1.205	1	1	5
ACCN4	-0.337	0.176	0.688	0.501	1.832	0.176	0.262	0.072	45.404	1.832	1	1	2
ACCN5	-0.151	0.053	0.257	0.611	0.696	0.404	0.104	0	0	1	1	1	2
ACCS	-0.202	-0.014	0.175	0.887	8.192	0.316	0.096	0.011	14.549	1.17	1	1	8
ACCSL	-0.191	0.006	0.203	0.954	3.666	0.3	0.101	0.008	18.159	1.222	1	1	4
ACD	-0.024	0.003	0.03	0.828	9.287	0.505	0.014	0	0	1	1	1	11
ACE	-0.096	0.086	0.268	0.355	15.384	0.031	0.093	0.023	54.497	2.198	1	1	8
ACE2	-0.089	-0.007	0.074	0.86	6.34	0.274	0.042	0.002	21.142	1.268	1	1	6
ACER1	-0.096	0.017	0.131	0.768	3.526	0.741	0.058	0	0	1	1	1	7
ACER2	-0.344	-0.17	0.003	0.054	3.15	0.79	0.088	0	0	1	1	1	7
ACER3	-0.146	-0.026	0.095	0.679	7.864	0.345	0.062	0.003	10.981	1.123	1	1	8
ACHE	-0.037	0.005	0.046	0.83	2.29	0.891	0.021	0	0	1	1	1	7
ACIN1	-0.038	0.004	0.046	0.835	5.243	0.874	0.021	0	0	1	1	1	11
ACKR1	-1.368	-0.286	0.795	0.604	1.562	0.211	0.552	0.363	35.992	1.562	1	1	2
ACKR2	-0.339	-0.137	0.064	0.181	14.832	0.002	0.103	0.032	79.774	4.944	1	1	4
ACKR3	-0.173	-0.06	0.053	0.297	2.999	0.558	0.058	0	0	1	1	1	5
ACKR4	-0.029	0.085	0.199	0.144	2.005	0.735	0.058	0	0	1	1	1	5
ACLY	-0.043	0.003	0.049	0.904	18.271	0.051	0.024	0.002	45.268	1.827	1	1	11
ACMSD	-0.047	0.005	0.056	0.86	3.197	0.67	0.026	0	0	1	1	1	6
ACN9	-0.066	-0.028	0.011	0.158	3.478	0.627	0.02	0	0	1	1	1	6
ACO1	-0.029	0.011	0.051	0.588	1.583	0.991	0.02	0	0	1	1	1	9
ACO2	-0.021	0.007	0.035	0.647	4.892	0.769	0.014	0	0	1	1	1	9
ACOD1	-0.184	0.008	0.199	0.936	1.231	0.745	0.098	0	0	1	1	1	4
ACOT1	-0.1	-0.041	0.019	0.18	5.225	0.876	0.03	0	0	1	1	1	11
ACOT11	-0.047	0.057	0.162	0.282	7.031	0.318	0.053	0.003	14.664	1.172	1	1	7
ACOT12	-0.133	-0.027	0.079	0.62	2.885	0.718	0.054	0	0	1	1	1	6
ACOT13	-0.103	0.043	0.189	0.566	5.691	0.459	0.075	0	0	1	1	1	7
ACOT2	-0.164	-0.059	0.046	0.268	2.929	0.711	0.054	0	0	1	1	1	6
ACOT4	-0.064	-0.012	0.041	0.659	5.609	0.778	0.027	0	0	1	1	1	10
ACOT6	-0.155	-0.065	0.026	0.161	6.235	0.182	0.046	0.004	35.845	1.559	1	1	5
ACOT7	-0.051	-0.001	0.049	0.973	6.533	0.769	0.026	0	0	1	1	1	11
ACOT8	-0.082	-0.03	0.022	0.263	10.602	0.389	0.027	0	5.681	1.06	1	1	11
ACOT9	-0.019	0.103	0.224	0.097	1.715	0.974	0.062	0	0	1	1	1	8
ACOX1	-0.028	0.012	0.051	0.568	1.928	0.983	0.02	0	0	1	1	1	9
ACOX2	-0.018	0.015	0.048	0.367	5.341	0.501	0.017	0	0	1	1	1	7
ACOX3	-0.001	0.03	0.06	0.056	2.384	0.967	0.015	0	0	1	1	1	9
ACOXL	-0.076	0.034	0.145	0.545	8.878	0.181	0.056	0.007	32.416	1.48	1	1	7
ACP1	-0.092	-0.024	0.044	0.493	6.694	0.57	0.035	0	0	1	1	1	9
ACP2	-0.059	-0.011	0.037	0.656	5.765	0.674	0.025	0	0	1	1	1	9
ACP3	-0.428	0.015	0.459	0.946	0.272	0.602	0.226	0	0	1	1	1	2
ACP5	-0.084	0.13	0.343	0.233	1.678	0.795	0.109	0	0	1	1	1	5
ACP6	-0.241	0.001	0.243	0.993	12.113	0.033	0.123	0.044	58.723	2.423	1	1	6
ACP7	-0.213	-0.086	0.042	0.187	0.158	0.924	0.065	0	0	1	1	1	3
ACPL2	-0.111	-0.048	0.016	0.14	0.598	0.963	0.032	0	0	1	1	1	5
ACPP	-0.159	0.103	0.366	0.44	5.156	0.161	0.134	0.03	41.819	1.719	1	1	4
ACPT	-0.004	0	0.004	0.975	2.339	0.801	0.002	0	0	1	1	1	6
ACR	-0.032	0.009	0.049	0.673	4.17	0.525	0.021	0	0	1	1	1	6
ACRBP	-0.249	-0.118	0.014	0.079	5.893	0.552	0.067	0	0	1	1	1	8
ACRC	-0.041	0.014	0.07	0.61	1.489	0.914	0.028	0	0	1	1	1	6
ACRV1	-0.023	-0.001	0.021	0.924	10.131	0.256	0.011	0	21.034	1.266	1	1	9
ACSBG1	-0.076	0.006	0.088	0.888	14.959	0.092	0.042	0.005	39.837	1.662	1	1	10
ACSBG2	-0.073	0.005	0.082	0.908	2.995	0.701	0.039	0	0	1	1	1	6
ACSF2	-0.131	0.006	0.143	0.929	10.819	0.147	0.07	0.012	35.3	1.546	1	1	8
ACSF3	-0.248	-0.152	-0.057	0.002	4.019	0.778	0.049	0	0	1	1	1	8
ACSL1	-0.037	0.017	0.07	0.537	4.155	0.94	0.027	0	0	1	1	1	11
ACSL3	-0.079	-0.038	0.002	0.061	4.993	0.892	0.02	0	0	1	1	1	11
ACSL4	-0.057	-0.023	0.011	0.184	6.42	0.697	0.017	0	0	1	1	1	10
ACSL5	-0.004	0	0.004	0.983	5.744	0.836	0.002	0	0	1	1	1	11
ACSL6	-0.095	-0.017	0.061	0.67	6.533	0.479	0.04	0	0	1	1	1	8
ACSM1	-0.094	-0.047	0	0.049	4.55	0.603	0.024	0	0	1	1	1	7
ACSM2A	-0.013	0.045	0.103	0.126	0.287	0.866	0.029	0	0	1	1	1	3
ACSM2B	-0.162	-0.067	0.028	0.166	5.677	0.339	0.048	0.002	11.924	1.135	1	1	6
ACSM3	-0.114	-0.025	0.064	0.577	1.755	0.941	0.045	0	0	1	1	1	7
ACSM4	-0.17	0.015	0.2	0.873	4.266	0.118	0.094	0.014	53.118	2.133	1	1	3
ACSM5	-0.09	0.039	0.167	0.555	9.226	0.1	0.066	0.01	45.806	1.845	1	1	6
ACSM6	-0.513	-0.162	0.189	0.365	1.934	0.164	0.179	0.036	48.29	1.934	1	1	2
ACSS1	-0.049	-0.005	0.039	0.828	3.449	0.969	0.022	0	0	1	1	1	11
ACSS2	-0.007	0.037	0.081	0.1	6.091	0.731	0.023	0	0	1	1	1	10
ACSS3	-0.13	-0.019	0.091	0.73	8.771	0.067	0.056	0.008	54.397	2.193	1	1	5
